Career_PER
14.7
10.7
15.5
10.1
10.6
10.6
12.7
12.2
7.4
12.3
14.4
14.2
17.8
10.8
11.2
12.2
13.5
18.1
19.8
14.7
15.4
14.7
12.4
17.4
16.4
12.9
14.4
12.9
11.7
9.8
17.2
12.4
10.6
16.5
14.1
9.9
8.5
13.9
7.9
15.2
12.5
14.2
10
12.5
10.6
7.9
10.8
12.4
12.2
16.1
14.9
8
11
6.3
9.6
12.2
16.7
9.2
17.5
20
10.8
11
19.1
11.5
17.3
14.9
11.9
11.3
17.3
6.1
12.5
17.7
11.6
10.6
18.8
16
21.4
9
15.4
14.9
10.8
