MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,TS%,eFG%,3PAr,FTr,TRB%,AST%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
32.9,5.7,12,0.471,4.6,8.4,0.546,1.1,3.6,0.299,2.7,3.7,0.733,1.7,4.8,6.5,2.9,1.5,0.6,2.3,2.2,15.2,4.2,0.549,0.517,0.302,0.311,11.9,18.4,1.9,14.5,24.9,5.9,4.2,10.1,0.176
31.2,4.8,11.4,0.419,2.8,5.8,0.48,2,5.6,0.357,2.6,3.4,0.755,0.8,3.4,4.2,3.3,1.1,0.1,2.2,1.9,14.1,4.05,0.544,0.507,0.493,0.303,8.3,25.4,0.3,14.5,26.3,7.9,5.9,13.8,0.164
29.4,4.4,8.6,0.513,4,7.1,0.558,0.4,1.5,0.294,2.9,4.2,0.676,1.842602041,4.091326531,4.8,5.4,1.9,0.5,2.8,1.4,12.1,5.01,0.571,0.538,0.172,0.496,11.93196481,15.44281525,2.760703812,21.4,24.32961877,10.3,12.5,22.8,0.21
32.7,6.6,10.9,0.603,6.4,10.4,0.616,0.2,0.5,0.361,3.2,4.7,0.674,3.5,7.6,11.1,2.3,0.7,1.6,2.7,2.3,16.6,4.53,0.629,0.612,0.048,0.429,24.2,18.2,4.2,17,29.7,9.4,7.7,17.1,0.307
27.9,5.2,9.6,0.548,5.1,9.3,0.556,0.1,0.3,0,4.1,5.5,0.751,2.6,5.3,7.9,2,0.5,1.7,3.1,3.3,14.7,3.95,0.604,0.553,0.031,0.578,15.5,17.8,5.2,20.1,30.6,8.1,2.4,10.5,0.172
33,5.5,11.9,0.462,4.3,8.5,0.511,1.2,3.4,0.34,3.6,5.4,0.671,1.7,3.4,5,3.3,2.4,0.5,2.3,1.7,15.7,5.35,0.546,0.511,0.287,0.455,8.8,21.5,1.2,13.5,25,6.2,7.4,13.6,0.184
22,3.2,7.3,0.444,2.5,5.2,0.471,0.8,2,0.373,2.1,2.9,0.721,1.842602041,4.091326531,3.5,0.8,0.6,0.4,1.5,2.7,9.3,5.48,0.538,0.496,0.278,0.398,11.93196481,15.44281525,2.760703812,15.2,24.32961877,3.8,4.1,7.8,0.126
32.6,3.9,9.3,0.414,2.7,6.4,0.429,1.1,2.9,0.38,3.6,4.8,0.747,1.842602041,4.091326531,4.4,4.2,1.6,0.1,2.4,2.6,12.4,-2.35,0.536,0.474,0.315,0.511,11.93196481,15.44281525,2.760703812,17.4,24.32961877,2.1,2.1,4.2,0.046
25,3.3,7.2,0.462,3,6,0.5,0.3,1.1,0.253,1.8,3.2,0.556,1.7,4.6,6.3,2,0.6,1.9,2.4,2.3,8.7,4.16,0.5,0.481,0.154,0.447,12.7,10.5,4.1,21.7,21.3,1.4,6.8,8.2,0.153
29,6.2,13.6,0.455,5.3,10.3,0.514,0.9,3.4,0.274,3.7,5.2,0.711,1.3,4.1,5.4,3.9,2.1,0.8,3.6,2.4,17.1,4.63,0.529,0.489,0.246,0.384,10.2,30,2.2,18.2,33.1,2.4,4.8,7.2,0.268
31.5,4.9,9.3,0.527,4.1,7,0.594,0.8,2.3,0.329,4.7,5.9,0.808,1.842602041,4.091326531,8.4,1.7,2.3,0.7,2.7,2.1,15.3,4.64,0.633,0.568,0.251,0.63,17.1,9.5,-0.6,18.2,24.7,11,8.1,19.1,0.252
32.5,6.4,11,0.577,6.4,11,0.578,0,0,0,3,4.6,0.648,2.9,5.3,7.5,1.1,0.8,2.9,2.4,2.3,15.7,4.4,0.595,0.578,0.002,0.42,11.93196481,15.44281525,2.760703812,15.6,24.32961877,11.3,9.8,21.1,0.209
34.9,6.3,13.2,0.482,5.3,10,0.53,1,3.1,0.33,3.9,5.7,0.687,1.842602041,4.091326531,9.4,3.8,0.8,1.5,3.4,2.9,17.6,5.58,0.556,0.521,0.238,0.432,11.93196481,15.44281525,2.760703812,17.8,24.32961877,2.9,2.9,5.8,0.206
29.3,5.6,12.4,0.455,4,8,0.494,1.7,4.4,0.384,2.6,3.3,0.765,1,3.1,4.1,2.6,1.2,0.2,2.2,1.6,15.5,6.01,0.555,0.523,0.352,0.269,7.9,19.5,0.6,13.6,27.4,5.1,3,8.2,0.172
31.8,7.4,18,0.41,5.5,12.2,0.453,1.8,5.8,0.317,4.6,6.4,0.722,0.5,2,2.5,3.6,1.2,0.6,2.9,2.8,21.2,4.72,0.504,0.461,0.321,0.355,11.93196481,15.44281525,2.760703812,12.2,24.32961877,1.7,2.4,4.1,0.143
28,3.1,5.9,0.53,3.1,5.9,0.535,0,0.1,0,3.2,5.6,0.57,1.842602041,4.091326531,9.5,1.2,1.2,2.1,2.2,2.1,9.4,3.63,0.551,0.53,0.011,0.937,11.93196481,15.44281525,2.760703812,21.1,24.32961877,5.9,14.3,20.2,0.241
31.7,5.4,10.1,0.537,4.9,8.6,0.569,0.5,1.5,0.353,4.3,5.9,0.74,1.842602041,4.091326531,8.4,2.1,0.9,1.9,2.9,2.3,15.7,3.23,0.61,0.563,0.148,0.582,11.93196481,15.44281525,2.760703812,19,24.32961877,13.3,10,23.3,0.235
37.5,5.7,14.4,0.399,4.3,9.4,0.457,1.5,5,0.292,2.4,3.9,0.624,1.2,3.3,4.6,3.2,2.3,0.2,2,2.3,15.4,5.33,0.473,0.45,0.347,0.268,6.9,22.6,0.6,11.2,26.1,1.4,11.8,13.2,0.113
31.6,5,10.3,0.485,4.7,9.2,0.512,0.3,1.1,0.268,3.9,6.5,0.611,1.5,3.6,5.1,4.9,2,0.5,3.4,2.3,14.3,-1.6,0.533,0.5,0.109,0.625,9.2,32,1.6,20.1,25.6,6.1,4.9,10.9,0.139
32.2,4.4,8.2,0.534,4.2,7.7,0.549,0.1,0.5,0.288,1.6,2.4,0.671,3,5.5,8.5,2.1,0.5,1.6,1.4,2.5,10.5,4.24,0.562,0.542,0.06,0.293,16.5,14.3,5,13,19.3,9.5,9.7,19.2,0.176
29.1,5.3,11,0.483,3.5,6.3,0.549,1.9,4.7,0.394,2.4,3,0.793,1.842602041,4.091326531,3.3,6.5,2.1,0.3,2.7,1,14.9,1.3,0.598,0.567,0.426,0.274,11.93196481,15.44281525,2.760703812,19.5,24.32961877,4.3,1.3,5.6,0.137
30.1,6.6,14.7,0.447,4.8,10,0.479,1.8,4.7,0.38,2.9,3.9,0.753,1.842602041,4.091326531,6.1,1.8,1.7,0.5,2,1.4,17.9,2.42,0.54,0.508,0.321,0.266,11.93196481,15.44281525,2.760703812,11.3,24.32961877,9,7.4,16.4,0.2
27.8,4.3,10.4,0.416,3,6.1,0.489,1.3,4.3,0.312,3.2,4,0.786,1.7,4.4,6.2,1.9,1.4,1.4,2.3,2.9,13.2,4.24,0.534,0.48,0.411,0.387,11.93196481,15.44281525,2.760703812,15.4,24.32961877,1.7,3.7,5.3,0.213
30.7,5,11.2,0.449,3.9,8.3,0.477,1.1,3,0.37,3.9,4.9,0.791,0.5,2.9,3.4,5.2,1.3,0.2,2.4,2,15,-0.76,0.555,0.498,0.264,0.437,6.4,36.3,0.3,15.3,26.3,9.8,7.9,17.7,0.177
32.1,5.4,13,0.412,3.3,7.5,0.439,2.1,5.5,0.376,2.6,4,0.648,1.4,4.2,5.6,2.1,1.1,0.6,2.3,2.6,15.4,5.15,0.516,0.492,0.425,0.303,7.8,16.4,0.7,13.2,26,3.8,4.6,8.5,0.121
22.2,3.9,7.8,0.491,3.7,7.5,0.496,0.2,0.4,0.404,3.5,4.5,0.784,1.842602041,4.091326531,6.7,0.6,0.5,0.9,1.5,1.8,11.4,5.42,0.571,0.501,0.05,0.577,11.93196481,15.44281525,2.760703812,14.2,24.32961877,7.9,7.5,15.4,0.168
30.8,5.7,13.3,0.426,4.4,9.3,0.477,1.3,4.1,0.31,4.1,6,0.677,2.3,4.1,6.4,2.7,0.9,0.8,3.1,2.4,16.7,3.25,0.516,0.473,0.305,0.454,8.9,12.2,2.1,16.2,29.5,3.9,6,9.9,0.153
31.2,6.3,13.6,0.464,4.4,8.8,0.498,1.9,4.8,0.401,3.1,3.7,0.817,1.7,3.5,5.2,2.2,1.9,0.6,2.5,2.5,17.6,-1.08,0.572,0.535,0.353,0.275,10.4,15.1,1,14.1,25.4,11.1,7.5,18.7,0.189
26.6,5.1,9,0.56,4.9,8.4,0.585,0.2,0.7,0.242,3.1,5.1,0.613,1.842602041,4.091326531,7,0.7,1.3,2.6,2.5,2.6,13.4,5.84,0.585,0.569,0.073,0.566,11.93196481,15.44281525,2.760703812,18,24.32961877,4.1,5.1,9.2,0.275
33.1,8.1,17.1,0.472,6.4,11.9,0.54,1.7,5.2,0.317,6.5,8.1,0.806,1.1,3.6,4.7,4.8,2.3,0.3,3.5,2.4,24.4,-1.48,0.581,0.52,0.306,0.474,8.9,30.7,0.6,14.2,36.3,7.2,1.1,8.3,0.17
27.1,4.9,10.5,0.467,4.8,10.2,0.474,0.1,0.3,0,2.8,4.6,0.619,3,4.7,7.7,1.3,0.5,0.8,2.9,2.8,12.7,5.38,0.501,0.47,0.028,0.434,16,10.2,3,18.8,28.2,1.9,3.9,5.8,0.094
26.1,4.7,8.8,0.527,4.1,7.4,0.557,0.6,1.5,0.378,3.1,3.9,0.809,1.6,3.6,5.2,1.6,0.8,0.3,2.2,2.9,13,1.32,0.609,0.559,0.166,0.439,12.8,13.5,0.4,16.9,27.7,11,5.1,16.1,0.193
