Career_PER
13.8
16.3
14.7
20.3
12.6
14.5
10.6
11.3
11.2
13.3
13.6
13.2
16.6
10.6
12.3
12.5
15
12.1
17.6
14.4
16.5
14.2
17.8
12.4
19.3
22.4
12.2
13.5
15.5
12.2
14.4
19.8
15.4
17.8
16.4
13.7
12.9
9.1
12.9
17.5
27.4
14
14.6
18.9
10.6
14.3
10.6
17.1
8.5
16.2
16.5
13.9
13.3
14.2
12.5
12.5
18.5
13
10.8
20
11.7
16.1
13.4
8
14.9
6.3
17
10.5
12.4
12.4
16.7
15.5
13
10.3
10.8
19.1
11
20.2
19.5
15.3
11.8
16
15.5
20
16.2
14.9
12.4
13.3
24.1
24.2
15.6
8.1
15
11.6
16.2
22.3
14.8
12.4
20.8
14.3
12.2
15.4
11.2
9.9
22
24
14.3
15.4
9.4
