,Player,Draft_Yr,College,Career_PER,Position
460,Jameer Nelson,2004,Saint Joseph's University,14.4,Perimeter
461,Jason Kapono,2003,"University of California, Los Angeles",10.5,Perimeter
462,Jamaal Magloire,2000,University of Kentucky,13.5,Interior
463,Eduardo Najera,2000,University of Oklahoma,12,Perimeter
464,Perry Jones,2012,Baylor University,8.5,Perimeter
465,Shane Larkin,2013,University of Miami,11.4,Perimeter
466,Justin Hamilton,2012,Louisiana State University,13.9,Interior
467,Cody Zeller,2013,Indiana University,15.5,Interior
468,Trenton Hassell,2001,Austin Peay State University,8.4,Perimeter
469,Mike Muscala,2013,Bucknell University,13.5,Interior
470,Shabazz Napier,2014,University of Connecticut,12.7,Perimeter
471,Courtney Alexander,2000,"California State University, Fresno",11.5,Perimeter
472,Ryan Bowen,1998,University of Iowa,10.5,Perimeter
473,Avery Bradley,2010,University of Texas at Austin,11.3,Perimeter
474,Dwight Powell,2014,Stanford University,18.3,Interior
475,Steve Francis,1999,University of Maryland,18.3,Perimeter
476,Metta World Peace,1999,St. John's University,14.8,Perimeter
477,Rashad McCants,2005,University of North Carolina,12.9,Perimeter
478,Acie Law,2007,Texas A&M University,9.9,Perimeter
479,Jimmer Fredette,2011,Brigham Young University,12.6,Perimeter
480,Gorgui Dieng,2013,University of Louisville,16,Interior
481,Trevor Booker,2010,Clemson University,15,Interior
482,Iman Shumpert,2011,Georgia Institute of Technology,9.9,Perimeter
483,Antawn Jamison,1998,University of North Carolina,18.1,Perimeter
484,Dwyane Wade,2003,Marquette University,23.6,Perimeter
485,Derrick Favors,2010,Georgia Institute of Technology,18.8,Interior
486,Marc Jackson,1997,Temple University,14.1,Interior
487,David Harrison,2004,University of Colorado,10.9,Interior
488,Eric Washington,1997,University of Alabama,9.5,Perimeter
489,Jon Leuer,2011,University of Wisconsin,14.5,Interior
490,Ricky Davis,1998,University of Iowa,14.7,Perimeter
491,Francisco Elson,1999,University of California,10,Interior
492,Aaron Gray,2007,University of Pittsburgh,11.5,Interior
493,Keith Bogans,2003,University of Kentucky,9.6,Perimeter
494,Mark Pope,1996,University of Kentucky,6.4,Perimeter
495,Trevor Ariza,2004,"University of California, Los Angeles",13.3,Perimeter
496,Luke Walton,2003,University of Arizona,11.7,Perimeter
497,Elton Brand,1999,Duke University,20.5,Interior
498,Brian Skinner,1998,Baylor University,12,Interior
499,Tim Thomas,1997,Villanova University,14,Perimeter
500,Danny Granger,2005,University of New Mexico,16.9,Perimeter
501,Kelly Olynyk,2013,Gonzaga University,16,Interior
502,Julian Wright,2007,University of Kansas,12.8,Perimeter
503,Mike Scott,2012,University of Virginia,13.5,Interior
504,Larry Hughes,1998,Saint Louis University,14.9,Perimeter
505,Dion Glover,1999,Georgia Institute of Technology,12.8,Perimeter
506,Rajon Rondo,2006,University of Kentucky,16.2,Perimeter
507,Michael Olowokandi,1998,University of the Pacific,10.7,Interior
508,Khris Middleton,2012,Texas A&M University,15.5,Perimeter
509,Hanno Mottola,2000,University of Utah,8.1,Perimeter
510,Von Wafer,2005,Florida State University,11.8,Perimeter
511,Wilson Chandler,2007,DePaul University,13.1,Perimeter
512,Zach LaVine,2014,"University of California, Los Angeles",14.8,Perimeter
513,Dan Dickau,2002,Gonzaga University,12.9,Perimeter
514,Scott Padgett,1999,University of Kentucky,12.9,Interior
515,Thaddeus Young,2007,Georgia Institute of Technology,16.4,Interior
516,T.J. Warren,2014,North Carolina State University,16.2,Perimeter
517,Jason Collier,2000,Georgia Institute of Technology,11.7,Interior
518,Ramon Sessions,2007,"University of Nevada, Reno",15.9,Perimeter
519,Patrick Beverley,2009,University of Arkansas,12.5,Perimeter
520,Kerry Kittles,1996,Villanova University,16,Perimeter
521,Corey Maggette,1999,Duke University,17.9,Perimeter
522,Al-Farouq Aminu,2010,Wake Forest University,12.4,Perimeter
523,Jerami Grant,2014,Syracuse University,12.6,Perimeter
524,Devin Harris,2004,University of Wisconsin,16,Perimeter
525,Craig Smith,2006,Boston College,16.2,Interior
526,Malik Rose,1996,Drexel University,13.4,Perimeter
527,Wesley Johnson,2010,Syracuse University,10,Perimeter
528,Joe Harris,2014,University of Virginia,11.8,Perimeter
529,John Henson,2012,University of North Carolina,17.1,Interior
530,John Wallace,1996,Syracuse University,14,Perimeter
531,Tyler Zeller,2012,University of North Carolina,14.9,Interior
532,Kentavious Caldwell-Pope,2013,University of Georgia,12,Perimeter
533,Tony Allen,2004,Oklahoma State University,14.2,Perimeter
534,Jeff Taylor,2012,Vanderbilt University,8.9,Perimeter
535,Javaris Crittenton,2007,Georgia Institute of Technology,10.6,Perimeter
536,Dion Waiters,2012,Syracuse University,12,Perimeter
