MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,TS%,eFG%,3PAr,FTr,TRB%,AST%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
21.3,3.6,7.1,0.508,3.6,7.1,0.505,0,0,0,2.5,3.9,0.639,1.842602041,4.091326531,8.4,1.2,0.9,1,1.6,1.7,9.8,-7.6,0.544,0.51,0.005,0.556,11.93196481,15.44281525,2.760703812,16.7,24.32961877,4.9,9.2,14.1,0.235
27.5,4.7,8.6,0.553,4.3,7,0.62,0.4,1.6,0.261,2.6,3.8,0.685,2.6,5.9,8.5,0.9,0.5,2.2,2,2.9,12.5,-7.19,0.602,0.577,0.188,0.44,18.7,8.5,8.8,16.4,23,9.4,6.3,15.7,0.178
32,6,12,0.496,5.7,11.1,0.51,0.3,0.9,0.31,4.5,6.5,0.694,3.8,5.8,9.6,1.5,1.1,1.2,2.4,2.6,16.7,7.99,0.553,0.507,0.074,0.541,17.3,10.7,2.5,13.7,27.3,7.1,8.2,15.3,0.202
19.8,4.2,7.1,0.587,4.2,7.1,0.59,0,0,0,2.4,3.8,0.635,3.1,3.6,6.7,1,0.7,0.7,1.6,1.8,10.8,9.54,0.604,0.587,0.004,0.536,11.93196481,15.44281525,2.760703812,15.2,24.32961877,2.3,2.8,5.1,0.315
23.5,5.4,9.7,0.558,5.4,9.6,0.565,0,0.2,0,4.3,7.1,0.604,4.1,5.8,9.8,1,1,1.8,2.1,3.2,15.1,6.82,0.579,0.56,0.016,0.726,22.5,9.2,7.5,13.6,30.5,3.8,2.7,6.5,0.29
29.9,6.6,11.4,0.575,6.3,10.8,0.586,0.2,0.6,0.377,3.7,5.1,0.72,2.2,5,7.2,0.7,0.5,2,2.4,3,17.1,1.35,0.616,0.585,0.055,0.45,14.9,7.4,6,14.8,29.1,12.7,5.9,18.5,0.202
32.1,6.2,11.8,0.526,6,11,0.544,0.2,0.8,0.291,4,6,0.667,3,6.6,9.6,2,0.9,1.9,2.6,3,16.7,-3.38,0.569,0.536,0.071,0.511,16.7,14.3,4,15.1,26.8,9.8,6.9,16.8,0.171
31,5.7,10.6,0.536,5.6,10.3,0.544,0.1,0.3,0,3.9,5.9,0.659,2.9,4.7,7.6,1.5,1,0.9,2.3,2.4,15.4,7.34,0.572,0.539,0.028,0.561,12.8,10.4,2,14.7,25.5,10.8,10,20.9,0.199
19.8,3,5.4,0.567,3,5.2,0.585,0,0.2,0,1.6,2.2,0.729,1.3,3.4,4.7,0.7,0.3,1.1,1.4,2.2,7.7,9.55,0.601,0.569,0.034,0.413,15.4,8.5,6.5,18.4,21.1,2.7,2.2,4.8,0.149
24.1,4.5,8.2,0.548,4.5,8.2,0.549,0,0,0,1.6,3.5,0.449,2.9,5.2,6.6,0.6,0.7,1.5,1.8,2.8,10.5,10.45,0.535,0.548,0.001,0.425,16.9,5.4,3.2,15.2,23,4.6,7.9,12.5,0.169
29.1,5.8,10.1,0.569,5.7,10,0.572,0,0.1,0,3.2,5.6,0.583,4.4,7.9,12.3,0.9,1.7,1.8,2.2,3.1,14.8,-4.03,0.579,0.57,0.009,0.549,25.8,6,8.5,14.9,26.1,11.8,12.4,24.3,0.245
