Player,Draft_Yr,College,Career_PER
Jared Sullinger,2012,Ohio State University,16.2
Ryan Anderson,2008,University of California,16.5
Jarrett Jack,2005,Georgia Institute of Technology,14.1
Bobby Simmons,2001,DePaul University,12.9
Darrell Arthur,2008,University of Kansas,12.2
Kenny Thomas,1999,University of New Mexico,13.9
P.J. Tucker,2006,University of Texas at Austin,11
Darius Songaila,2002,Wake Forest University,13.3
Josh Howard,2003,Wake Forest University,16.7
Mardy Collins,2006,Temple University,7.9
Vonteego Cummings,1999,University of Pittsburgh,11.8
Elfrid Payton,2014,University of Louisiana at Lafayette,15.2
Allen Iverson,1996,Georgetown University,20.9
Josh Boone,2006,University of Connecticut,14.2
Lavoy Allen,2011,Temple University,12.5
Jason Williams,1998,University of Florida,14.2
Rodney Buford,1999,Creighton University,10
Shawne Williams,2006,University of Memphis,12.5
Eric Maynor,2009,Virginia Commonwealth University,10.6
Stephon Marbury,1996,Georgia Institute of Technology,18.7
DeAndre Jordan,2008,Texas A&M University,18.5
Jonny Flynn,2009,Syracuse University,11.3
Joe Johnson,2001,University of Arkansas,15.4
Antoine Wright,2005,Texas A&M University,7.9
Steven Hunter,2001,DePaul University,13
Michael Doleac,1998,University of Utah,10.8
Greg Monroe,2010,Georgetown University,20
Michael Beasley,2008,Kansas State University,15.7
Kirk Snyder,2004,"University of Nevada, Reno",12.4
Vince Carter,1998,University of North Carolina,18.9
Ekpe Udoh,2010,Baylor University,11.7
Courtney Lee,2008,Western Kentucky University,12.2
Linas Kleiza,2005,University of Missouri,12.4
Stromile Swift,2000,Louisiana State University,16.1
Spencer Dinwiddie,2014,University of Colorado,15
Chris Mihm,2000,University of Texas at Austin,13.4
Rodney Stuckey,2007,Eastern Washington University,14.9
Gilbert Arenas,2001,University of Arizona,19.6
Josh Childress,2004,Stanford University,15.6
Mike Miller,2000,University of Florida,14.3
Deron Williams,2005,University of Illinois at Urbana-Champaign,18.2
Johnny O'Bryant III,2014,Louisiana State University,8
Joey Graham,2005,Oklahoma State University,11
Sean May,2005,University of North Carolina,14.9
Kirk Hinrich,2003,University of Kansas,12.8
Rafael Araujo,2004,Brigham Young University,6.3
Emeka Okafor,2004,University of Connecticut,17
Jae Crowder,2012,Marquette University,13
Ryan Kelly,2013,Duke University,10.5
Luther Head,2005,University of Illinois at Urbana-Champaign,12.3
Jeff Pendergraph,2009,Arizona State University,12.4
Kemba Walker,2011,University of Connecticut,19.2
Terrence Ross,2012,University of Washington,12.4
Austin Rivers,2012,Duke University,10.2
Markel Brown,2014,Oklahoma State University,10.1
Jodie Meeks,2009,University of Kentucky,12.8
