MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,TS%,eFG%,3PAr,FTr,TRB%,AST%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
31.2,5,10.1,0.495,4.6,8.9,0.513,0.4,1.2,0.356,2,4.7,0.422,2.7,5.3,8,2,0.9,1,1.4,2.4,12.4,9.04,0.503,0.516,0.118,0.471,14.9,13,3.4,10.5,23.2,2.1,3.3,5.4,0.183
29.8,4.8,10.1,0.471,2.1,4.3,0.488,2.7,5.8,0.458,3,3.5,0.87,0.4,1.8,2.2,2,0.8,0.1,2,2.2,15.2,9.02,0.646,0.602,0.572,0.342,4.1,13.3,0.2,14.7,22.3,14.1,2.8,17,0.176
30.6,7,14,0.503,5.7,10.3,0.551,1.3,3.7,0.368,4.2,5.5,0.761,1.3,3.8,5.1,2,0.7,0.4,1.7,1.7,19.7,4.24,0.591,0.552,0.262,0.397,9.4,17.4,0.9,9.4,26.7,10.5,3.6,14.1,0.193
36.1,6,13.3,0.452,5.5,10.9,0.506,0.5,2.5,0.215,2.9,4.3,0.676,2.8,5.9,8.6,1.5,1.6,1.4,2.5,2.3,15.5,6.98,0.504,0.472,0.185,0.326,14,9.6,4.2,14,24.9,1.8,1.3,3.2,0.109
36.5,8.2,15,0.547,8.2,14.8,0.551,0,0.1,0,4,8.2,0.491,1.842602041,4.091326531,12.7,1.5,0.7,5.7,3.8,2.4,20.4,-5.01,0.541,0.548,0.008,0.55,11.93196481,15.44281525,2.760703812,16.7,24.32961877,5,5,9.9,0.125
35.4,6,12.8,0.469,4.1,7.8,0.524,1.9,5,0.383,3.1,4,0.782,1.4,4.4,5.8,2.8,1.3,0.4,2.1,1.8,17,9.93,0.58,0.544,0.389,0.31,10,16.8,0.7,12.8,24.8,9.2,3.8,13,0.147
28.1,4.9,8.6,0.572,4.9,8.6,0.574,0,0.1,0,4,5.7,0.694,3.2,5.9,9.1,0.9,1.2,3,2.3,3.1,13.9,9.51,0.611,0.573,0.01,0.659,18.3,6.3,7.3,16.9,24,12.4,16.8,29.2,0.299
23.7,4.4,7.5,0.586,4.4,7.5,0.59,0,0.1,0,2.2,3.7,0.581,1.842602041,4.091326531,7.5,1.2,1.1,2.5,1.6,2,11,6.65,0.592,0.587,0.01,0.494,11.93196481,15.44281525,2.760703812,14.3,24.32961877,8.2,16.4,24.7,0.346
30.2,6.5,14.7,0.445,3.9,8.3,0.464,2.7,6.4,0.422,3.1,4,0.777,1.7,4.1,5.4,2.1,1.2,0.6,2.8,2.3,18.9,8.07,0.569,0.537,0.434,0.269,11.93196481,15.44281525,2.760703812,14.3,24.32961877,7.9,4.3,12.2,0.193
20.4,2.7,5.2,0.517,2.7,5.2,0.519,0,0,0,1,1.6,0.61,1.842602041,4.091326531,5,0.5,0.4,2.6,1.2,2,6.4,6.65,0.533,0.517,0.004,0.307,11.93196481,15.44281525,2.760703812,17,24.32961877,1.7,3.4,5.1,0.099
34.2,4.7,10.6,0.445,3,5.6,0.541,1.7,5,0.339,3.6,4.7,0.769,1.4,5.4,6.7,2.2,1.4,0.8,2.1,2.1,14.8,7.33,0.575,0.525,0.473,0.44,12.3,12.7,2.6,14.3,23,3.6,2.1,5.7,0.18
29.7,5.1,11.9,0.427,4.1,8.7,0.471,1,3.2,0.307,3.3,4.1,0.786,1.842602041,4.091326531,5.5,3.5,1.8,0.3,2.3,2.8,14.4,8.06,0.519,0.469,0.268,0.346,11.93196481,15.44281525,2.760703812,14.1,24.32961877,3,4.8,7.8,0.176
21.1,3.8,6.2,0.616,3.8,6.2,0.617,0,0,0,2.9,4.2,0.684,2,4.4,6.4,1.7,0.9,1.7,1.8,2,10.5,6.65,0.642,0.617,0.003,0.679,16.5,16,6.4,18,24.2,8.7,9,17.7,0.31
32.1,6.7,13.8,0.488,5.8,11.3,0.516,0.9,2.5,0.358,4.4,5.9,0.747,1.842602041,4.091326531,7,2,0.8,0.6,2.9,2.1,18.8,6.82,0.565,0.52,0.182,0.427,11.93196481,15.44281525,2.760703812,16,24.32961877,8.8,3.1,11.9,0.111
33.4,3,7.2,0.418,1.9,3.7,0.511,1.1,3.5,0.321,1.7,2.4,0.693,0.8,2.6,3.4,5.7,2.1,0.1,2.5,1.9,8.8,10.09,0.529,0.497,0.489,0.338,5.8,30,0.3,22.8,16.3,4.6,9.8,14.5,0.12
30.6,4.6,10.4,0.44,4,8.5,0.472,0.6,1.9,0.297,2.8,3.4,0.814,1.3,4,5.3,3,1.4,0.4,2.9,2.5,12.5,8.4,0.52,0.467,0.185,0.33,10.6,21.9,1.4,19.6,24.8,4.7,4.8,9.6,0.105
24.4,3.4,7.9,0.434,3.4,7.9,0.435,0,0,0,2.2,3.8,0.584,1.842602041,4.091326531,7.4,0.6,0.8,3.5,1.6,2.9,9.1,4.07,0.468,0.434,0.002,0.486,11.93196481,15.44281525,2.760703812,14.3,24.32961877,0.5,8.3,8.7,0.181
26.6,5.5,9.6,0.568,5.5,9.6,0.568,0,0,0,2.7,4.3,0.614,4.7,6,10.7,1.1,1.6,1,1.6,2.8,13.6,8.22,0.582,0.568,0,0.448,22.7,8.2,2.9,12,24.6,5.4,9.6,15,0.314
32.2,4.5,10.8,0.416,3.7,8.4,0.439,0.8,2.4,0.336,5.1,6.4,0.798,1.842602041,4.091326531,3.8,6.8,2.6,0.1,3.5,2.8,14.9,7.59,0.539,0.453,0.224,0.598,11.93196481,15.44281525,2.760703812,20.3,24.32961877,4.9,4.9,9.8,0.105
34,5.9,13.7,0.433,2.6,5.6,0.472,3.3,8.1,0.406,4.8,5.2,0.912,0.5,2.2,2.7,2.2,1.1,0.1,2.1,1.6,19.9,9.51,0.615,0.553,0.591,0.381,4.3,12.7,0.1,11.6,25.7,18.4,5.1,23.5,0.199
21.3,3.6,7.1,0.508,3.6,7.1,0.505,0,0,0,2.5,3.9,0.639,1.842602041,4.091326531,8.4,1.2,0.9,1,1.6,1.7,9.8,-7.6,0.544,0.51,0.005,0.556,11.93196481,15.44281525,2.760703812,16.7,24.32961877,4.9,9.2,14.1,0.235
27.5,4.7,8.6,0.553,4.3,7,0.62,0.4,1.6,0.261,2.6,3.8,0.685,2.6,5.9,8.5,0.9,0.5,2.2,2,2.9,12.5,-7.19,0.602,0.577,0.188,0.44,18.7,8.5,8.8,16.4,23,9.4,6.3,15.7,0.178
32,6,12,0.496,5.7,11.1,0.51,0.3,0.9,0.31,4.5,6.5,0.694,3.8,5.8,9.6,1.5,1.1,1.2,2.4,2.6,16.7,7.99,0.553,0.507,0.074,0.541,17.3,10.7,2.5,13.7,27.3,7.1,8.2,15.3,0.202
31.4,6.8,15,0.457,5,9.9,0.502,1.9,5.1,0.369,2.4,3.1,0.772,1.2,3.6,5,1.5,1.3,0.5,1.7,2.3,18,5.2,0.546,0.519,0.339,0.209,8,11.2,0.9,9.5,26.3,6,3.3,9.2,0.14
35.1,6.8,13,0.519,6.1,11,0.549,0.7,2,0.352,4.2,5.3,0.789,3.3,5.5,8.9,2.3,1.6,0.4,2.3,2.1,18.4,7.36,0.592,0.546,0.152,0.411,15.3,13.8,0.8,12.9,23.8,13.1,7.5,20.5,0.202
28,4.3,9.4,0.457,3.2,6.3,0.503,1.1,3.1,0.364,2.5,3,0.831,1,2.4,3.4,1.9,1.3,0.1,2,1.9,12.2,7.69,0.565,0.518,0.332,0.319,7.7,14,0.3,15.8,23.8,5.9,2.8,8.7,0.128
19.9,3.4,7.4,0.455,2.1,4.1,0.522,1.3,3.4,0.375,1.4,1.6,0.845,1.4,2.7,4.1,1.8,1.1,1.1,1.4,1.9,9.4,8.39,0.574,0.54,0.455,0.222,10.9,15.1,3.6,14.9,22.3,6.5,10.4,16.8,0.233
24,2.9,6.1,0.466,2.3,4.7,0.485,0.6,1.4,0.404,1.9,2.6,0.725,1.842602041,4.091326531,2.6,4.4,1.2,0.2,2.2,2.2,8.2,-6.87,0.555,0.513,0.232,0.431,11.93196481,15.44281525,2.760703812,15.6,24.32961877,4.7,4.3,9,0.128
19.8,4.2,7.1,0.587,4.2,7.1,0.59,0,0,0,2.4,3.8,0.635,3.1,3.6,6.7,1,0.7,0.7,1.6,1.8,10.8,9.54,0.604,0.587,0.004,0.536,11.93196481,15.44281525,2.760703812,15.2,24.32961877,2.3,2.8,5.1,0.315
22.9,3.5,8,0.438,3.2,6.3,0.511,0.3,1.8,0.175,2.4,4.3,0.568,2.3,3.7,6,1.5,1.2,1,2.4,2.4,9.8,6.27,0.485,0.457,0.219,0.538,11.93196481,15.44281525,2.760703812,19.2,24.32961877,0.4,3,3.5,0.168
23.5,5.4,9.7,0.558,5.4,9.6,0.565,0,0.2,0,4.3,7.1,0.604,4.1,5.8,9.8,1,1,1.8,2.1,3.2,15.1,6.82,0.579,0.56,0.016,0.726,22.5,9.2,7.5,13.6,30.5,3.8,2.7,6.5,0.29
29.9,6.6,11.4,0.575,6.3,10.8,0.586,0.2,0.6,0.377,3.7,5.1,0.72,2.2,5,7.2,0.7,0.5,2,2.4,3,17.1,1.35,0.616,0.585,0.055,0.45,14.9,7.4,6,14.8,29.1,12.7,5.9,18.5,0.202
33,5.5,12.7,0.433,3.7,7.7,0.479,1.8,5,0.363,3.4,4.3,0.773,2.4,4.4,6.9,2,1.1,0.7,2.1,2.6,16.2,8.97,0.548,0.504,0.392,0.342,11.6,11.9,1.8,12.6,24.7,13.5,12.2,25.7,0.21
32.1,6.2,11.8,0.526,6,11,0.544,0.2,0.8,0.291,4,6,0.667,3,6.6,9.6,2,0.9,1.9,2.6,3,16.7,-3.38,0.569,0.536,0.071,0.511,16.7,14.3,4,15.1,26.8,9.8,6.9,16.8,0.171
31,5.7,10.6,0.536,5.6,10.3,0.544,0.1,0.3,0,3.9,5.9,0.659,2.9,4.7,7.6,1.5,1,0.9,2.3,2.4,15.4,7.34,0.572,0.539,0.028,0.561,12.8,10.4,2,14.7,25.5,10.8,10,20.9,0.199
29.2,5.2,10.9,0.477,4.3,8.3,0.521,0.9,2.6,0.337,3.7,5.1,0.712,1.4,3.2,4.5,4.7,1.2,0.4,2.7,1.7,14.9,5.76,0.56,0.517,0.239,0.47,8.3,30.4,0.9,16.7,26,2.8,3.8,6.6,0.226
30.8,3.6,7.7,0.466,2.9,5.5,0.523,0.7,2.2,0.321,2.5,3.1,0.805,2,4,5.5,3.5,1.5,0.7,2.6,2.5,10.4,6.25,0.566,0.511,0.281,0.408,9.6,36.1,1.3,22,21.8,7.1,9.2,16.3,0.171
33.1,6.6,14.6,0.453,3.7,7.2,0.514,2.9,7.4,0.393,3.1,4.7,0.671,0.8,2.6,3.7,6,2.2,0.1,3.9,2.3,19.3,10,0.572,0.552,0.506,0.322,11.93196481,15.44281525,2.760703812,18.9,24.32961877,10.3,7.2,17.6,0.197
19.8,3,5.4,0.567,3,5.2,0.585,0,0.2,0,1.6,2.2,0.729,1.3,3.4,4.7,0.7,0.3,1.1,1.4,2.2,7.7,9.55,0.601,0.569,0.034,0.413,15.4,8.5,6.5,18.4,21.1,2.7,2.2,4.8,0.149
24.1,4.5,8.2,0.548,4.5,8.2,0.549,0,0,0,1.6,3.5,0.449,2.9,5.2,6.6,0.6,0.7,1.5,1.8,2.8,10.5,10.45,0.535,0.548,0.001,0.425,16.9,5.4,3.2,15.2,23,4.6,7.9,12.5,0.169
29.1,5.8,10.1,0.569,5.7,10,0.572,0,0.1,0,3.2,5.6,0.583,4.4,7.9,12.3,0.9,1.7,1.8,2.2,3.1,14.8,-4.03,0.579,0.57,0.009,0.549,25.8,6,8.5,14.9,26.1,11.8,12.4,24.3,0.245
28.8,4,7.4,0.544,4,7.1,0.558,0,0.3,0,2.5,3.9,0.634,1.842602041,4.091326531,9.3,1.4,1.6,0.4,2.3,1.8,10.5,8.12,0.571,0.547,0.036,0.528,11.93196481,15.44281525,2.760703812,19.8,24.32961877,2.4,3.4,5.8,0.12
27.9,3.7,7.8,0.477,2.6,4.6,0.575,1.1,3.2,0.337,1.7,2.8,0.611,1.9,4.1,6,2.4,0.9,0.3,1.6,2,10.2,5.9,0.56,0.546,0.411,0.363,13,19.1,0.9,15.3,19.6,8.4,7.2,15.5,0.157
25.5,3.6,8.2,0.439,2.2,4.6,0.472,1.4,3.6,0.396,4.1,5,0.816,0.6,2.1,2.8,1.3,0.6,0.1,1.7,1.8,12.7,-3.82,0.6,0.526,0.438,0.604,6.4,11.2,0.3,13.5,23.8,10,3,13,0.159
