,Player,School,MP,FGA,FG%,2P,3P,3PA,FT,FTA,ORB,STL,BLK,TOV,PTS,eFG%,TRB%,AST%,OWS,DWS,WS/40,,Career_PER,,,,,,,,,
31,Ray Allen,UConn,28.6,14.3,0.487,4.7,2.3,5.1,2.8,3.5,1.842602041,1.6,0.4,1.9,19,0.567,11.93196481,15.44281525,5,3.3,0.115,,18.6,,,,,,,,,
32,Darren Collison,UCLA,29.2,8.3,0.475,2.8,1.2,2.7,2.5,2.9,0.4,1.6,0.1,2.4,11.5,0.544,5.1,24.4,11,8.2,0.185,,16.2,,,,,,,,,
33,Cole Aldrich,Kansas,21,6.1,0.574,3.5,0,0,2.3,3.2,2.3,0.5,2.3,1.2,9.4,0.574,20.5,6.5,7.4,9,0.282,,16.6,,,,,,,,,
34,Eric Bledsoe,Kentucky,30.3,8.4,0.462,2.6,1.3,3.5,2.2,3.3,0.5,1.4,0.3,3,11.3,0.54,5.5,16.8,1.5,2.1,0.126,,18,,,,,,,,,
35,Mike Conley,Ohio State,31.6,7.9,0.518,3.6,0.5,1.8,2.6,3.7,0.7,2.2,0.3,2.2,11.3,0.552,11.93196481,15.44281525,2.7,3.4,0.199,,17.6,,,,,,,,,
36,Rasual Butler,La Salle,38.3,16.7,0.409,4.3,2.6,7.1,3.1,3.7,2.1,1,1.1,2.7,19.3,0.486,11.93196481,15.44281525,7.1,6.1,0.126,,10.6,,,,,,,,,
37,Terrence Williams,Louisville,32.2,10.3,0.4,2.7,1.4,4.4,1.5,2.6,1.5,1.5,0.6,2.4,11.2,0.467,11,21.4,1.9,13.5,0.136,,11.5,,,,,,,,,
38,Marcus Williams,UConn,27.9,7.2,0.402,2.1,0.8,2.1,2.4,3,0.7,1,0.2,3.2,9,0.455,5.7,43.3,2.2,4.7,0.141,,11,,,,,,,,,
39,Jerome James,Florida A&M,25.8,12.8,0.495,6.3,0,0,3.3,6.2,1.842602041,0.5,4.5,3.3,16,0.495,11.93196481,15.44281525,3.1,6.3,0.143,,10.6,,,,,,,,,
40,Mario Chalmers,Kansas,28.5,8.3,0.486,2.4,1.6,3.9,2.5,3.2,0.3,2.6,0.4,2.4,12.2,0.584,5.3,22.7,9.5,9,0.236,,12.7,,,,,,,,,
41,Desmond Mason,Oklahoma State,30,9.8,0.486,3.8,1,2.7,2.6,3.6,1.842602041,1.2,0.7,1.7,13.2,0.537,11.93196481,15.44281525,9.4,9.8,0.198,,12.7,,,,,,,,,
42,Richard Hamilton,UConn,31.4,15.7,0.426,4.4,2.3,6.1,4,4.9,1.842602041,1.3,0.3,2.7,19.8,0.499,11.93196481,15.44281525,9.5,7.2,0.196,,16.5,,,,,,,,,
43,Fred Jones,Oregon,28.2,9.2,0.481,3.3,1.2,3.5,3.1,3.9,1.9,1.2,0.6,2.4,13.2,0.545,11.93196481,15.44281525,9.7,5.7,0.174,,11.3,,,,,,,,,
44,Michael Redd,Ohio State,33.1,16.3,0.448,6,1.3,4.1,3.7,5.7,1.842602041,1.6,0.1,2.3,19.6,0.488,11.93196481,15.44281525,6,5.4,0.164,,19.5,,,,,,,,,
45,Anthony Parker,Bradley,32.2,10.5,0.447,2.9,1.7,4.6,3.9,5.2,1.842602041,1.4,0.7,2.5,15,0.53,11.93196481,15.44281525,6,4.3,0.113,,12.2,,,,,,,,,
46,Jrue Holiday,UCLA,27.1,7.1,0.45,2.4,0.8,2.5,1.3,1.8,1.3,1.6,0.5,2.1,8.5,0.504,8.9,23.8,1.2,2.1,0.138,,16.9,,,,,,,,,
47,Chris Paul,Wake Forest,33.5,9.3,0.472,3,1.4,2.9,4.9,5.8,0.7,2.5,0.2,2.7,15,0.545,6.6,32.3,6.3,3.1,0.178,,25.3,,,,,,,,,
48,Aaron Gordon,Arizona,31.2,10.1,0.495,4.6,0.4,1.2,2,4.7,2.7,0.9,1,1.4,12.4,0.516,14.9,13,2.1,3.3,0.183,,15.2,,,,,,,,,
49,Salim Stoudamire,Arizona,29.8,10.1,0.471,2.1,2.7,5.8,3,3.5,0.4,0.8,0.1,2,15.2,0.602,4.1,13.3,14.1,2.8,0.176,,11.8,,,,,,,,,
50,Adam Morrison,Gonzaga,30.6,14,0.503,5.7,1.3,3.7,4.2,5.5,1.3,0.7,0.4,1.7,19.7,0.552,9.4,17.4,10.5,3.6,0.193,,7.4,,,,,,,,,
51,Maurice Harkless,St. John's (NY),36.1,13.3,0.452,5.5,0.5,2.5,2.9,4.3,2.8,1.6,1.4,2.5,15.5,0.472,14,9.6,1.8,1.3,0.109,,12.4,,,,,,,,,
52,Adonal Foyle,Colgate,36.5,15,0.547,8.2,0,0.1,4,8.2,1.842602041,0.7,5.7,3.8,20.4,0.548,11.93196481,15.44281525,5,5,0.125,,12.3,,,,,,,,,
53,Chase Budinger,Arizona,35.4,12.8,0.469,4.1,1.9,5,3.1,4,1.4,1.3,0.4,2.1,17,0.544,10,16.8,9.2,3.8,0.147,,13,,,,,,,,,
54,Shelden Williams,Duke,28.1,8.6,0.572,4.9,0,0.1,4,5.7,3.2,1.2,3,2.3,13.9,0.573,18.3,6.3,12.4,16.8,0.299,,12.5,,,,,,,,,
