Draft_Yr,Player,College,Career_PER
1984,Tony Campbell,Ohio State University,14.5
2000,Speedy Claxton,Hofstra University,14.5
2016,Skal Labissiere,University of Kentucky,14.5
2015,Rondae Hollis-Jefferson,University of Arizona,14.5
1963,Rod Thorn,West Virginia University,14.5
1998,Robert Traylor,University of Michigan,14.5
1986,Nate McMillan,North Carolina State University,14.5
1954,Larry Costello,Niagara University,14.5
1987,Ken Norman,University of Illinois at Urbana-Champaign,14.5
2011,Jon Leuer,University of Wisconsin,14.5
1991,Greg Anthony,"University of Nevada, Las Vegas",14.5
1965,Fred Hetzel,Davidson College,14.5
2000,Etan Thomas,Syracuse University,14.5
1974,Eric Money,University of Arizona,14.5
2008,Eric Gordon,Indiana University,14.5
1980,Don Collins,Washington State University,14.5
1970,Dave Sorenson,Ohio State University,14.5
1958,Dave Gambee,Oregon State University,14.5
2008,D.J. White,Indiana University,14.5
1989,Clifford Robinson,University of Connecticut,14.5
1961,Bill Bridges,University of Kansas,14.5
1989,B.J. Armstrong,University of Iowa,14.5
2014,Andrew Wiggins,University of Kansas,14.5
1995,Alan Henderson,Indiana University,14.5
1953,Walter Dukes,Seton Hall University,14.4
1987,Steve Alford,Indiana University,14.4
1986,Scott Skiles,Michigan State University,14.4
2006,Ronnie Brewer,University of Arkansas,14.4
1993,Rodney Rogers,Wake Forest University,14.4
1983,Rodney McCray,University of Louisville,14.4
2001,Richard Jefferson,University of Arizona,14.4
2009,Patrick Mills,Saint Mary's College of California,14.4
2017,Kyle Kuzma,University of Utah,14.4
1997,Kelvin Cato,Iowa State University,14.4
1973,John Williamson,New Mexico State University,14.4
1967,Jimmy Walker,Providence College,14.4
2004,Jameer Nelson,Saint Joseph's University,14.4
1971,Howard Porter,Villanova University,14.4
1968,Don May,University of Dayton,14.4
1965,Dick Van Arsdale,Indiana University,14.4
1965,Dave Stallworth,Wichita State University,14.4
2002,Dan Gadzuric,"University of California, Los Angeles",14.4
1998,Cuttino Mobley,University of Rhode Island,14.4
1971,Clifford Ray,University of Oklahoma,14.4
1991,Billy Owens,Syracuse University,14.4
1985,A.C. Green,Oregon State University,14.4
1983,Thurl Bailey,North Carolina State University,14.3
1995,Theo Ratliff,University of Wyoming,14.3
1972,Steve Hawes,University of Washington,14.3
1997,Stephen Jackson,Butler County Community College,14.3
1984,Ron Anderson,"California State University, Fresno",14.3
2006,Renaldo Balkman,University of South Carolina,14.3
2000,Mike Miller,University of Florida,14.3
1973,Mike Bantom,Saint Joseph's University,14.3
1984,Melvin Turpin,University of Kentucky,14.3
1951,Mel Payton,Tulane University,14.3
1976,Johnny Davis,University of Dayton,14.3
1996,Erick Dampier,Mississippi State University,14.3
1991,Elliot Perry,University of Memphis,14.3
2001,Eddie Griffin,Seton Hall University,14.3
1995,Bob Sura,Florida State University,14.3
1997,Austin Croshere,Providence College,14.3
1975,Wilbur Holland,University of New Orleans,14.2
1992,Walt Williams,University of Maryland,14.2
2004,Tony Allen,Oklahoma State University,14.2
1974,Scott Wedman,University of Colorado,14.2
1976,Scott May,Indiana University,14.2
1970,Sam Lacey,New Mexico State University,14.2
1973,Ron Behagen,University of Minnesota,14.2
1987,Reggie Williams,Georgetown University,14.2
1976,Lonnie Shelton,Oregon State University,14.2
1987,Kevin Gamble,University of Iowa,14.2
1977,Kent Benson,Indiana University,14.2
2006,Josh Boone,University of Connecticut,14.2
1978,John Long,University of Detroit Mercy,14.2
1964,Jim Davis,University of Colorado,14.2
1999,Jeff Foster,Texas State University,14.2
1998,Jason Williams,University of Florida,14.2
1998,Jahidi White,Georgetown University,14.2
1979,Greg Kelser,Michigan State University,14.2
1981,Frank Brickowski,Pennsylvania State University,14.2
1976,Earl Tatum,Marquette University,14.2
1955,Dick Garmaker,University of Minnesota,14.2
2016,Dejounte Murray,University of Washington,14.2
2008,D.J. Augustin,University of Texas at Austin,14.2
1983,Antoine Carr,Wichita State University,14.2
1969,Jo Jo White,University of Kansas,14.2
1952,Zeke Zawoluk,St. John's University,14.1
1994,Wesley Person,Auburn University,14.1
1955,Tom Gola,La Salle University,14.1
1992,Todd Day,University of Arkansas,14.1
1985,Terry Catledge,University of South Alabama,14.1
1985,Sam Vincent,Michigan State University,14.1
1956,Ron Sobie,DePaul University,14.1
1992,P.J. Brown,Louisiana Tech University,14.1
2011,Markieff Morris,University of Kansas,14.1
1997,Marc Jackson,Temple University,14.1
1982,Lester Conner,Oregon State University,14.1
1994,Lamond Murray,University of California,14.1
2010,Jordan Crawford,Xavier University,14.1
1970,John Johnson,University of Iowa,14.1
2005,Jarrett Jack,Georgia Institute of Technology,14.1
1950,George King,University of Charleston,14.1
1955,Ed Fleming,Niagara University,14.1
1966,Dick Snyder,Davidson College,14.1
1975,Dave Meyers,"University of California, Los Angeles",14.1
1985,Carey Scurry,Long Island University,14.1
2011,Brandon Knight,University of Kentucky,14.1
1991,Bobby Phills,Southern University and A&M College,14.1
1950,Bob Donham,Ohio State University,14.1
1969,Bingo Smith,University of Tulsa,14.1
1990,Antonio Davis,University of Texas at El Paso,14.1
1976,Mike Dunleavy,University of South Carolina,14
1978,George Johnson,St. John's University,14
1990,Tyrone Hill,Xavier University,14
1997,Tim Thomas,Villanova University,14
2012,Thomas Robinson,University of Kansas,14
2007,Spencer Hawes,University of Washington,14
1969,Norm Van Lier,Saint Francis University,14
1966,Neil Johnson,Creighton University,14
1981,Mike McGee,University of Michigan,14
1973,M.L. Carr,Guilford College,14
1999,Lee Nailon,Texas Christian University,14
1980,Larry Drew,University of Missouri,14
1979,Kyle Macy,University of Kentucky,14
1996,John Wallace,Syracuse University,14
2014,Gary Harris,Michigan State University,14
1969,Fred Carter,Mount St. Mary's University,14
1994,Eric Piatkowski,University of Nebraska,14
1981,Darnell Valentine,University of Kansas,14
1972,Charles Dudley,University of Washington,14
1961,Ben Warley,Tennessee State University,14
2002,Mike Dunleavy,Duke University,13.9
1969,Willie Norwood,Alcorn State University,13.9
1989,Sean Elliott,University of Arizona,13.9
1975,Ricky Sobers,"University of Nevada, Las Vegas",13.9
1988,Rex Chapman,University of Kentucky,13.9
1979,Phil Hubbard,University of Michigan,13.9
1978,Phil Ford,University of North Carolina,13.9
1964,Paul Silas,Creighton University,13.9
1972,Mickey Davis,Duquesne University,13.9
1994,Michael Smith,Providence College,13.9
1984,Michael Cage,San Diego State University,13.9
2011,MarShon Brooks,Providence College,13.9
2003,Luke Ridnour,University of Oregon,13.9
1995,Kurt Thomas,Texas Christian University,13.9
1999,Kenny Thomas,University of New Mexico,13.9
2012,Justin Hamilton,Louisiana State University,13.9
1970,Jim McMillian,Columbia University,13.9
1973,Jim Chones,Marquette University,13.9
1984,Jay Humphries,University of Colorado,13.9
1987,Derrick McKey,University of Alabama,13.9
2004,Delonte West,Saint Joseph's University,13.9
1983,Darren Daye,"University of California, Los Angeles",13.9
1981,Al Wood,University of North Carolina,13.9
1969,Herm Gilliam,Purdue University,13.8
1988,Willie Anderson,University of Georgia,13.8
1994,Voshon Lenard,University of Minnesota,13.8
2013,Trey Burke,University of Michigan,13.8
1995,Travis Best,Georgia Institute of Technology,13.8
1958,Shellie McMillon,Bradley University,13.8
1997,Scot Pollard,University of Kansas,13.8
2005,Ronny Turiaf,Gonzaga University,13.8
2005,Raymond Felton,University of North Carolina,13.8
1959,Paul Neumann,Stanford University,13.8
1983,Mitchell Wiggins,Florida State University,13.8
1975,Marvin Webster,Morgan State University,13.8
1988,Ledell Eackles,University of New Orleans,13.8
1979,James Donaldson,Washington State University,13.8
1986,Harold Pressley,Villanova University,13.8
1975,Gus Gerard,University of Virginia,13.8
1950,Dick Schnittker,Ohio State University,13.8
2009,Derrick Brown,Xavier University,13.8
1990,Derek Strong,Xavier University,13.8
1972,Dave Twardzik,Old Dominion University,13.8
1980,Darwin Cook,University of Portland,13.8
1988,Dan Majerle,Central Michigan University,13.8
1982,Cliff Levingston,Wichita State University,13.8
1993,Chris Whitney,Clemson University,13.8
1994,Charlie Ward,Florida State University,13.8
1995,Bryant Reeves,Oklahoma State University,13.8
1974,Al Skinner,University of Massachusetts Amherst,13.8
1991,Victor Alexander,Iowa State University,13.7
1996,Tony Delk,University of Kentucky,13.7
1975,Tom Boswell,University of South Carolina,13.7
1982,Terry Teagle,Baylor University,13.7
2002,Tayshaun Prince,University of Kentucky,13.7
1991,Stacey Augmon,"University of Nevada, Las Vegas",13.7
1981,Sam Williams,Arizona State University,13.7
1983,Paul Thompson,Tulane University,13.7
2012,Miles Plumlee,Duke University,13.7
1974,Mike Sojourner,University of Utah,13.7
2012,Michael Kidd-Gilchrist,University of Kentucky,13.7
2013,Michael Carter-Williams,Syracuse University,13.7
2005,Marvin Williams,University of North Carolina,13.7
1961,Larry Siegfried,Ohio State University,13.7
1962,Kevin Loughery,St. John's University,13.7
1985,John Battle,Rutgers University,13.7
1972,Jim Price,University of Louisville,13.7
2010,Greivis Vasquez,University of Maryland,13.7
1977,Glen Gondrezick,"University of Nevada, Las Vegas",13.7
1954,Gene Shue,University of Maryland,13.7
1995,Fred Hoiberg,Iowa State University,13.7
1974,Foots Walker,State University of West Georgia,13.7
1963,Eddie Miles,Seattle University,13.7
1983,Darrell Walker,University of Arkansas,13.7
1967,Dale Schlueter,Colorado State University,13.7
1986,Chuck Person,Auburn University,13.7
2016,Caris LeVert,University of Michigan,13.7
1959,Bob Ferry,Saint Louis University,13.7
1977,Billy McKinney,Northwestern University,13.7
1958,Archie Dees,Indiana University,13.7
1997,Alvin Williams,Villanova University,13.7
1988,Will Perdue,Vanderbilt University,13.6
1966,Walt Wesley,University of Kansas,13.6
1995,Tyus Edney,"University of California, Los Angeles",13.6
1977,Tree Rollins,Clemson University,13.6
1991,Stanley Roberts,Louisiana State University,13.6
1978,Roger Phegley,Bradley University,13.6
1991,Rick Fox,University of North Carolina,13.6
2003,Matt Bonner,University of Florida,13.6
1992,Malik Sealy,St. John's University,13.6
1982,LaSalle Thompson,University of Texas at Austin,13.6
2014,Kyle Anderson,"University of California, Los Angeles",13.6
1965,Jon McGlocklin,Indiana University,13.6
2001,Jamaal Tinsley,Iowa State University,13.6
1981,Herb Williams,Ohio State University,13.6
1979,Dave Greenwood,"University of California, Los Angeles",13.6
1978,Dave Corzine,DePaul University,13.6
1953,Bob Houbregs,University of Washington,13.6
1956,Bob Hopkins,Grambling State University,13.6
1953,Billy Kenville,St. Bonaventure University,13.6
1994,Anthony Miller,Michigan State University,13.6
2011,Alec Burks,University of Colorado,13.6
1974,Aaron James,Grambling State University,13.6
2013,Tim Hardaway,University of Michigan,13.5
1969,Wil Jones,Albany State University,13.5
1988,Vinny Del Negro,North Carolina State University,13.5
1993,Scott Burrell,University of Connecticut,13.5
1968,Ron Williams,West Virginia University,13.5
1982,Rod Higgins,"California State University, Fresno",13.5
2012,Mike Scott,University of Virginia,13.5
2013,Mike Muscala,Bucknell University,13.5
1964,John Tresvant,Seattle University,13.5
1992,Jim Jackson,Ohio State University,13.5
2008,Jason Thompson,Rider University,13.5
2000,Jamaal Magloire,University of Kentucky,13.5
1958,Guy Rodgers,Temple University,13.5
1974,Gary Brokaw,University of Notre Dame,13.5
2015,Frank Kaminsky,University of Wisconsin,13.5
2009,DeMarre Carroll,University of Missouri,13.5
1970,Curtis Perry,Missouri State University,13.5
1978,Butch Lee,Marquette University,13.5
1978,Wayne Cooper,University of New Orleans,13.4
2015,Tyus Jones,Duke University,13.4
1954,Tom Marshall,Western Kentucky University,13.4
1968,Stu Lantz,University of Nebraska,13.4
1972,Rowland Garrett,Florida State University,13.4
1992,Robert Horry,University of Alabama,13.4
1976,Quinn Buckner,Indiana University,13.4
1956,Phil Jordon,Whitworth,13.4
2008,O.J. Mayo,University of Southern California,13.4
1952,Monk Meineke,University of Dayton,13.4
1998,Michael Dickerson,University of Arizona,13.4
2000,Marcus Fizer,Iowa State University,13.4
1996,Malik Rose,Drexel University,13.4
1980,Louis Orr,Syracuse University,13.4
2011,Jordan Hamilton,University of Texas at Austin,13.4
2009,Gerald Henderson,Duke University,13.4
1988,Gary Grant,University of Michigan,13.4
2012,Festus Ezeli,Vanderbilt University,13.4
1955,Dick Hemric,Wake Forest University,13.4
2011,Derrick Williams,University of Arizona,13.4
1990,Dennis Scott,Georgia Institute of Technology,13.4
1971,Darnell Hillman,San Jose State University,13.4
1981,Danny Schayes,Syracuse University,13.4
1983,Craig Ehlo,Washington State University,13.4
1958,Connie Dierking,University of Cincinnati,13.4
2000,Chris Mihm,University of Texas at Austin,13.4
1985,Charles Oakley,Virginia Union University,13.4
1994,Brooks Thompson,Oklahoma State University,13.4
1968,Bob Quick,Xavier University,13.4
2011,Marcus Morris,University of Kansas,13.3
2015,Trey Lyles,University of Kentucky,13.3
2004,Trevor Ariza,"University of California, Los Angeles",13.3
1985,Steve Harris,University of Tulsa,13.3
1998,Shammond Williams,University of North Carolina,13.3
2014,Rodney Hood,Duke University,13.3
1976,Richard Washington,"University of California, Los Angeles",13.3
1992,Popeye Jones,Murray State University,13.3
1978,Pat Cummings,University of Cincinnati,13.3
2000,Morris Peterson,Michigan State University,13.3
2016,Malik Beasley,Florida State University,13.3
1996,Lorenzen Wright,University of Memphis,13.3
1969,Lee Winfield,University of North Texas,13.3
1958,Larry Staverman,Thomas More College,13.3
2006,Jordan Farmar,"University of California, Los Angeles",13.3
1962,John Rudometkin,University of Southern California,13.3
1955,Jack Stephens,University of Notre Dame,13.3
2012,Harrison Barnes,University of North Carolina,13.3
1988,Grant Long,Eastern Michigan University,13.3
1990,Gerald Glass,University of Mississippi,13.3
1971,George Trapp,"California State University, Long Beach",13.3
1973,Ed Ratleff,"California State University, Long Beach",13.3
1987,Dennis Hopson,Ohio State University,13.3
1988,Dean Garrett,Indiana University,13.3
2002,Darius Songaila,Wake Forest University,13.3
1993,Chris Mills,University of Arizona,13.3
2005,Channing Frye,University of Arizona,13.3
1992,Brent Price,University of Oklahoma,13.3
1985,Blair Rasmussen,University of Oregon,13.3
2007,Aaron Brooks,University of Oregon,13.3
1998,Tyronn Lue,University of Nebraska,13.2
2009,Toney Douglas,Florida State University,13.2
1966,Stan McKenzie,New York University,13.2
1971,Stan Love,University of Oregon,13.2
1969,Rick Roberson,University of Cincinnati,13.2
1983,Randy Breuer,University of Minnesota,13.2
1998,Rafer Alston,"California State University, Fresno",13.2
1987,Olden Polynice,University of Virginia,13.2
2003,Nick Collison,University of Kansas,13.2
1962,Leroy Ellis,St. John's University,13.2
2007,Josh McRoberts,Duke University,13.2
1965,Jerry Sloan,University of Evansville,13.2
1966,Jerry Chambers,University of Utah,13.2
2007,Jeff Green,Georgetown University,13.2
2000,Eddie House,Arizona State University,13.2
1973,Dwight Jones,University of Houston,13.2
1958,Don Ohl,University of Illinois at Urbana-Champaign,13.2
1973,Derrek Dickey,University of Cincinnati,13.2
1986,Billy Thompson,University of Louisville,13.2
2007,Wilson Chandler,DePaul University,13.1
1962,Wayne Hightower,University of Kansas,13.1
1985,Tyrone Corbin,DePaul University,13.1
1961,Tom Meschery,Saint Mary's College of California,13.1
1988,Steve Kerr,University of Arizona,13.1
1977,Robert Reid,St. Mary's University,13.1
1979,Reggie King,University of Alabama,13.1
1968,Otto Moore,University of Texas-Pan American,13.1
1997,Maurice Taylor,University of Michigan,13.1
1985,Mario Elie,American International College,13.1
1976,Larry Wright,Grambling State University,13.1
1980,Kurt Rambis,Santa Clara University,13.1
1994,Khalid Reeves,University of Arizona,13.1
1952,Jim Baechtold,Eastern Kentucky University,13.1
1995,Greg Ostertag,University of Kansas,13.1
1970,Gar Heard,University of Oklahoma,13.1
1977,Eddie Jordan,Rutgers University,13.1
1972,Don Buse,University of Evansville,13.1
1968,Chuck Williams,University of Colorado,13.1
1988,Charles Shackleford,North Carolina State University,13.1
2003,Brian Cook,University of Illinois at Urbana-Champaign,13.1
1981,Albert King,University of Maryland,13.1
1967,Al Tucker,Oklahoma Baptist University,13.1
1980,Wes Matthews,University of Wisconsin,13
1965,Tom Van Arsdale,Indiana University,13
2015,Terry Rozier,University of Louisville,13
2001,Steven Hunter,DePaul University,13
2015,Sam Dekker,University of Wisconsin,13
1980,Ronnie Lester,University of Iowa,13
1978,Ron Brewer,University of Arkansas,13
1996,Moochie Norris,University of West Florida,13
1986,Mark Alarie,Duke University,13
1980,Lorenzo Romar,University of Washington,13
1975,Lionel Hollins,Arizona State University,13
1986,Kenny Gattison,Old Dominion University,13
1982,John Bagley,Boston College,13
2005,Jason Maxiell,University of Cincinnati,13
1979,James Bailey,Rutgers University,13
2012,Jae Crowder,Marquette University,13
1960,Jackie Moreland,Louisiana Tech University,13
1991,Isaac Austin,Arizona State University,13
1987,Greg Anderson,University of Houston,13
1985,Gerald Wilkins,University of Tennessee at Chattanooga,13
1983,Ennis Whatley,University of Alabama,13
1955,Ed Conlin,Fordham University,13
2009,Danny Green,University of North Carolina,13
2009,Chase Budinger,University of Arizona,13
1969,Bob Portman,Creighton University,13
1990,Alaa Abdelnaby,Duke University,13
1961,Al Butler,Niagara University,13
1982,Trent Tucker,University of Minnesota,12.9
1976,Tom Abernethy,Indiana University,12.9
1984,Steve Colter,New Mexico State University,12.9
1999,Scott Padgett,University of Kentucky,12.9
1990,Rumeal Robinson,University of Michigan,12.9
2005,Rashad McCants,University of North Carolina,12.9
2000,Quentin Richardson,DePaul University,12.9
2007,Nick Young,University of Southern California,12.9
1991,Mike Iuzzolino,Saint Francis University,12.9
1975,Kevin Grevey,University of Kentucky,12.9
2015,Josh Richardson,University of Tennessee,12.9
1986,Johnny Newman,University of Richmond,12.9
1977,Joe Hassett,Providence College,12.9
1975,Jim McElroy,Central Michigan University,12.9
1978,Jeff Judkins,University of Utah,12.9
2007,Jason Smith,Colorado State University,12.9
1994,Greg Minor,University of Louisville,12.9
1954,Dick Rosenthal,University of Notre Dame,12.9
2002,Dan Dickau,Gonzaga University,12.9
1971,Curtis Rowe,"University of California, Los Angeles",12.9
1997,Chris Crawford,Marquette University,12.9
2001,Bobby Simmons,DePaul University,12.9
1992,Anthony Peeler,University of Missouri,12.9
1981,Alton Lister,Arizona State University,12.9
1992,Adam Keefe,Stanford University,12.9
1974,Tom Henderson,University of Hawaii,12.8
1984,Tim McCormick,University of Michigan,12.8
1994,Sharone Wright,Clemson University,12.8
1978,Rick Robey,University of Kentucky,12.8
1972,Ollie Johnson,Temple University,12.8
1973,Nick Weatherspoon,University of Illinois at Urbana-Champaign,12.8
1994,Monty Williams,University of Notre Dame,12.8
1978,Michael Cooper,University of New Mexico,12.8
1977,Mark Landsberger,Arizona State University,12.8
1993,Lucious Harris,"California State University, Long Beach",12.8
2003,Kyle Korver,Creighton University,12.8
2003,Kirk Hinrich,University of Kansas,12.8
2007,Julian Wright,University of Kansas,12.8
2002,Juan Dixon,University of Maryland,12.8
1986,John Salley,Georgia Institute of Technology,12.8
2009,Jodie Meeks,University of Kentucky,12.8
1993,George Lynch,University of North Carolina,12.8
1987,Donald Royal,University of Notre Dame,12.8
1999,Dion Glover,Georgia Institute of Technology,12.8
1992,Bryant Stith,University of Virginia,12.8
1958,Boo Ellis,Niagara University,12.8
1989,Blue Edwards,East Carolina University,12.8
1994,Aaron McKie,Temple University,12.8
1990,Willie Burton,University of Minnesota,12.7
1988,Vernon Maxwell,University of Florida,12.7
1993,Terry Dehere,Seton Hall University,12.7
2006,Steve Novak,Marquette University,12.7
2014,Shabazz Napier,University of Connecticut,12.7
1996,Samaki Walker,University of Louisville,12.7
2002,Ronald Murray,Shaw University,12.7
2002,Matt Barnes,"University of California, Los Angeles",12.7
2008,Mario Chalmers,University of Kansas,12.7
1964,Luke Jackson,University of Texas-Pan American,12.7
1974,Leonard Gray,"California State University, Long Beach",12.7
1971,Larry Steele,University of Kentucky,12.7
1988,Kevin Edwards,DePaul University,12.7
2015,Justin Anderson,University of Virginia,12.7
1975,Joe Meriweather,Southern Illinois University,12.7
2007,Jared Dudley,Boston College,12.7
1988,Harvey Grant,University of Oklahoma,12.7
1989,George McCloud,Florida State University,12.7
1979,Geoff Huston,Texas Tech University,12.7
1981,Frank Johnson,Wake Forest University,12.7
1977,Ernie Grunfeld,University of Tennessee,12.7
2000,Desmond Mason,Oklahoma State University,12.7
2017,Dennis Smith,North Carolina State University,12.7
1960,Dave Budd,Wake Forest University,12.7
1978,Clemon Johnson,Florida Agricultural and Mechanical University,12.7
1980,Butch Carter,Indiana University,12.7
2000,Brian Cardinal,Purdue University,12.7
1994,Anthony Goldwire,University of Houston,12.7
1987,Vincent Askew,University of Memphis,12.6
2012,Tony Wroten,University of Washington,12.6
1997,Tony Battie,Texas Tech University,12.6
1972,Steve Bracey,University of Tulsa,12.6
2001,Shane Battier,Duke University,12.6
1985,Sam Mitchell,Mercer University,12.6
2010,Patrick Patterson,University of Kentucky,12.6
1969,Luther Rackley,Xavier University,12.6
1973,Louie Nelson,University of Washington,12.6
1984,Leon Wood,"California State University, Fullerton",12.6
1995,Lawrence Moten,Syracuse University,12.6
1980,Larry Smith,Alcorn State University,12.6
1978,Keith Herron,Villanova University,12.6
1971,John Roche,University of South Carolina,12.6
2011,Jimmer Fredette,Brigham Young University,12.6
1965,Jim Washington,Villanova University,12.6
1971,Jim Cleamons,Ohio State University,12.6
1988,Jerome Lane,University of Pittsburgh,12.6
2015,Jerian Grant,University of Notre Dame,12.6
2014,Jerami Grant,Syracuse University,12.6
1998,Jelani McCoy,"University of California, Los Angeles",12.6
1996,Jeff McInnis,University of North Carolina,12.6
2016,Jaylen Brown,University of California,12.6
1992,Harold Miner,University of Southern California,12.6
1966,Hank Finkel,University of Dayton,12.6
1973,Gary Melchionni,Duke University,12.6
1982,Fred Roberts,Brigham Young University,12.6
1981,Franklin Edwards,Cleveland State University,12.6
2011,Cory Joseph,University of Texas at Austin,12.6
1970,Coby Dietrick,San Jose State University,12.6
1993,Bryon Russell,"California State University, Long Beach",12.6
1977,Ben Poquette,Central Michigan University,12.6
1987,Winston Garland,Missouri State University,12.5
2005,Travis Diener,Marquette University,12.5
1971,Ted McClain,Tennessee State University,12.5
2006,Shelden Williams,Duke University,12.5
2006,Shawne Williams,University of Memphis,12.5
2005,Ryan Gomes,Providence College,12.5
1997,Ron Mercer,University of Kentucky,12.5
1980,Reggie Johnson,University of Tennessee,12.5
1967,Phil Jackson,University of North Dakota,12.5
1970,Pete Cross,University of San Francisco,12.5
2009,Patrick Beverley,University of Arkansas,12.5
1996,Othella Harrington,Georgetown University,12.5
1997,Mark Blount,University of Pittsburgh,12.5
2011,Lavoy Allen,Temple University,12.5
1989,Kenny Battle,University of Illinois at Urbana-Champaign,12.5
1999,Jumaine Jones,University of Georgia,12.5
1983,Jon Sundvold,University of Missouri,12.5
1983,Jim Thomas,Indiana University,12.5
1964,Jim Barnes,University of Texas at El Paso,12.5
1995,Jason Caffey,University of Alabama,12.5
1993,Eric Riley,University of Michigan,12.5
2000,Donnell Harvey,University of Florida,12.5
1971,Charles Johnson,University of California,12.5
1982,Brook Steppe,Georgia Institute of Technology,12.5
1965,Bob Weiss,Pennsylvania State University,12.5
1977,Wilson Washington,Old Dominion University,12.4
1988,Tim Perry,Temple University,12.4
2012,Terrence Ross,University of Washington,12.4
2011,Shelvin Mack,Butler University,12.4
2006,Shannon Brown,Michigan State University,12.4
2018,Shai Gilgeous-Alexander,University of Kentucky,12.4
2007,Sean Williams,Boston College,12.4
1982,Rory White,University of South Alabama,12.4
1976,Ron Lee,University of Oregon,12.4
1950,Ralph O'Brien,Butler University,12.4
1986,Pearl Washington,Syracuse University,12.4
1971,Mike Gale,Elizabeth City State University,12.4
2012,Maurice Harkless,St. John's University,12.4
2005,Linas Kleiza,University of Missouri,12.4
2004,Kirk Snyder,"University of Nevada, Reno",12.4
1986,Jim Les,Bradley University,12.4
2009,Jeff Pendergraph,Arizona State University,12.4
1996,Jamie Feick,Michigan State University,12.4
1999,James Posey,Xavier University,12.4
2007,Glen Davis,Louisiana State University,12.4
1995,Cory Alexander,University of Virginia,12.4
1999,Calvin Booth,Pennsylvania State University,12.4
1965,Barry Clemens,Ohio Wesleyan University,12.4
2010,Al-Farouq Aminu,Wake Forest University,12.4
2001,Rodney White,University of North Carolina at Charlotte,12.3
1982,Richard Anderson,"University of California, Santa Barbara",12.3
2009,Nick Calathes,University of Florida,12.3
1973,Nate Hawthorne,Southern Illinois University,12.3
1967,Mike Riordan,Providence College,12.3
2005,Luther Head,University of Illinois at Urbana-Champaign,12.3
1978,Jack Givens,University of Kentucky,12.3
1972,Henry Bibby,"University of California, Los Angeles",12.3
1951,George Dempsey,King's College,12.3
2005,Francisco Garcia,University of Louisville,12.3
1972,Dwight Davis,University of Houston,12.3
1968,Dave Newmark,Columbia University,12.3
1960,Darrall Imhoff,University of California,12.3
1971,Cliff Meely,University of Colorado,12.3
1987,Brad Lohaus,University of Iowa,12.3
1977,Bob Elliott,University of Arizona,12.3
1969,Bob Christian,Grambling State University,12.3
1982,Bill Garnett,University of Wyoming,12.3
1984,Ben Coleman,University of Maryland,12.3
1986,Anthony Frederick,Pepperdine University,12.3
2007,Al Thornton,Florida State University,12.3
1997,Adonal Foyle,Colgate University,12.3
1984,Charles Jones,University of Louisville,12.2
1999,Trajan Langdon,Duke University,12.2
1974,Tom McMillen,University of Maryland,12.2
1989,Todd Lichti,Stanford University,12.2
1982,Rob Williams,University of Houston,12.2
1969,Mike Davis,Virginia Union University,12.2
2012,Meyers Leonard,University of Illinois at Urbana-Champaign,12.2
1964,McCoy McLemore,Drake University,12.2
1990,Marcus Liberty,University of Illinois at Urbana-Champaign,12.2
2003,Marcus Banks,"University of Nevada, Las Vegas",12.2
2017,Luke Kennard,Duke University,12.2
2017,Lonzo Ball,"University of California, Los Angeles",12.2
1985,Keith Lee,University of Memphis,12.2
1965,Keith Erickson,"University of California, Los Angeles",12.2
2017,Jonathan Isaac,Florida State University,12.2
1975,Joe Bryant,La Salle University,12.2
1957,Jim Palmer,University of Dayton,12.2
1973,Jim Brewer,University of Minnesota,12.2
2008,Jerryd Bayless,University of Arizona,12.2
2002,Jay Williams,Duke University,12.2
2000,Jason Hart,Syracuse University,12.2
1953,Jack George,La Salle University,12.2
1968,Greg Smith,Western Kentucky University,12.2
1993,Ervin Johnson,University of New Orleans,12.2
1973,Ernie DiGregorio,Providence College,12.2
1995,Eric Snow,Michigan State University,12.2
2008,Darrell Arthur,University of Kansas,12.2
1984,Danny Young,Wake Forest University,12.2
2008,Courtney Lee,Western Kentucky University,12.2
1972,Chris Ford,Villanova University,12.2
2009,Byron Mullens,Ohio State University,12.2
1965,Bill Bradley,Princeton University,12.2
1997,Anthony Parker,Bradley University,12.2
2012,Andrew Nicholson,St. Bonaventure University,12.2
1958,Adrian Smith,University of Kentucky,12.2
2009,A.J. Price,University of Connecticut,12.2
1965,Toby Kimball,University of Connecticut,12.1
1979,Terry Duerod,University of Detroit Mercy,12.1
1983,Sidney Green,"University of Nevada, Las Vegas",12.1
1996,Roy Rogers,University of Alabama,12.1
1980,Mike O'Koren,University of North Carolina,12.1
1975,Mike Flynn,University of Kentucky,12.1
1993,Lindsey Hunter,Jackson State University,12.1
1972,LaRue Martin,Loyola University of Chicago,12.1
2010,Landry Fields,Stanford University,12.1
2010,Lance Stephenson,University of Cincinnati,12.1
1961,Johnny Egan,Providence College,12.1
2002,John Salmons,University of Miami,12.1
1966,Joe Ellis,University of San Francisco,12.1
1982,J.J. Anderson,Bradley University,12.1
1959,George Lee,University of Michigan,12.1
2001,Earl Watson,"University of California, Los Angeles",12.1
1971,Dean Meminger,Marquette University,12.1
1962,Chico Vaughn,Southern Illinois University,12.1
1973,Caldwell Jones,Albany State University,12.1
1990,Bimbo Coles,Virginia Polytechnic Institute and State University,12.1
1995,Andrew DeClercq,University of Florida,12.1
