Draft_Yr,Player,College,Career_PER
1970,Pete Maravich,Louisiana State University,18.4
1950,Larry Foust,La Salle University,18.4
1980,Kiki Vandeweghe,"University of California, Los Angeles",18.4
1955,Kenny Sears,Santa Clara University,18.4
2017,Jarrett Allen,University of Texas at Austin,18.4
1982,Terry Cummings,DePaul University,18.3
1999,Steve Francis,University of Maryland,18.3
2014,Dwight Powell,Stanford University,18.3
1975,Alvan Adams,University of Oklahoma,18.3
2005,Deron Williams,University of Illinois at Urbana-Champaign,18.2
1974,Bobby Jones,University of North Carolina,18.2
1974,Billy Knight,University of Pittsburgh,18.2
1950,Bill Sharman,University of Southern California,18.2
1974,Marvin Barnes,Providence College,18.1
1981,Isiah Thomas,Indiana University,18.1
1952,Eddie Miller,Syracuse University,18.1
2008,Derrick Rose,University of Memphis,18.1
1998,Antawn Jamison,University of North Carolina,18.1
1978,Billy Ray Bates,Kentucky State University,18.1
1970,Tiny Archibald,University of Texas at El Paso,18
1988,Rod Strickland,DePaul University,18
1975,Robert Hawkins,Illinois State University,18
2010,Eric Bledsoe,University of Kentucky,18
1990,Derrick Coleman,Syracuse University,18
1970,Calvin Murphy,Niagara University,18
1988,Rik Smits,Marist College,17.9
1988,Micheal Williams,Baylor University,17.9
2013,Mason Plumlee,Duke University,17.9
1994,Jason Kidd,University of California,17.9
1978,Freeman Williams,Portland State University,17.9
2009,DeMar DeRozan,University of Southern California,17.9
1975,Dan Roundfield,Central Michigan University,17.9
1999,Corey Maggette,Duke University,17.9
1979,Calvin Natt,University of Louisiana at Monroe,17.9
1956,Tom Heinsohn,College of the Holy Cross,17.8
1996,Marcus Camby,University of Massachusetts Amherst,17.8
2012,Kyle O'Quinn,Norfolk State University,17.8
1955,Jack Twyman,University of Cincinnati,17.8
1982,Fat Lever,Arizona State University,17.8
1999,Baron Davis,"University of California, Los Angeles",17.8
1982,Ricky Pierce,Rice University,17.7
2004,Kevin Martin,Western Carolina University,17.7
1986,Jeff Hornacek,Iowa State University,17.7
1982,James Worthy,University of North Carolina,17.7
1971,Fred Brown,University of Iowa,17.7
1968,Elvin Hayes,University of Houston,17.7
1973,Swen Nater,"University of California, Los Angeles",17.6
1988,Mitch Richmond,Kansas State University,17.6
2007,Mike Conley,Ohio State University,17.6
2014,Julius Randle,University of Kentucky,17.6
2007,Joakim Noah,University of Florida,17.6
1966,Dave Bing,Syracuse University,17.6
1991,Chris Gatling,Old Dominion University,17.6
1962,Chet Walker,Bradley University,17.6
1962,John Havlicek,Ohio State University,17.5
2010,Gordon Hayward,Butler University,17.5
1994,Glenn Robinson,Purdue University,17.5
1965,Flynn Robinson,University of Wyoming,17.5
2007,Carl Landry,Purdue University,17.5
1969,Mack Calvin,University of Southern California,17.4
1966,Lou Hudson,University of Minnesota,17.4
1969,George Thompson,Marquette University,17.4
1991,Eric Murdock,Providence College,17.4
1993,Anfernee Hardaway,University of Memphis,17.4
1999,Andre Miller,University of Utah,17.4
1954,Richie Guerin,Iona College,17.3
1977,Ray Williams,University of Minnesota,17.3
2015,Myles Turner,University of Texas at Austin,17.3
2010,Jeremy Evans,Western Kentucky University,17.3
1977,Jack Sikma,Illinois Wesleyan University,17.3
2013,CJ McCollum,Lehigh University,17.3
2009,Tyreke Evans,University of Memphis,17.2
2009,Ty Lawson,University of North Carolina,17.2
1985,Terry Porter,University of Wisconsin-Stevens Point,17.2
1967,Earl Monroe,Winston-Salem State University,17.2
1991,Dikembe Mutombo,Georgetown University,17.2
1985,Detlef Schrempf,University of Washington,17.2
1995,Antonio McDyess,University of Alabama,17.2
2012,Terrence Jones,University of Kentucky,17.1
1998,Ruben Patterson,University of Cincinnati,17.1
1987,Reggie Lewis,Northeastern University,17.1
1959,Johnny Green,Michigan State University,17.1
2012,John Henson,University of North Carolina,17.1
1967,Jimmy Jones,Grambling State University,17.1
2009,Jeff Teague,Wake Forest University,17.1
1950,Chuck Share,Bowling Green State University,17.1
1995,Rasheed Wallace,University of North Carolina,17
1989,Michael Ansley,University of Alabama,17
2015,Larry Nance Jr.,University of Wyoming,17
1973,Larry Kenon,University of Memphis,17
1972,James Silas,Stephen F. Austin State University,17
2004,Emeka Okafor,University of Connecticut,17
1970,Dave Cowens,Florida State University,17
1979,Cliff Robinson,University of Southern California,17
2012,Bradley Beal,University of Florida,17
1984,Alvin Robertson,University of Arkansas,17
1999,Todd MacCulloch,University of Washington,16.9
1970,Rudy Tomjanovich,University of Michigan,16.9
1953,Ray Felix,Long Island University,16.9
1978,Purvis Short,Jackson State University,16.9
2013,Nerlens Noel,University of Kentucky,16.9
1969,Neal Walk,University of Florida,16.9
1974,Mickey Johnson,Aurora University,16.9
2009,Jrue Holiday,"University of California, Los Angeles",16.9
2013,Jeff Withey,University of Kansas,16.9
2016,Jakob Poeltl,University of Utah,16.9
1988,Danny Manning,University of Kansas,16.9
2005,Danny Granger,University of New Mexico,16.9
1992,Christian Laettner,Duke University,16.9
1978,Micheal Ray Richardson,University of Montana,16.9
2015,Willie Cauley-Stein,University of Kentucky,16.8
2013,Victor Oladipo,Indiana University,16.8
2011,Tobias Harris,University of Tennessee,16.8
2006,Rudy Gay,University of Connecticut,16.8
1954,Red Kerr,University of Illinois at Urbana-Champaign,16.8
1989,Mookie Blaylock,University of Oklahoma,16.8
2006,Leon Powe,University of California,16.8
1960,Lenny Wilkens,Providence College,16.8
1997,Keith Van Horn,University of Utah,16.8
1971,Jim McDaniels,Western Kentucky University,16.8
1994,Donyell Marshall,University of Connecticut,16.8
2015,Bobby Portis,University of Arkansas,16.8
1968,Bob Kauffman,Guilford College,16.8
1971,Tom Owens,University of South Carolina,16.7
2013,Steven Adams,University of Pittsburgh,16.7
1981,Rolando Blackman,Kansas State University,16.7
1978,Mike Mitchell,Auburn University,16.7
2008,Marreese Speights,University of Florida,16.7
1973,Larry McNeill,Marquette University,16.7
2003,Josh Howard,Wake Forest University,16.7
1979,Johnny Moore,University of Texas at Austin,16.7
1963,Gus Johnson,University of Idaho,16.7
1965,Gail Goodrich,"University of California, Los Angeles",16.7
1994,Eddie Jones,Temple University,16.7
2010,Ed Davis,University of North Carolina,16.7
1969,Bob Dandridge,Norfolk State University,16.7
1986,Walter Berry,St. John's University,16.6
1978,Reggie Theus,"University of Nevada, Las Vegas",16.6
1981,Orlando Woolridge,University of Notre Dame,16.6
2017,Monte Morris,Iowa State University,16.6
1985,Michael Adams,Boston College,16.6
2017,Donovan Mitchell,University of Louisville,16.6
1983,Doc Rivers,Marquette University,16.6
1971,Dave Robisch,University of Kansas,16.6
2010,Cole Aldrich,University of Kansas,16.6
1967,Bob Rule,Colorado State University,16.6
2017,Bam Adebayo,University of Kentucky,16.6
1981,Tom Chambers,University of Utah,16.5
2008,Ryan Anderson,University of California,16.5
1999,Richard Hamilton,University of Connecticut,16.5
1971,Randy Smith,State University of New York College at Buffalo,16.5
1977,Otis Birdsong,University of Houston,16.5
1963,Nate Thurmond,Bowling Green State University,16.5
1978,Maurice Cheeks,West Texas A&M University,16.5
1999,Lamar Odom,University of Rhode Island,16.5
1968,Jim Eakins,Brigham Young University,16.5
1995,Jerry Stackhouse,University of North Carolina,16.5
2018,Jaren Jackson,Michigan State University,16.5
1974,Jamaal Wilkes,"University of California, Los Angeles",16.5
1964,Happy Hairston,New York University,16.5
2009,DeJuan Blair,University of Pittsburgh,16.5
1991,Bison Dele,University of Arizona,16.5
2008,Anthony Randolph,Louisiana State University,16.5
2007,Thaddeus Young,Georgia Institute of Technology,16.4
1981,Lewis Lloyd,Drake University,16.4
1994,Lawrence Funderburke,Ohio State University,16.4
2011,Klay Thompson,Washington State University,16.4
1991,Kenny Anderson,Georgia Institute of Technology,16.4
2015,Jahlil Okafor,Duke University,16.4
1989,Dana Barros,Boston College,16.4
1977,Cedric Maxwell,University of North Carolina at Charlotte,16.4
1987,Armen Gilliam,"University of Nevada, Las Vegas",16.4
1966,Archie Clark,University of Minnesota,16.4
2005,Andrew Bogut,University of Utah,16.4
1956,Willie Naulls,"University of California, Los Angeles",16.3
1993,Vin Baker,University of Hartford,16.3
1968,Tom Boerwinkle,University of Tennessee,16.3
1962,Terry Dischinger,Purdue University,16.3
1973,Mike Green,Louisiana Tech University,16.3
1980,Mike Gminski,Duke University,16.3
2017,Lauri Markkanen,University of Arizona,16.3
1991,Larry Johnson,"University of Nevada, Las Vegas",16.3
2009,Jordan Hill,University of Arizona,16.3
1964,Jeff Mullins,Duke University,16.3
2001,Jason Richardson,Michigan State University,16.3
1988,Hersey Hawkins,Bradley University,16.3
2001,Gerald Wallace,University of Alabama,16.3
2002,Drew Gooden,University of Kansas,16.3
1974,Campy Russell,University of Michigan,16.3
1970,Billy Paultz,St. John's University,16.3
1976,Terry Furlow,Michigan State University,16.2
2014,T.J. Warren,North Carolina State University,16.2
1969,Steve Mix,University of Toledo,16.2
1971,Sidney Wicks,"University of California, Los Angeles",16.2
2008,Robin Lopez,Stanford University,16.2
1972,Ralph Simpson,Michigan State University,16.2
2006,Rajon Rondo,University of Kentucky,16.2
1976,Mitch Kupchak,University of North Carolina,16.2
1974,Maurice Lucas,Marquette University,16.2
1981,Kelly Tripucka,University of Notre Dame,16.2
1999,Jason Terry,University of Arizona,16.2
2012,Jared Sullinger,Ohio State University,16.2
1989,Glen Rice,University of Michigan,16.2
1971,Elmore Smith,Kentucky State University,16.2
2009,Darren Collison,"University of California, Los Angeles",16.2
1997,Danny Fortson,University of Cincinnati,16.2
2006,Craig Smith,Boston College,16.2
1979,Jim Paxson,University of Dayton,16.1
1985,Xavier McDaniel,Wichita State University,16.1
1974,Tom Burleson,North Carolina State University,16.1
2000,Stromile Swift,Louisiana State University,16.1
1991,Steve Smith,Michigan State University,16.1
2011,Reggie Jackson,Boston College,16.1
1998,Raef LaFrentz,University of Kansas,16.1
1998,Mike Bibby,University of Arizona,16.1
1990,Kenny Williams,Elizabeth City State University,16.1
2014,Jabari Parker,Duke University,16.1
2008,J.J. Hickson,North Carolina State University,16.1
