Draft_Yr,Player,College
1992,Harold Miner,University of Southern California
1992,Bryant Stith,University of Virginia
1992,Malik Sealy,St. John's University
1992,Anthony Peeler,University of Missouri
1992,Doug Christie,Pepperdine University
1992,Tracy Murray,"University of California, Los Angeles"
1992,Don MacLean,"University of California, Los Angeles"
1992,Hubert Davis,University of North Carolina
1992,Jon Barry,Georgia Institute of Technology
1992,Oliver Miller,University of Arkansas
1992,Lee Mayberry,University of Arkansas
1992,Latrell Sprewell,University of Alabama
1992,Elmore Spencer,"University of Nevada, Las Vegas"
1992,Byron Houston,Oklahoma State University
1992,P.J. Brown,Louisiana Tech University
1992,Sean Rooks,University of Arizona
1992,Brent Price,University of Oklahoma
1992,Chris Smith,University of Connecticut
1992,Tony Bennett,University of Wisconsin-Green Bay
1992,Popeye Jones,Murray State University
1992,Matt Geiger,Georgia Institute of Technology
1992,Chris King,Wake Forest University
1991,Larry Johnson,"University of Nevada, Las Vegas"
1991,Kenny Anderson,Georgia Institute of Technology
1991,Billy Owens,Syracuse University
1991,Dikembe Mutombo,Georgetown University
1991,Steve Smith,Michigan State University
1991,Doug Smith,University of Missouri
1991,Luc Longley,University of New Mexico
1991,Mark Macon,Temple University
1991,Stacey Augmon,"University of Nevada, Las Vegas"
1991,Bison Dele,University of Arizona
1991,Terrell Brandon,University of Oregon
1991,Greg Anthony,"University of Nevada, Las Vegas"
1991,Dale Davis,Clemson University
1991,Anthony Avent,Seton Hall University
1991,Chris Gatling,Old Dominion University
1991,Victor Alexander,Iowa State University
1991,LaBradford Smith,University of Louisville
1991,Eric Murdock,Providence College
1991,Stanley Roberts,Louisiana State University
1991,Rick Fox,University of North Carolina
1991,Pete Chilcutt,University of North Carolina
1991,Randy Brown,New Mexico State University
1991,Donald Hodge,Temple University
1991,Mike Iuzzolino,Saint Francis University
1991,Elliot Perry,University of Memphis
1991,Doug Overton,La Salle University
1991,Bobby Phills,Southern University and A&M College
1991,Richard Dumas,Oklahoma State University
1991,Isaac Austin,Arizona State University
1991,Greg Sutton,Oral Roberts University
1990,Derrick Coleman,Syracuse University
1990,Gary Payton,Oregon State University
1990,Mahmoud Abdul-Rauf,Louisiana State University
1990,Dennis Scott,Georgia Institute of Technology
1990,Kendall Gill,University of Illinois at Urbana-Champaign
1990,Felton Spencer,University of Louisville
1990,Lionel Simmons,La Salle University
1990,Willie Burton,University of Minnesota
1990,Rumeal Robinson,University of Michigan
1990,Tyrone Hill,Xavier University
1990,Alec Kessler,University of Georgia
1990,Loy Vaught,University of Michigan
1990,Travis Mays,University of Texas at Austin
1990,Terry Mills,University of Michigan
1990,Jerrod Mustaf,University of Maryland
1990,Duane Causwell,Temple University
1990,Dee Brown,Jacksonville University
1990,Gerald Glass,University of Mississippi
1990,Jayson Williams,St. John's University
1990,Tate George,University of Connecticut
1990,Anthony Bonner,Saint Louis University
1990,Dwayne Schintzius,University of Florida
1990,Alaa Abdelnaby,Duke University
1990,Elden Campbell,Clemson University
1990,Carl Herrera,University of Houston
1990,Negele Knight,University of Dayton
1990,Greg Foster,University of Texas at El Paso
1990,Trevor Wilson,"University of California, Los Angeles"
1990,A.J. English,Virginia Union University
1990,Jud Buechler,University of Arizona
1990,Bimbo Coles,Virginia Polytechnic Institute and State University
1990,Marcus Liberty,University of Illinois at Urbana-Champaign
1990,Tony Massenburg,University of Maryland
1990,Steve Henson,Kansas State University
1990,Antonio Davis,University of Texas at El Paso
1990,Kenny Williams,Elizabeth City State University
1990,Derek Strong,Xavier University
1990,Cedric Ceballos,"California State University, Fullerton"
1990,Tony Smith,Marquette University
1990,Sean Higgins,University of Michigan
1989,Pervis Ellison,University of Louisville
1989,Danny Ferry,Duke University
1989,Sean Elliott,University of Arizona
1989,Glen Rice,University of Michigan
1989,J.R. Reid,University of North Carolina
1989,Stacey King,University of Oklahoma
1989,George McCloud,Florida State University
1989,Randy White,Louisiana Tech University
1989,Tom Hammonds,Georgia Institute of Technology
1989,Pooh Richardson,"University of California, Los Angeles"
1989,Nick Anderson,University of Illinois at Urbana-Champaign
1989,Mookie Blaylock,University of Oklahoma
1989,Tim Hardaway,University of Texas at El Paso
1989,Todd Lichti,Stanford University
1989,Dana Barros,Boston College
1989,Shawn Kemp,Trinity Valley Community College
1989,B.J. Armstrong,University of Iowa
1989,Blue Edwards,East Carolina University
1989,John Morton,Seton Hall University
1989,Kenny Battle,University of Illinois at Urbana-Champaign
1989,Sherman Douglas,Syracuse University
1989,Jeff Martin,Murray State University
1989,Clifford Robinson,University of Connecticut
1989,Michael Ansley,University of Alabama
1989,Doug West,Villanova University
1989,Chucky Brown,North Carolina State University
1989,Haywoode Workman,Oral Roberts University
1989,Brian Quinnett,Washington State University
1989,Greg Grant,Trenton State University
1988,Danny Manning,University of Kansas
1988,Rik Smits,Marist College
1988,Charles Smith,University of Pittsburgh
1988,Chris Morris,Auburn University
1988,Mitch Richmond,Kansas State University
1988,Hersey Hawkins,Bradley University
1988,Tim Perry,Temple University
1988,Rex Chapman,University of Kentucky
1988,Rony Seikaly,Syracuse University
1988,Willie Anderson,University of Georgia
1988,Will Perdue,Vanderbilt University
1988,Harvey Grant,University of Oklahoma
1988,Jeff Grayer,Iowa State University
1988,Dan Majerle,Central Michigan University
1988,Gary Grant,University of Michigan
1988,Derrick Chievous,University of Missouri
1988,Eric Leckner,University of Wyoming
1988,Rod Strickland,DePaul University
1988,Kevin Edwards,DePaul University
1988,Mark Bryant,Seton Hall University
1988,Randolph Keys,University of Southern Mississippi
1988,Jerome Lane,University of Pittsburgh
1988,Brian Shaw,"University of California, Santa Barbara"
1988,Andrew Lang,University of Arkansas
1988,Vinny Del Negro,North Carolina State University
1988,Charles Shackleford,North Carolina State University
1988,Grant Long,Eastern Michigan University
1988,Tom Tolbert,University of Arizona
1988,Ledell Eackles,University of New Orleans
1988,Dean Garrett,Indiana University
1988,Tom Garrick,University of Rhode Island
1988,Morlon Wiley,"California State University, Long Beach"
1988,Vernon Maxwell,University of Florida
1988,Micheal Williams,Baylor University
1988,Steve Kerr,University of Arizona
1988,Anthony Mason,Tennessee State University
1988,Winston Bennett,University of Kentucky
1988,Gerald Paddio,"University of Nevada, Las Vegas"
1987,David Robinson,United States Naval Academy
1987,Armen Gilliam,"University of Nevada, Las Vegas"
1987,Dennis Hopson,Ohio State University
1987,Reggie Williams,Georgetown University
1987,Scottie Pippen,University of Central Arkansas
1987,Kenny Smith,University of North Carolina
1987,Kevin Johnson,University of California
1987,Olden Polynice,University of Virginia
1987,Derrick McKey,University of Alabama
1987,Horace Grant,Clemson University
1987,Reggie Miller,"University of California, Los Angeles"
1987,Muggsy Bogues,Wake Forest University
1987,Joe Wolf,University of North Carolina
1987,Tellis Frank,Western Kentucky University
1987,Mark Jackson,St. John's University
1987,Ken Norman,University of Illinois at Urbana-Champaign
1987,Dallas Comegys,DePaul University
1987,Reggie Lewis,Northeastern University
1987,Greg Anderson,University of Houston
1987,Steve Alford,Indiana University
1987,Bob McCann,Morehead State University
1987,Vincent Askew,University of Memphis
1987,Winston Garland,Missouri State University
1987,Brad Lohaus,University of Iowa
1987,Donald Royal,University of Notre Dame
1987,Kevin Gamble,University of Iowa
1987,Chris Dudley,Yale University
1987,Jack Haley,"University of California, Los Angeles"
1986,Brad Daugherty,University of North Carolina
1986,Chuck Person,Auburn University
1986,Kenny Walker,University of Kentucky
1986,William Bedford,University of Memphis
1986,Roy Tarpley,University of Michigan
1986,Ron Harper,Miami University
1986,Brad Sellers,Ohio State University
1986,Johnny Dawkins,Duke University
1986,John Salley,Georgia Institute of Technology
1986,John Williams,Louisiana State University
1986,Pearl Washington,Syracuse University
1986,Walter Berry,St. John's University
1986,Dell Curry,Virginia Polytechnic Institute and State University
1986,Harold Pressley,Villanova University
1986,Mark Alarie,Duke University
1986,Billy Thompson,University of Louisville
1986,Buck Johnson,University of Alabama
1986,Anthony Jones,"University of Nevada, Las Vegas"
1986,Scott Skiles,Michigan State University
1986,Mark Price,Georgia Institute of Technology
1986,Greg Dreiling,University of Kansas
1986,Dennis Rodman,Southeastern Oklahoma State University
1986,Larry Krystkowiak,University of Montana
1986,Johnny Newman,University of Richmond
1986,Nate McMillan,North Carolina State University
1986,Kevin Duckworth,Eastern Illinois University
1986,Rafael Addison,Syracuse University
1986,Otis Smith,Jacksonville University
1986,Dave Feitl,University of Texas at El Paso
1986,David Wingate,Georgetown University
1986,Jeff Hornacek,Iowa State University
1986,Tod Murphy,"University of California, Irvine"
1986,Kenny Gattison,Old Dominion University
1986,John Shasky,University of Minnesota
1986,Dave Hoppen,University of Nebraska
1986,Anthony Bowie,University of Oklahoma
1986,Andre Turner,University of Memphis
1986,Jim Les,Bradley University
1986,Pete Myers,University of Arkansas at Little Rock
1986,Tim Kempton,University of Notre Dame
1986,Anthony Frederick,Pepperdine University
1985,Patrick Ewing,Georgetown University
1985,Wayman Tisdale,University of Oklahoma
1985,Benoit Benjamin,Creighton University
1985,Xavier McDaniel,Wichita State University
1985,Jon Koncak,Southern Methodist University
1985,Joe Kleine,University of Arkansas
1985,Chris Mullin,St. John's University
1985,Detlef Schrempf,University of Washington
1985,Charles Oakley,Virginia Union University
1985,Ed Pinckney,Villanova University
1985,Keith Lee,University of Memphis
1985,Karl Malone,Louisiana Tech University
1985,Blair Rasmussen,University of Oregon
1985,Bill Wennington,St. John's University
1985,Uwe Blab,Indiana University
1985,Joe Dumars,McNeese State University
1985,Steve Harris,University of Tulsa
1985,Sam Vincent,Michigan State University
1985,Terry Catledge,University of South Alabama
1985,Jerry Reynolds,Louisiana State University
1985,A.C. Green,Oregon State University
1985,Terry Porter,University of Wisconsin-Stevens Point
1985,Mike Smrek,Canisius College
1985,Manute Bol,University of Bridgeport
1985,Tyrone Corbin,DePaul University
1985,Carey Scurry,Long Island University
1985,Mark Acres,Oral Roberts University
1985,Hot Rod Williams,Tulane University
1985,Gerald Wilkins,University of Tennessee at Chattanooga
1985,Sam Mitchell,Mercer University
1985,Michael Adams,Boston College
1985,Mike Brown,George Washington University
1985,Scott Roth,University of Wisconsin
1985,Delaney Rudd,Wake Forest University
1985,John Battle,Rutgers University
1985,Spud Webb,North Carolina State University
1985,Mario Elie,American International College
1984,Hakeem Olajuwon,University of Houston
1984,Sam Bowie,University of Kentucky
1984,Michael Jordan,University of North Carolina
1984,Sam Perkins,University of North Carolina
1984,Charles Barkley,Auburn University
1984,Melvin Turpin,University of Kentucky
1984,Alvin Robertson,University of Arkansas
1984,Lancaster Gordon,University of Louisville
1984,Otis Thorpe,Providence College
1984,Leon Wood,"California State University, Fullerton"
1984,Kevin Willis,Michigan State University
1984,Tim McCormick,University of Michigan
1984,Jay Humphries,University of Colorado
1984,Michael Cage,San Diego State University
1984,Terence Stansbury,Temple University
1984,John Stockton,Gonzaga University
1984,Jeff Turner,Vanderbilt University
1984,Vern Fleming,University of Georgia
1984,Bernard Thompson,"California State University, Fresno"
1984,Tony Campbell,Ohio State University
1984,Kenny Fields,"University of California, Los Angeles"
1984,Ron Anderson,"California State University, Fresno"
1984,Stuart Gray,"University of California, Los Angeles"
1984,Steve Colter,New Mexico State University
1984,Othell Wilson,University of Virginia
1984,Charles Jones,University of Louisville
1984,Ben Coleman,University of Maryland
1984,Danny Young,Wake Forest University
1984,Jerome Kersey,Longwood University
1984,Ben McDonald,"University of California, Irvine"
1984,Jim Petersen,University of Minnesota
1984,Bob Thornton,"University of California, Irvine"
1984,Eddie Lee Wilkins,Gardner-Webb University
1984,Ken Bannister,Saint Augustine's College
1983,Ralph Sampson,University of Virginia
1983,Steve Stipanovich,University of Missouri
1983,Rodney McCray,University of Louisville
1983,Byron Scott,Arizona State University
1983,Sidney Green,"University of Nevada, Las Vegas"
1983,Thurl Bailey,North Carolina State University
1983,Antoine Carr,Wichita State University
1983,Dale Ellis,University of Tennessee
1983,Jeff Malone,Mississippi State University
1983,Derek Harper,University of Illinois at Urbana-Champaign
1983,Darrell Walker,University of Arkansas
1983,Ennis Whatley,University of Alabama
1983,Clyde Drexler,University of Houston
1983,Jon Sundvold,University of Missouri
1983,Randy Breuer,University of Minnesota
1983,John Paxson,University of Notre Dame
1983,Roy Hinson,Rutgers University
1983,Greg Kite,Brigham Young University
1983,Randy Wittman,Indiana University
1983,Mitchell Wiggins,Florida State University
1983,Sidney Lowe,North Carolina State University
1983,Rod Foster,"University of California, Los Angeles"
1983,Mark West,Old Dominion University
1983,Doc Rivers,Marquette University
1983,Dirk Minniefield,University of Kentucky
1983,Chris McNealy,San Jose State University
1983,Granville Waiters,Ohio State University
1983,Jim Thomas,Indiana University
1983,Pace Mannion,University of Utah
1983,Kevin Williams,St. John's University
1983,Craig Ehlo,Washington State University
1983,Paul Thompson,Tulane University
1983,Mike Holton,"University of California, Los Angeles"
1983,Bob Hansen,University of Iowa
1983,Darren Daye,"University of California, Los Angeles"
1983,Sedale Threatt,West Virginia University Institute of Technology
1982,James Worthy,University of North Carolina
1982,Terry Cummings,DePaul University
1982,Dominique Wilkins,University of Georgia
1982,Bill Garnett,University of Wyoming
1982,LaSalle Thompson,University of Texas at Austin
1982,Trent Tucker,University of Minnesota
1982,Quintin Dailey,University of San Francisco
1982,Clark Kellogg,Ohio State University
1982,Cliff Levingston,Wichita State University
1982,Fat Lever,Arizona State University
1982,John Bagley,Boston College
1982,Sleepy Floyd,Georgetown University
1982,Lester Conner,Oregon State University
1982,Terry Teagle,Baylor University
1982,Brook Steppe,Georgia Institute of Technology
1982,Ricky Pierce,Rice University
1982,Rob Williams,University of Houston
1982,Paul Pressey,University of Tulsa
1982,Mark McNamara,University of California
1982,Bryan Warrick,Saint Joseph's University
1982,Fred Roberts,Brigham Young University
1982,Scott Hastings,University of Arkansas
1982,Rod Higgins,"California State University, Fresno"
1982,Richard Anderson,"University of California, Santa Barbara"
1982,Derek Smith,University of Louisville
1982,J.J. Anderson,Bradley University
1982,Audie Norris,Jackson State University
1982,Russ Schoene,University of Tennessee at Chattanooga
1982,Craig Hodges,"California State University, Long Beach"
1982,Jerry Eaves,University of Louisville
1982,Charles Pittman,University of Maryland
1982,Perry Moss,Northeastern University
1982,Mark Eaton,"University of California, Los Angeles"
1982,Mike Sanders,"University of California, Los Angeles"
1982,Walker Russell,Western Michigan University
1982,Tony Brown,University of Arkansas
1982,Rory White,University of South Alabama
1982,Ed Nealy,Kansas State University
1981,Mark Aguirre,DePaul University
1981,Isiah Thomas,Indiana University
1981,Buck Williams,University of Maryland
1981,Al Wood,University of North Carolina
1981,Danny Vranes,University of Utah
1981,Orlando Woolridge,University of Notre Dame
1981,Steve Johnson,Oregon State University
1981,Tom Chambers,University of Utah
1981,Rolando Blackman,Kansas State University
1981,Albert King,University of Maryland
1981,Frank Johnson,Wake Forest University
1981,Kelly Tripucka,University of Notre Dame
1981,Danny Schayes,Syracuse University
1981,Herb Williams,Ohio State University
1981,Jeff Lamp,University of Virginia
1981,Darnell Valentine,University of Kansas
1981,Kevin Loder,Alabama State University
1981,Ray Tolbert,Indiana University
1981,Mike McGee,University of Michigan
1981,Larry Nance,Clemson University
1981,Alton Lister,Arizona State University
1981,Franklin Edwards,Cleveland State University
1981,Jay Vincent,Michigan State University
1981,Tracy Jackson,University of Notre Dame
1981,Gene Banks,Duke University
1981,Eddie Johnson,University of Illinois at Urbana-Champaign
1981,Danny Ainge,Brigham Young University
1981,Sam Williams,Arizona State University
1981,Charles Davis,Vanderbilt University
1981,Elston Turner,University of Mississippi
1981,Rudy Macklin,Louisiana State University
1981,Frank Brickowski,Pennsylvania State University
1981,Petur Gudmundsson,University of Washington
1981,Lewis Lloyd,Drake University
1981,Larry Spriggs,Howard University
1981,Pete Verhoeven,"California State University, Fresno"
1981,Kevin McKenna,Creighton University
1981,Hank McDowell,University of Memphis
1980,Joe Barry Carroll,Purdue University
1980,Darrell Griffith,University of Louisville
1980,Kevin McHale,University of Minnesota
1980,Kelvin Ransey,Ohio State University
1980,Mike O'Koren,University of North Carolina
1980,Mike Gminski,Duke University
1980,Andrew Toney,University of Louisiana at Lafayette
1980,Michael Brooks,La Salle University
1980,Ronnie Lester,University of Iowa
1980,Kiki Vandeweghe,"University of California, Los Angeles"
1980,Mike Woodson,Indiana University
1980,Rickey Brown,Mississippi State University
1980,Wes Matthews,University of Wisconsin
1980,Reggie Johnson,University of Tennessee
1980,Larry Drew,University of Missouri
1980,Don Collins,Washington State University
1980,John Duren,Georgetown University
1980,Bill Hanzlik,University of Notre Dame
1980,Carl Nicks,Indiana State University
1980,Larry Smith,Alcorn State University
1980,Jeff Ruland,Iona College
1980,Louis Orr,Syracuse University
1980,Wayne Robinson,Virginia Polytechnic Institute and State University
1980,Rick Mahorn,Hampton University
1980,Butch Carter,Indiana University
1980,Jawann Oldham,Seattle University
1980,Kurt Nimphius,Arizona State University
1980,James Wilkes,"University of California, Los Angeles"
1980,Lowes Moore,West Virginia University
1980,Mike Harper,North Park University
1980,Kurt Rambis,Santa Clara University
1980,Darwin Cook,University of Portland
1980,Rory Sparrow,Villanova University
1980,Lorenzo Romar,University of Washington
1979,Magic Johnson,Michigan State University
1979,Dave Greenwood,"University of California, Los Angeles"
1979,Bill Cartwright,University of San Francisco
1979,Greg Kelser,Michigan State University
1979,Sidney Moncrief,University of Arkansas
1979,James Bailey,Rutgers University
1979,Vinnie Johnson,Baylor University
1979,Calvin Natt,University of Louisiana at Monroe
1979,Larry Demic,University of Arizona
1979,Cliff Robinson,University of Southern California
1979,Jim Paxson,University of Dayton
1979,Dudley Bradley,University of North Carolina
1979,Phil Hubbard,University of Michigan
1979,Jim Spanarkel,Duke University
1979,Reggie King,University of Alabama
1979,Sly Williams,University of Rhode Island
1979,Kyle Macy,University of Kentucky
1979,Johnny High,"University of Nevada, Reno"
1979,Ollie Mack,East Carolina University
1979,Edgar Jones,"University of Nevada, Reno"
1979,Clint Richardson,Seattle University
1979,Paul Mokeski,University of Kansas
1979,Johnny Moore,University of Texas at Austin
1979,Calvin Garrett,Oral Roberts University
1979,Terry Duerod,University of Detroit Mercy
1979,Cedrick Hordges,University of South Carolina
1979,Geoff Huston,Texas Tech University
1979,Earl Cureton,University of Detroit Mercy
1979,Bill Laimbeer,University of Notre Dame
1979,James Donaldson,Washington State University
1979,Jerry Sichting,Purdue University
1979,Allen Leavell,Oklahoma City University
1979,Mark Eaton,"University of California, Los Angeles"
1979,Charles Jones,Albany State University
1978,Mychal Thompson,University of Minnesota
1978,Phil Ford,University of North Carolina
1978,Rick Robey,University of Kentucky
1978,Micheal Ray Richardson,University of Montana
1978,Purvis Short,Jackson State University
1978,Larry Bird,Indiana State University
1978,Ron Brewer,University of Arkansas
1978,Freeman Williams,Portland State University
1978,Reggie Theus,"University of Nevada, Las Vegas"
1978,Butch Lee,Marquette University
1978,James Hardy,University of San Francisco
1978,George Johnson,St. John's University
1978,Winford Boynes,University of San Francisco
1978,Roger Phegley,Bradley University
1978,Mike Mitchell,Auburn University
1978,Jack Givens,University of Kentucky
1978,Dave Corzine,DePaul University
1978,Marty Byrnes,Syracuse University
1978,Mike Evans,Kansas State University
1978,Raymond Townsend,"University of California, Los Angeles"
1978,Terry Tyler,University of Detroit Mercy
1978,Keith Herron,Villanova University
1978,John Long,University of Detroit Mercy
1978,Jeff Judkins,University of Utah
1978,Maurice Cheeks,West Texas A&M University
1978,Wayne Cooper,University of New Orleans
1978,Jerome Whitehead,Marquette University
1978,Clemon Johnson,Florida Agricultural and Mechanical University
1978,Billy Ray Bates,Kentucky State University
1978,Jeff Cook,Idaho State University
1978,Marc Iavaroni,University of Virginia
1978,Pat Cummings,University of Cincinnati
1978,Michael Cooper,University of New Mexico
1978,Joel Kramer,San Diego State University
1978,Gerald Henderson,Virginia Commonwealth University
1978,Duck Williams,University of Notre Dame
1977,Kent Benson,Indiana University
1977,Otis Birdsong,University of Houston
1977,Marques Johnson,"University of California, Los Angeles"
1977,Greg Ballard,University of Oregon
1977,Walter Davis,University of North Carolina
1977,Kenny Carr,North Carolina State University
1977,Bernard King,University of Tennessee
1977,Jack Sikma,Illinois Wesleyan University
1977,Tom LaGarde,University of North Carolina
1977,Ray Williams,University of Minnesota
1977,Ernie Grunfeld,University of Tennessee
1977,Cedric Maxwell,University of North Carolina at Charlotte
1977,Tree Rollins,Clemson University
1977,Brad Davis,University of Maryland
1977,Rickey Green,University of Michigan
1977,Bo Ellis,Marquette University
1977,Anthony Roberts,Oral Roberts University
1977,Norm Nixon,Duquesne University
1977,Mike Glenn,Southern Illinois University
1977,Wilson Washington,Old Dominion University
1977,Glen Gondrezick,"University of Nevada, Las Vegas"
1977,Toby Knight,University of Notre Dame
1977,Eddie Jordan,Rutgers University
1977,Mark Landsberger,Arizona State University
1977,Ben Poquette,Central Michigan University
1977,Jeff Wilkins,Illinois State University
1977,Robert Reid,St. Mary's University
1977,T.R. Dunn,University of Alabama
1977,Bob Elliott,University of Arizona
1977,James Edwards,University of Washington
1977,Eddie Johnson,Auburn University
1977,Joe Hassett,Providence College
1977,John Kuester,University of North Carolina
1977,Robert Smith,"University of Nevada, Las Vegas"
1977,Mike Bratz,Stanford University
1977,Steve Hayes,Idaho State University
1977,Billy McKinney,Northwestern University
1977,Alvin Scott,Oral Roberts University
1976,John Lucas,University of Maryland
1976,Scott May,Indiana University
1976,Richard Washington,"University of California, Los Angeles"
1976,Leon Douglas,University of Alabama
1976,Wally Walker,University of Virginia
1976,Adrian Dantley,University of Notre Dame
1976,Quinn Buckner,Indiana University
1976,Robert Parish,Centenary College of Louisiana
1976,Armond Hill,Princeton University
1976,Ron Lee,University of Oregon
1976,Bob Wilkerson,Indiana University
1976,Terry Furlow,Michigan State University
1976,Mitch Kupchak,University of North Carolina
1976,Larry Wright,Grambling State University
1976,Sonny Parker,Texas A&M University
1976,Bayard Forrest,Grand Canyon University
1976,Major Jones,Albany State University
1976,Earl Tatum,Marquette University
1976,Johnny Davis,University of Dayton
1976,Alex English,University of South Carolina
1976,Scott Lloyd,Arizona State University
1976,Lonnie Shelton,Oregon State University
1976,Bob Carrington,Boston College
1976,Dennis Johnson,Pepperdine University
1976,Lloyd Walton,Marquette University
1976,Tom Abernethy,Indiana University
1976,Ira Terrell,Southern Methodist University
1976,Tom Barker,University of Hawaii
1976,Paul Griffin,Western Michigan University
1976,Mike Dunleavy,University of South Carolina
1975,David Thompson,North Carolina State University
1975,Dave Meyers,"University of California, Los Angeles"
1975,Marvin Webster,Morgan State University
1975,Alvan Adams,University of Oklahoma
1975,Lionel Hollins,Arizona State University
1975,Rich Kelley,Stanford University
1975,Junior Bridgeman,University of Louisville
1975,Bill Robinzine,DePaul University
1975,Joe Meriweather,Southern Illinois University
1975,Joe Bryant,La Salle University
1975,John Lambert,University of Southern California
1975,Ricky Sobers,"University of Nevada, Las Vegas"
1975,Tom Boswell,University of South Carolina
1975,Kevin Grevey,University of Kentucky
1975,Gus Williams,University of Southern California
1975,Bruce Seals,Xavier University of Louisiana
1975,World B. Free,Guilford College
1975,Bob Gross,"California State University, Long Beach"
1975,Dan Roundfield,Central Michigan University
1975,Steve Green,Indiana University
1975,John Laskowski,Indiana University
1975,Jim McElroy,Central Michigan University
1975,Gus Gerard,University of Virginia
1975,Robert Hawkins,Illinois State University
1975,Bayard Forrest,Grand Canyon University
1975,C.J. Kupec,University of Michigan
1975,Eric Fernsten,University of San Francisco
1975,Wilbur Holland,University of New Orleans
1975,Don Ford,"University of California, Santa Barbara"
1975,Mike Flynn,University of Kentucky
1974,Bill Walton,"University of California, Los Angeles"
1974,Marvin Barnes,Providence College
1974,Tom Burleson,North Carolina State University
1974,John Shumate,University of Notre Dame
1974,Bobby Jones,University of North Carolina
1974,Scott Wedman,University of Colorado
1974,Tom Henderson,University of Hawaii
1974,Campy Russell,University of Michigan
1974,Tom McMillen,University of Maryland
1974,Mike Sojourner,University of Utah
1974,Jamaal Wilkes,"University of California, Los Angeles"
1974,Brian Winters,University of South Carolina
1974,Len Elmore,University of Maryland
1974,Maurice Lucas,Marquette University
1974,Al Eberhard,University of Missouri
1974,Cliff Pondexter,"California State University, Long Beach"
1974,Gary Brokaw,University of Notre Dame
1974,Jan Van Breda Kolff,Vanderbilt University
1974,Billy Knight,University of Pittsburgh
1974,Truck Robinson,Tennessee State University
1974,John Drew,Gardner-Webb University
1974,Leonard Gray,"California State University, Long Beach"
1974,Leon Benbow,Jacksonville University
1974,Aaron James,Grambling State University
1974,Phil Smith,University of San Francisco
1974,Fred Saunders,Syracuse University
1974,Eric Money,University of Arizona
1974,Kevin Stacom,Providence College
1974,Foots Walker,State University of West Georgia
1974,Kevin Restani,University of San Francisco
1974,George Gervin,Eastern Michigan University
1974,Harvey Catchings,Hardin-Simmons University
1974,Tal Skinner,University of Maryland Eastern Shore
1974,Kim Hughes,University of Wisconsin
1974,Earl Williams,Winston-Salem State University
1974,Mickey Johnson,Aurora University
1974,Al Skinner,University of Massachusetts Amherst
1973,Doug Collins,Illinois State University
1973,Jim Brewer,University of Minnesota
1973,Ernie DiGregorio,Providence College
1973,Mike Green,Louisiana Tech University
1973,Kermit Washington,American University
1973,Ed Ratleff,"California State University, Long Beach"
1973,Ron Behagen,University of Minnesota
1973,Mike Bantom,Saint Joseph's University
1973,Dwight Jones,University of Houston
1973,John Brown,University of Missouri
1973,Kevin Kunnert,University of Iowa
1973,Nick Weatherspoon,University of Illinois at Urbana-Champaign
1973,Mel Davis,St. John's University
1973,Swen Nater,"University of California, Los Angeles"
1973,Louie Nelson,University of Washington
1973,Mike D'Antoni,Marshall University
1973,Allan Bristow,Virginia Polytechnic Institute and State University
1973,George McGinnis,Indiana University
1973,Kevin Stacom,Providence College
1973,Larry McNeill,Marquette University
1973,Derrek Dickey,University of Cincinnati
1973,Jim Chones,Marquette University
1973,Caldwell Jones,Albany State University
1973,Gary Melchionni,Duke University
1973,Ken Charles,Fordham University
1973,Leonard Gray,"California State University, Long Beach"
1973,Tom Kozelko,University of Toledo
1973,Larry Kenon,University of Memphis
1973,E.C. Coleman,Houston Baptist University
1973,M.L. Carr,Guilford College
1973,John Williamson,New Mexico State University
1973,Tim Bassett,University of Georgia
1973,Nate Hawthorne,Southern Illinois University
1973,Harvey Catchings,Hardin-Simmons University
1972,LaRue Martin,Loyola University of Chicago
1972,Bob McAdoo,University of North Carolina
1972,Dwight Davis,University of Houston
1972,Corky Calhoun,University of Pennsylvania
1972,Freddie Boyd,Oregon State University
1972,Bud Stallworth,University of Kansas
1972,Bob Nash,University of Hawaii
1972,Paul Westphal,University of Southern California
1972,Ralph Simpson,Michigan State University
1972,Julius Erving,University of Massachusetts Amherst
1972,Jim Price,University of Louisville
1972,Chris Ford,Villanova University
1972,John Gianelli,University of the Pacific
1972,Steve Bracey,University of Tulsa
1972,Brian Taylor,Princeton University
1972,Steve Hawes,University of Washington
1972,Dave Twardzik,Old Dominion University
1972,Chuck Terry,"California State University, Long Beach"
1972,Ollie Johnson,Temple University
1972,Lloyd Neal,Tennessee State University
1972,Don Buse,University of Evansville
1972,Ron Riley,University of Southern California
1972,Kevin Porter,Saint Francis University
1972,Henry Bibby,"University of California, Los Angeles"
1972,James Silas,Stephen F. Austin State University
1972,Charles Dudley,University of Washington
1972,Rowland Garrett,Florida State University
1972,Bernie Fryer,Brigham Young University
1972,Mickey Davis,Duquesne University
1971,Austin Carr,University of Notre Dame
1971,Sidney Wicks,"University of California, Los Angeles"
1971,Elmore Smith,Kentucky State University
1971,George Trapp,"California State University, Long Beach"
1971,Fred Brown,University of Iowa
1971,Cliff Meely,University of Colorado
1971,Darnell Hillman,San Jose State University
1971,Stan Love,University of Oregon
1971,Curtis Rowe,"University of California, Los Angeles"
1971,Jim Cleamons,Ohio State University
1971,John Roche,University of South Carolina
1971,Kenny McIntosh,Eastern Michigan University
1971,Dean Meminger,Marquette University
