MP,FGA,FG%,2P,3P,3PA,FT,FTA,ORB,STL,BLK,TOV,PTS,eFG%,TRB%,AST%,OWS,DWS,WS/40
27.4,6.5,0.677,4.3,0.1,0.3,1.9,3.6,3.5,0.6,1,2.2,10.9,0.687,11.93196481,15.44281525,8.8,4,0.248
32.7,10.9,0.457,3,2,5.4,2.8,3.6,0.6,0.6,0.2,2,14.8,0.549,7.3,12.5,9.7,4.1,0.163
26.2,8,0.493,3.9,0,0.1,3.2,4.3,1.6,0.5,2.6,1.9,11.1,0.494,11.93196481,15.44281525,5.6,10.7,0.261
25.1,6,0.602,3.6,0,0.1,2.5,3.6,2.2,0.7,1.3,1.5,9.8,0.604,14.4,5.3,9.9,6.4,0.187
27.7,9,0.432,2.3,1.6,4,2.2,2.9,0.8,1.4,0.2,1.9,11.6,0.519,5.5,10.2,7.1,6.4,0.141
27.7,9.5,0.562,5.3,0,0.2,2.8,3.7,2.8,0.6,1.9,1.4,13.5,0.565,14.4,9.7,10.3,10.9,0.23
29.2,11.8,0.46,4.8,0.7,2.2,3.8,5,2,0.7,0.9,1.8,15.3,0.489,14,10.4,2.9,1.5,0.177
25,8.8,0.503,3.2,1.3,3.2,1.9,2.5,2.3,0.7,0.5,1.6,12,0.574,11.4,9.7,9.6,7.2,0.206
24.9,8.5,0.482,3.2,0.9,2.5,3.2,4,1.842602041,1.9,0.2,2,12.4,0.536,11.93196481,15.44281525,4.5,3.5,0.129
29.7,7.5,0.54,3.9,0.1,0.5,2.5,3.8,1.9,1.2,1.9,1.9,10.8,0.549,13.1,16.5,4,6.2,0.201
29.8,10.5,0.457,3.3,1.5,4.6,2,2.7,1.9,0.8,1.1,1.7,13.1,0.529,11.93196481,15.44281525,8.4,9.8,0.181
33,8.8,0.525,3.9,0.7,2.4,2.1,2.9,1.8,1,0.3,1,12,0.567,9.5,6.7,7,3,0.159
35.9,18.5,0.473,6.4,2.3,5.8,6,7.3,3,1.9,1.9,2.8,25.8,0.536,16.5,8.6,4.7,4.1,0.28
34.9,13.6,0.48,5.4,1.1,2.6,5.2,5.8,2,0.9,0.8,2.1,19.4,0.52,13.4,11,8.4,3.6,0.202
28.6,14.3,0.487,4.7,2.3,5.1,2.8,3.5,1.842602041,1.6,0.4,1.9,19,0.567,11.93196481,15.44281525,5,3.3,0.115
29.2,8.3,0.475,2.8,1.2,2.7,2.5,2.9,0.4,1.6,0.1,2.4,11.5,0.544,5.1,24.4,11,8.2,0.185
21,6.1,0.574,3.5,0,0,2.3,3.2,2.3,0.5,2.3,1.2,9.4,0.574,20.5,6.5,7.4,9,0.282
30.3,8.4,0.462,2.6,1.3,3.5,2.2,3.3,0.5,1.4,0.3,3,11.3,0.54,5.5,16.8,1.5,2.1,0.126
31.6,7.9,0.518,3.6,0.5,1.8,2.6,3.7,0.7,2.2,0.3,2.2,11.3,0.552,11.93196481,15.44281525,2.7,3.4,0.199
38.3,16.7,0.409,4.3,2.6,7.1,3.1,3.7,2.1,1,1.1,2.7,19.3,0.486,11.93196481,15.44281525,7.1,6.1,0.126
32.2,10.3,0.4,2.7,1.4,4.4,1.5,2.6,1.5,1.5,0.6,2.4,11.2,0.467,11,21.4,1.9,13.5,0.136
27.9,7.2,0.402,2.1,0.8,2.1,2.4,3,0.7,1,0.2,3.2,9,0.455,5.7,43.3,2.2,4.7,0.141
25.8,12.8,0.495,6.3,0,0,3.3,6.2,1.842602041,0.5,4.5,3.3,16,0.495,11.93196481,15.44281525,3.1,6.3,0.143
28.5,8.3,0.486,2.4,1.6,3.9,2.5,3.2,0.3,2.6,0.4,2.4,12.2,0.584,5.3,22.7,9.5,9,0.236
30,9.8,0.486,3.8,1,2.7,2.6,3.6,1.842602041,1.2,0.7,1.7,13.2,0.537,11.93196481,15.44281525,9.4,9.8,0.198
31.4,15.7,0.426,4.4,2.3,6.1,4,4.9,1.842602041,1.3,0.3,2.7,19.8,0.499,11.93196481,15.44281525,9.5,7.2,0.196
28.2,9.2,0.481,3.3,1.2,3.5,3.1,3.9,1.9,1.2,0.6,2.4,13.2,0.545,11.93196481,15.44281525,9.7,5.7,0.174
33.1,16.3,0.448,6,1.3,4.1,3.7,5.7,1.842602041,1.6,0.1,2.3,19.6,0.488,11.93196481,15.44281525,6,5.4,0.164
32.2,10.5,0.447,2.9,1.7,4.6,3.9,5.2,1.842602041,1.4,0.7,2.5,15,0.53,11.93196481,15.44281525,6,4.3,0.113
27.1,7.1,0.45,2.4,0.8,2.5,1.3,1.8,1.3,1.6,0.5,2.1,8.5,0.504,8.9,23.8,1.2,2.1,0.138
33.5,9.3,0.472,3,1.4,2.9,4.9,5.8,0.7,2.5,0.2,2.7,15,0.545,6.6,32.3,6.3,3.1,0.178
31.2,10.1,0.495,4.6,0.4,1.2,2,4.7,2.7,0.9,1,1.4,12.4,0.516,14.9,13,2.1,3.3,0.183
29.8,10.1,0.471,2.1,2.7,5.8,3,3.5,0.4,0.8,0.1,2,15.2,0.602,4.1,13.3,14.1,2.8,0.176
