,Draft_Yr,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP,PTS_per_G,TRB_per_G,AST_per_G,WS_per_G,WS_per_48,BPM,VORP
1691,1973,50,DET,Larry Kenon,University of Memphis,7,503,15517,8535,3942,1287,0.489,0.1,0.798,15517,17,7.8,2.6,36.5,0.113,1,11.9
1692,1973,51,HOU,E.C. Coleman,Houston Baptist University,6,357,9310,2553,2151,472,0.464,0,0.694,9310,7.2,6,1.3,12.8,0.066,-1.6,1
1700,1973,57,CLE,Luke Witte,Ohio State University,3,118,1098,372,357,60,0.402,0,0.685,1098,3.2,3,0.5,1.2,0.051,-4.2,-0.6
1721,1973,76,KCO,M.L. Carr,Guilford College,9,604,14216,5853,2595,1112,0.47,0.256,0.746,14216,9.7,4.3,1.8,29,0.098,1.3,11.7
1743,1973,96,ATL,John Williamson,New Mexico State University,5,288,9149,5802,722,813,0.449,0.293,0.833,9149,20.1,2.5,2.8,13.4,0.07,-2.5,-1.2
1755,1973,106,BUF,Tim Bassett,University of Georgia,4,235,5588,1390,1496,285,0.388,0,0.595,5588,5.9,6.4,1.2,4.1,0.036,-2.5,-0.7
1767,1973,118,LAL,Nate Hawthorne,Southern Illinois University,3,162,1991,882,333,108,0.421,0,0.66,1991,5.4,2.1,0.7,1.7,0.041,-5,-1.5
1791,1973,138,PHI,Harvey Catchings,Hardin-Simmons University,11,725,13182,2335,3639,608,0.435,0,0.647,13182,3.2,5,0.8,21.2,0.077,-0.1,6.4
1887,1974,1,POR,Bill Walton,"University of California, Los Angeles",10,468,13250,6215,4923,1590,0.521,0,0.66,13250,13.3,10.5,3.4,39.3,0.142,4.4,21.4
1888,1974,2,PHI,Marvin Barnes,Providence College,4,171,3718,1569,946,252,0.442,0,0.672,3718,9.2,5.5,1.5,4.4,0.057,-1.3,0.6
1889,1974,3,SEA,Tom Burleson,North Carolina State University,7,446,9425,4190,2794,601,0.445,0,0.726,9425,9.4,6.3,1.3,22.9,0.117,0.6,6.2
1890,1974,4,PHO,John Shumate,University of Notre Dame,5,318,9201,3920,2388,574,0.516,0,0.72,9201,12.3,7.5,1.8,24.5,0.128,0.7,6.3
1891,1974,5,HOU,Bobby Jones,University of North Carolina,10,774,20177,8911,4256,1888,0.55,0,0.78,20177,11.5,5.5,2.4,73.7,0.175,4.3,32
1892,1974,6,KCO,Scott Wedman,University of Colorado,13,906,25927,11916,4355,1771,0.481,0.335,0.794,25927,13.2,4.8,2,53.7,0.099,0,12.9
1893,1974,7,ATL,Tom Henderson,University of Hawaii,9,650,17690,6088,1494,3136,0.433,0,0.739,17690,9.4,2.3,4.8,22.1,0.06,-1.6,1.8
1894,1974,8,CLE,Campy Russell,University of Michigan,9,566,16781,8953,2696,1684,0.459,0.366,0.772,16781,15.8,4.8,3,35.8,0.103,0.6,11.1
1895,1974,9,BUF,Tom McMillen,University of Maryland,11,729,14770,5914,2913,788,0.483,0.12,0.806,14770,8.1,4,1.1,27.2,0.088,-2.3,-1.2
1896,1974,10,ATL,Mike Sojourner,University of Utah,3,191,4282,1658,1237,172,0.48,0,0.671,4282,8.7,6.5,0.9,8.2,0.092,-2.2,-0.2
1897,1974,11,GSW,Jamaal Wilkes,"University of California, Los Angeles",12,828,27275,14644,5117,2050,0.499,0.135,0.759,27275,17.7,6.2,2.5,71.3,0.125,0.3,16.1
1898,1974,12,LAL,Brian Winters,University of South Carolina,9,650,19938,10537,1688,2674,0.475,0.363,0.842,19938,16.2,2.6,4.1,38.6,0.093,-0.6,6.9
1899,1974,13,WSB,Len Elmore,University of Maryland,8,505,8384,2327,2146,459,0.413,0,0.715,8384,4.6,4.2,0.9,13.3,0.076,-0.6,2.9
1900,1974,14,CHI,Maurice Lucas,Marquette University,12,855,24787,12339,7520,1987,0.473,0.111,0.763,24787,14.4,8.8,2.3,58.7,0.114,0.1,13.4
1901,1974,15,DET,Al Eberhard,University of Missouri,4,220,4138,1490,760,175,0.433,0,0.797,4138,6.8,3.5,0.8,5.3,0.062,-2.5,-0.6
1902,1974,16,CHI,Cliff Pondexter,"California State University, Long Beach",3,197,2856,778,747,218,0.416,0,0.667,2856,3.9,3.8,1.1,4.7,0.079,-2.3,-0.2
1903,1974,17,BOS,Glenn McDonald,"California State University, Long Beach",3,146,1493,609,215,99,0.4,0,0.732,1493,4.2,1.5,0.7,1.1,0.034,-5,-1.1
1904,1974,18,MIL,Gary Brokaw,University of Notre Dame,4,241,4724,1928,407,715,0.446,0,0.713,4724,8,1.7,3,5.3,0.054,-2.6,-0.7
1908,1974,20,POR,Jan Van Breda Kolff,Vanderbilt University,7,434,10155,2596,1778,815,0.439,0.3,0.814,10155,6,4.1,1.9,15.1,0.071,-0.7,3.3
1909,1974,21,LAL,Billy Knight,University of Pittsburgh,9,671,18412,10561,3037,1435,0.506,0.274,0.83,18412,15.7,4.5,2.1,48.5,0.126,0.4,11.3
1910,1974,22,WSB,Truck Robinson,Tennessee State University,11,772,25141,11988,7267,1348,0.483,1,0.662,25141,15.5,9.4,1.7,52.7,0.101,-0.8,7.9
1911,1974,23,HOU,Gus Bailey,University of Texas at El Paso,5,147,1346,389,244,168,0.406,1,0.51,1346,2.6,1.7,1.1,0.8,0.029,-2.4,-0.1
1913,1974,25,ATL,John Drew,Gardner-Webb University,11,739,21828,15291,5088,1224,0.47,0.175,0.748,21828,20.7,6.9,1.7,68.9,0.152,1.2,17.7
1914,1974,26,SEA,Leonard Gray,"California State University, Long Beach",3,224,6058,2408,1169,490,0.469,0,0.739,6058,10.8,5.2,2.2,9.9,0.079,-0.6,2.2
1915,1974,27,CHI,Leon Benbow,Jacksonville University,2,115,1838,628,214,183,0.394,0,0.759,1838,5.5,1.9,1.6,1.7,0.044,-2.5,-0.2
1916,1974,28,NOJ,Aaron James,Grambling State University,5,356,7671,3829,1470,370,0.481,0,0.76,7671,10.8,4.1,1,13.1,0.082,-2.9,-1.7
1917,1974,29,GSW,Phil Smith,University of San Francisco,9,659,19166,9924,1978,2561,0.476,0.253,0.779,19166,15.1,3,3.9,41.1,0.103,-0.1,9.2
1919,1974,31,PHO,Fred Saunders,Syracuse University,4,210,2899,1107,624,224,0.443,0,0.682,2899,5.3,3,1.1,3.1,0.051,-2.9,-0.7
1921,1974,33,DET,Eric Money,University of Arizona,6,426,10827,5211,894,1623,0.494,0,0.748,10827,12.2,2.1,3.8,14.8,0.065,-1.2,2.2
1923,1974,35,BOS,Kevin Stacom,Providence College,6,347,4539,1781,511,524,0.417,0.5,0.768,4539,5.1,1.5,1.5,3.1,0.032,-4.7,-3.2
1928,1974,38,CLE,Foots Walker,State University of West Georgia,10,658,15036,4199,1686,3111,0.435,0.227,0.762,15036,6.4,2.6,4.7,31,0.099,0.8,10.5
1929,1974,39,CLE,Kevin Restani,University of San Francisco,8,550,10114,3386,2206,747,0.486,0.205,0.717,10114,6.2,4,1.4,14.8,0.07,-1.9,0.2
1930,1974,40,PHO,George Gervin,Eastern Michigan University,10,791,26536,20708,3607,2214,0.511,0.297,0.844,26536,26.2,4.6,2.8,88.1,0.159,1.5,23.3
