,Draft_Yr,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP,PTS_per_G,TRB_per_G,AST_per_G,WS_per_G,WS_per_48,BPM,VORP
2921,1979,48,DET,Terry Duerod,University of Detroit Mercy,4,143,1977,961,160,170,0.462,0.329,0.672,1977,6.7,1.1,1.2,1,0.023,-4.9,-1.5
2922,1979,49,CHI,Cedrick Hordges,University of South Carolina,2,145,2971,1099,853,169,0.475,0.188,0.639,2971,7.6,5.9,1.2,2.2,0.036,-3.4,-1
2923,1979,50,NYK,Geoff Huston,Texas Tech University,8,496,12252,4380,684,2509,0.483,0.254,0.708,12252,8.8,1.4,5.1,11.9,0.047,-4.2,-6.7
2931,1979,58,PHI,Earl Cureton,University of Detroit Mercy,12,674,12420,3620,3172,678,0.473,0,0.538,12420,5.4,4.7,1,14.4,0.056,-1.4,1.7
2938,1979,65,CLE,Bill Laimbeer,University of Notre Dame,14,1068,33956,13790,10400,2184,0.498,0.326,0.837,33956,12.9,9.7,2,105.6,0.149,2,34.4
2948,1979,73,SEA,James Donaldson,Washington State University,14,957,26222,8203,7492,765,0.571,0,0.732,26222,8.6,7.8,0.8,62.3,0.114,0,13.2
2957,1979,82,GSW,Jerry Sichting,Purdue University,10,598,12732,4141,817,1962,0.507,0.271,0.857,12732,6.9,1.4,3.3,21.2,0.08,-2.7,-2.2
2981,1979,104,HOU,Allen Leavell,Oklahoma City University,10,700,16248,6684,1164,3339,0.45,0.234,0.834,16248,9.5,1.7,4.8,29.9,0.088,-1.1,3.6
2984,1979,107,PHO,Mark Eaton,"University of California, Los Angeles",11,875,25169,5216,6939,840,0.458,0,0.649,25169,6,7.9,1,44.8,0.085,1.5,22.4
3048,1979,165,PHO,Charles Jones,Albany State University,15,726,14095,1826,3253,623,0.48,0,0.618,14095,2.5,4.5,0.9,24.6,0.084,1.1,10.9
3090,1980,1,GSW,Joe Barry Carroll,Purdue University,10,705,22838,12455,5404,1264,0.474,0,0.747,22838,17.7,7.7,1.8,35.6,0.075,-0.7,7.5
3091,1980,2,UTA,Darrell Griffith,University of Louisville,10,765,21403,12391,2519,1627,0.463,0.332,0.707,21403,16.2,3.3,2.1,22,0.049,-1.3,3.6
3092,1980,3,BOS,Kevin McHale,University of Minnesota,13,971,30118,17335,7122,1670,0.554,0.261,0.798,30118,17.9,7.3,1.7,113,0.18,2.5,33.9
3093,1980,4,CHI,Kelvin Ransey,Ohio State University,6,474,11586,5380,901,2480,0.454,0.132,0.782,11586,11.4,1.9,5.2,17.9,0.074,-2.4,-1.3
3094,1980,5,DEN,James Ray,Jacksonville University,3,103,843,334,228,76,0.428,0.333,0.629,843,3.2,2.2,0.7,-0.3,-0.017,-4.2,-0.5
3095,1980,6,NJN,Mike O'Koren,University of North Carolina,8,407,8810,3355,1391,856,0.49,0.271,0.651,8810,8.2,3.4,2.1,14.6,0.08,-0.5,3.2
3096,1980,7,NJN,Mike Gminski,Duke University,14,938,24058,10953,6480,1203,0.465,0.122,0.843,24058,11.7,6.9,1.3,55.9,0.111,-0.6,8.7
3097,1980,8,PHI,Andrew Toney,University of Louisiana at Lafayette,8,468,12608,7458,1009,1965,0.5,0.342,0.797,12608,15.9,2.2,4.2,26.9,0.103,-1.2,2.6
3098,1980,9,SDC,Michael Brooks,La Salle University,6,319,9372,4086,2001,818,0.486,0.152,0.714,9372,12.8,6.3,2.6,16.5,0.085,1,7.1
3099,1980,10,POR,Ronnie Lester,University of Iowa,6,250,4959,1816,473,1003,0.469,0.227,0.788,4959,7.3,1.9,4,6.3,0.061,-2.7,-0.8
3100,1980,11,DAL,Kiki Vandeweghe,"University of California, Los Angeles",13,810,24521,15980,2785,1668,0.525,0.368,0.872,24521,19.7,3.4,2.1,75.6,0.148,-0.1,11.7
3101,1980,12,NYK,Mike Woodson,Indiana University,11,786,20021,10981,1838,1822,0.466,0.271,0.813,20021,14,2.3,2.3,34.6,0.083,-1,4.9
3102,1980,13,GSW,Rickey Brown,Mississippi State University,5,340,4487,1482,1200,119,0.464,0,0.667,4487,4.4,3.5,0.4,4.7,0.051,-4.4,-2.7
3103,1980,14,WSB,Wes Matthews,University of Wisconsin,9,465,9305,3654,626,1955,0.478,0.225,0.788,9305,7.9,1.3,4.2,11,0.057,-2.9,-2.2
3104,1980,15,SAS,Reggie Johnson,University of Tennessee,4,305,5979,2564,1238,262,0.505,0.143,0.716,5979,8.4,4.1,0.9,11,0.088,-1.9,0.1
3106,1980,17,DET,Larry Drew,University of Missouri,10,714,18370,8110,1265,3702,0.467,0.291,0.798,18370,11.4,1.8,5.2,24.4,0.064,-2.4,-2
3107,1980,18,ATL,Don Collins,Washington State University,6,303,6134,2983,837,546,0.485,0.069,0.749,6134,9.8,2.8,1.8,10.5,0.082,0.4,3.7
3108,1980,19,UTA,John Duren,Georgetown University,3,201,2947,712,226,411,0.435,0.12,0.75,2947,3.5,1.1,2,-0.8,-0.014,-5.8,-2.9
3109,1980,20,SEA,Bill Hanzlik,University of Notre Dame,10,748,15534,5414,2058,2058,0.434,0.213,0.781,15534,7.2,2.8,2.8,24.7,0.076,-1,3.8
3112,1980,23,DEN,Carl Nicks,Indiana State University,3,156,2579,1067,297,249,0.462,0,0.57,2579,6.8,1.9,1.6,-0.4,-0.007,-4.5,-1.6
3115,1980,24,GSW,Larry Smith,Alcorn State University,13,883,22879,5904,8125,941,0.531,0,0.531,22879,6.7,9.2,1.1,46,0.096,0.6,15
3116,1980,25,GSW,Jeff Ruland,Iona College,8,332,11088,5763,3378,1002,0.564,0.158,0.718,11088,17.4,10.2,3,34.3,0.149,3.5,15.4
3120,1980,29,IND,Louis Orr,Syracuse University,8,569,13353,5545,2117,853,0.468,0.083,0.787,13353,9.7,3.7,1.5,25.7,0.093,-0.4,5.4
3126,1980,35,WSB,Rick Mahorn,Hampton University,18,1117,25779,7763,6957,1082,0.493,0.132,0.704,25779,6.9,6.2,1,51.7,0.096,-0.3,10.7
3128,1980,37,LAL,Butch Carter,Indiana University,6,361,6814,3137,546,683,0.475,0.307,0.788,6814,8.7,1.5,1.9,8.5,0.06,-2.5,-0.8
3132,1980,41,DEN,Jawann Oldham,Seattle University,10,329,5241,1455,1353,162,0.479,0,0.607,5241,4.4,4.1,0.5,4.3,0.039,-1.9,0.2
3140,1980,47,DEN,Kurt Nimphius,Arizona State University,8,564,11441,3602,2474,681,0.487,0.1,0.668,11441,6.4,4.4,1.2,17.5,0.074,-0.7,3.7
3143,1980,50,CHI,James Wilkes,"University of California, Los Angeles",3,114,1531,547,274,104,0.463,0,0.723,1531,4.8,2.4,0.9,2,0.063,-2.3,-0.1
3145,1980,52,NJN,Lowes Moore,West Virginia University,3,112,2118,752,227,316,0.442,0.2,0.75,2118,6.7,2,2.8,1.5,0.035,-3.2,-0.6
3149,1980,56,POR,Mike Harper,North Park University,2,123,1894,613,432,71,0.474,0,0.559,1894,5,3.5,0.6,2.4,0.062,-1.5,0.2
3151,1980,58,NYK,Kurt Rambis,Santa Clara University,14,880,16299,4603,4961,931,0.534,0,0.689,16299,5.2,5.6,1.1,38.3,0.113,1.4,14
3165,1980,70,DET,Darwin Cook,University of Portland,8,612,14156,5820,1308,2248,0.453,0.196,0.764,14156,9.5,2.1,3.7,22.9,0.078,-0.1,6.6
3170,1980,75,NJN,Rory Sparrow,Villanova University,12,836,22550,7557,1755,4192,0.466,0.26,0.797,22550,9,2.1,5,28.3,0.06,-2.3,-1.6
3242,1980,141,GSW,Lorenzo Romar,University of Washington,5,291,5188,1731,385,1022,0.464,0.211,0.749,5188,5.9,1.3,3.5,8,0.074,-2.8,-1
3322,1981,1,DAL,Mark Aguirre,DePaul University,13,923,27730,18458,4578,2871,0.484,0.312,0.741,27730,20,5,3.1,67.8,0.117,1.3,22.7
3323,1981,2,DET,Isiah Thomas,Indiana University,13,979,35516,18822,3478,9061,0.452,0.29,0.759,35516,19.2,3.6,9.3,80.7,0.109,2.2,37.5
3324,1981,3,NJN,Buck Williams,University of Maryland,17,1307,42464,16784,13017,1646,0.549,0.167,0.664,42464,12.8,10,1.3,120.1,0.136,1.2,34.8
3325,1981,4,ATL,Al Wood,University of North Carolina,6,417,9939,4902,1262,742,0.465,0.211,0.789,9939,11.8,3,1.8,15.4,0.074,-1.8,0.5
3326,1981,5,SEA,Danny Vranes,University of Utah,7,510,10624,2613,1998,594,0.496,0.105,0.57,10624,5.1,3.9,1.2,15.3,0.069,-0.4,4.4
3327,1981,6,CHI,Orlando Woolridge,University of Notre Dame,13,851,24041,13623,3696,1609,0.513,0.091,0.737,24041,16,4.3,1.9,53,0.106,-0.4,9.8
3328,1981,7,KCK,Steve Johnson,Oregon State University,10,626,13618,7345,3450,777,0.572,0,0.634,13618,11.7,5.5,1.2,26.9,0.095,-0.7,4.5
3329,1981,8,SDC,Tom Chambers,University of Utah,16,1107,33922,20049,6703,2283,0.468,0.307,0.807,33922,18.1,6.1,2.1,79,0.112,-0.5,13.2
3330,1981,9,DAL,Rolando Blackman,Kansas State University,13,980,32087,17623,3278,2981,0.493,0.343,0.84,32087,18,3.3,3,75.6,0.113,-0.1,15.3
3331,1981,10,NJN,Albert King,University of Maryland,9,534,12836,6470,2262,1171,0.461,0.268,0.791,12836,12.1,4.2,2.2,16.3,0.061,-1.5,1.8
3332,1981,11,WSB,Frank Johnson,Wake Forest University,10,596,12897,4937,1025,2476,0.439,0.218,0.76,12897,8.3,1.7,4.2,17.2,0.064,-2.2,-0.8
3333,1981,12,DET,Kelly Tripucka,University of Notre Dame,10,707,20959,12142,2703,2090,0.473,0.361,0.849,20959,17.2,3.8,3,44.4,0.102,0.1,11.3
3334,1981,13,UTA,Danny Schayes,Syracuse University,18,1138,21975,8780,5671,1299,0.481,0.133,0.806,21975,7.7,5,1.1,48.8,0.107,-1.2,4.6
3335,1981,14,IND,Herb Williams,Ohio State University,18,1102,28484,11944,6509,1856,0.467,0.095,0.696,28484,10.8,5.9,1.7,36.1,0.061,-1.1,6.7
3336,1981,15,POR,Jeff Lamp,University of Virginia,6,291,3471,1495,437,269,0.47,0.222,0.841,3471,5.1,1.5,0.9,5.2,0.072,-3.3,-1.2
3337,1981,16,POR,Darnell Valentine,University of Kansas,9,620,14395,5400,1318,3080,0.437,0.261,0.787,14395,8.7,2.1,5,22.1,0.074,-1.4,2.3
3338,1981,17,KCK,Kevin Loder,Alabama State University,3,148,2094,875,338,174,0.461,0.261,0.695,2094,5.9,2.3,1.2,2.4,0.055,-2.5,-0.3
3339,1981,18,NJN,Ray Tolbert,Indiana University,5,261,2789,928,609,135,0.495,0,0.544,2789,3.6,2.3,0.5,2.9,0.051,-2.9,-0.6
3340,1981,19,LAL,Mike McGee,University of Michigan,9,520,9271,4968,1112,629,0.487,0.354,0.597,9271,9.6,2.1,1.2,15.1,0.078,-0.9,2.5
3341,1981,20,PHO,Larry Nance,Clemson University,13,920,30697,15687,7352,2393,0.546,0.145,0.755,30697,17.1,8,2.6,109.6,0.171,4.2,47.9
3342,1981,21,MIL,Alton Lister,Arizona State University,16,953,18965,6298,5996,914,0.512,0.111,0.597,18965,6.6,6.3,1,36.6,0.093,-0.3,7.9
3343,1981,22,PHI,Franklin Edwards,Cleveland State University,7,296,4436,1802,300,774,0.449,0.03,0.795,4436,6.1,1,2.6,3.9,0.043,-3.9,-2.1
3344,1981,23,BOS,Charles Bradley,University of Wyoming,3,110,910,347,119,55,0.416,0,0.585,910,3.2,1.1,0.5,0.3,0.016,-4.1,-0.5
3347,1981,24,DAL,Jay Vincent,Michigan State University,9,576,15556,8729,3167,1124,0.474,0.148,0.784,15556,15.2,5.5,2,27.5,0.085,-1.4,2.3
3348,1981,25,BOS,Tracy Jackson,University of Notre Dame,3,129,1797,694,243,132,0.463,0.154,0.749,1797,5.4,1.9,1,2.4,0.064,-2.2,-0.1
3351,1981,28,SAS,Gene Banks,Duke University,6,468,13074,5305,2718,1335,0.539,0.043,0.73,13074,11.3,5.8,2.9,31.2,0.115,2,13.3
3352,1981,29,KCK,Eddie Johnson,University of Illinois at Urbana-Champaign,17,1199,32604,19202,4832,2550,0.472,0.335,0.84,32604,16,4,2.1,65.6,0.097,-0.9,9.1
3354,1981,31,BOS,Danny Ainge,Brigham Young University,14,1042,27755,11964,2768,4199,0.469,0.378,0.846,27755,11.5,2.7,4,71.5,0.124,1.3,23
3356,1981,33,GSW,Sam Williams,Arizona State University,4,257,4528,1628,1146,156,0.5,0,0.653,4528,6.3,4.5,0.6,9,0.095,-0.1,2.1
3358,1981,35,WSB,Charles Davis,Vanderbilt University,8,415,5050,2214,1008,309,0.451,0.17,0.737,5050,5.3,2.4,0.7,5.8,0.056,-3.6,-2
3366,1981,43,DAL,Elston Turner,University of Mississippi,8,505,9006,2397,1375,914,0.432,0.152,0.714,9006,4.7,2.7,1.8,8.5,0.045,-1.6,0.9
3377,1981,52,ATL,Rudy Macklin,Louisiana State University,3,160,2752,1030,464,121,0.449,0,0.776,2752,6.4,2.9,0.8,3.2,0.056,-2.8,-0.6
3382,1981,57,NYK,Frank Brickowski,Pennsylvania State University,12,731,16278,7302,3410,1384,0.519,0.324,0.74,16278,10,4.7,1.9,29.8,0.088,-0.3,6.8
3386,1981,61,POR,Petur Gudmundsson,University of Washington,4,150,2060,693,563,153,0.494,0.5,0.754,2060,4.6,3.8,1,2.1,0.05,-2.8,-0.4
3403,1981,76,GSW,Lewis Lloyd,Drake University,7,388,9406,5130,1192,1138,0.524,0.213,0.771,9406,13.2,3.1,2.9,19.8,0.101,0.3,5.5
3408,1981,81,HOU,Larry Spriggs,Howard University,5,169,2202,873,384,218,0.517,0,0.752,2202,5.2,2.3,1.3,3.4,0.074,-1.3,0.4
3412,1981,85,POR,Pete Verhoeven,"California State University, Fresno",6,282,3220,1000,641,152,0.505,0.25,0.689,3220,3.5,2.3,0.5,5.2,0.078,-1.3,0.6
3415,1981,88,LAL,Kevin McKenna,Creighton University,6,243,3460,1320,317,342,0.414,0.367,0.819,3460,5.4,1.3,1.4,4,0.056,-2.3,-0.2
3431,1981,102,GSW,Hank McDowell,University of Memphis,6,206,1857,600,464,98,0.451,0,0.71,1857,2.9,2.3,0.5,2,0.052,-3.5,-0.7
3563,1982,1,LAL,James Worthy,University of North Carolina,12,926,30001,16320,4708,2791,0.521,0.241,0.769,30001,17.6,5.1,3,81.2,0.13,1.8,28.5
3564,1982,2,SDC,Terry Cummings,DePaul University,18,1183,33898,19460,8630,2190,0.484,0.295,0.706,33898,16.4,7.3,1.9,91.1,0.129,0.9,24.9
3565,1982,3,UTA,Dominique Wilkins,University of Georgia,15,1074,38113,26668,7169,2677,0.461,0.319,0.811,38113,24.8,6.7,2.5,117.5,0.148,2.3,41.8
3566,1982,4,DAL,Bill Garnett,University of Wyoming,4,300,5260,1638,1298,393,0.49,0,0.72,5260,5.5,4.3,1.3,10.8,0.099,0.1,2.7
3567,1982,5,KCK,LaSalle Thompson,University of Texas at Austin,15,985,21238,7806,6689,1139,0.492,0.154,0.737,21238,7.9,6.8,1.2,35,0.079,-0.5,8.3
3568,1982,6,NYK,Trent Tucker,University of Minnesota,11,756,15671,6236,1520,1532,0.461,0.408,0.754,15671,8.2,2,2,34.3,0.105,0.3,9
3569,1982,7,CHI,Quintin Dailey,University of San Francisco,10,528,12170,7470,1307,1188,0.454,0.158,0.779,12170,14.1,2.5,2.3,12.7,0.05,-2.9,-2.7
3570,1982,8,IND,Clark Kellogg,Ohio State University,5,260,8514,4918,2482,764,0.497,0.338,0.757,8514,18.9,9.5,2.9,20.9,0.118,2.1,8.9
3571,1982,9,DET,Cliff Levingston,Wichita State University,11,830,16962,5888,4307,752,0.516,0.152,0.676,16962,7.1,5.2,0.9,44.2,0.125,1.4,14.4
3573,1982,11,POR,Fat Lever,Arizona State University,11,752,23814,10433,4523,4696,0.447,0.31,0.771,23814,13.9,6,6.2,61.2,0.123,3.6,33.7
3574,1982,12,CLE,John Bagley,Boston College,11,665,17120,5802,1729,3980,0.437,0.241,0.779,17120,8.7,2.6,6,16.6,0.047,-1.9,0.3
3575,1982,13,NJN,Sleepy Floyd,Georgetown University,13,957,26383,12260,2494,5175,0.444,0.324,0.815,26383,12.8,2.6,5.4,50.6,0.092,-0.5,10.1
3576,1982,14,GSW,Lester Conner,Oregon State University,12,687,14970,4337,1861,2669,0.453,0.202,0.753,14970,6.3,2.7,3.9,28.6,0.092,0.8,10.5
3577,1982,15,PHO,David Thirdkill,Bradley University,5,179,1469,510,209,84,0.457,0.091,0.565,1469,2.8,1.2,0.5,1.3,0.042,-4.6,-0.9
3578,1982,16,HOU,Terry Teagle,Baylor University,11,687,14509,7982,1803,956,0.465,0.21,0.792,14509,11.6,2.6,1.4,13.4,0.044,-3.5,-5.6
3579,1982,17,KCK,Brook Steppe,Georgia Institute of Technology,5,238,2858,1297,345,280,0.469,0.31,0.82,2858,5.4,1.4,1.2,4.6,0.078,-2.9,-0.6
3580,1982,18,DET,Ricky Pierce,Rice University,16,969,23665,14467,2296,1826,0.493,0.322,0.875,23665,14.9,2.4,1.9,72.2,0.146,-0.1,11.5
3581,1982,19,DEN,Rob Williams,University of Houston,2,153,3367,1319,330,825,0.439,0.274,0.789,3367,8.6,2.2,5.4,2.1,0.03,-3.4,-1.2
3582,1982,20,MIL,Paul Pressey,University of Tulsa,11,724,19659,7664,2798,3715,0.485,0.222,0.749,19659,10.6,3.9,5.1,49,0.12,2.4,22
3584,1982,22,PHI,Mark McNamara,University of California,8,278,2707,980,827,77,0.512,0,0.548,2707,3.5,3,0.3,2.8,0.049,-4.8,-1.9
3585,1982,23,BOS,Darren Tillis,Cleveland State University,2,124,1256,425,314,42,0.423,0,0.626,1256,3.4,2.5,0.3,0.9,0.036,-4.7,-0.8
3589,1982,25,WSB,Bryan Warrick,Saint Joseph's University,4,169,2379,677,218,437,0.443,0.208,0.747,2379,4,1.3,2.6,1.6,0.033,-4.5,-1.5
3591,1982,27,MIL,Fred Roberts,Brigham Young University,13,818,14703,5962,2308,977,0.502,0.325,0.796,14703,7.3,2.8,1.2,26.2,0.086,-1.6,1.7
3593,1982,29,NYK,Scott Hastings,University of Arkansas,11,578,5985,1647,1287,284,0.441,0.292,0.811,5985,2.8,2.2,0.5,9.8,0.079,-2.1,-0.1
3594,1982,30,CHI,Wallace Bryant,University of San Francisco,3,102,1395,323,374,112,0.407,0,0.573,1395,3.2,3.7,1.1,1.3,0.044,-1.9,0
3595,1982,31,CHI,Rod Higgins,"California State University, Fresno",13,779,17189,7011,2819,1254,0.465,0.342,0.808,17189,9,3.6,1.6,37.8,0.106,-0.1,8.3
3596,1982,32,SDC,Richard Anderson,"University of California, Santa Barbara",6,407,6002,2260,1418,611,0.412,0.333,0.762,6002,5.6,3.5,1.5,7.6,0.061,-1.2,1.2
3599,1982,35,GSW,Derek Smith,University of Louisville,9,408,9825,5232,1300,866,0.499,0.294,0.753,9825,12.8,3.2,2.1,18.3,0.089,-0.7,3.2
3600,1982,36,PHI,J.J. Anderson,Bradley University,3,157,1970,751,439,110,0.465,0,0.558,1970,4.8,2.8,0.7,2.7,0.065,-1.5,0.3
3601,1982,37,POR,Audie Norris,Jackson State University,3,187,2585,819,576,147,0.511,0,0.662,2585,4.4,3.1,0.8,2.9,0.054,-2.3,-0.2
3609,1982,45,PHI,Russ Schoene,University of Tennessee at Chattanooga,4,290,3548,1491,735,175,0.435,0.335,0.751,3548,5.1,2.5,0.6,4.5,0.061,-3,-0.9
3614,1982,48,SDC,Craig Hodges,"California State University, Long Beach",10,695,15077,5940,937,1769,0.461,0.4,0.828,15077,8.5,1.3,2.5,27.2,0.087,-1.4,2.2
3621,1982,55,UTA,Jerry Eaves,University of Louisville,4,168,2685,1132,208,414,0.472,0.071,0.773,2685,6.7,1.2,2.5,2.6,0.046,-4.8,-1.9
3622,1982,56,ATL,Joe Kopicki,University of Detroit Mercy,3,118,1187,432,314,84,0.493,0.273,0.812,1187,3.7,2.7,0.7,3.5,0.142,-0.7,0.4
3626,1982,60,GSW,Chris Engler,University of Wyoming,5,195,1405,343,386,45,0.411,0,0.677,1405,1.8,2,0.2,0.6,0.02,-5.8,-1.4
3627,1982,61,PHO,Charles Pittman,University of Maryland,4,234,3292,1060,718,204,0.546,0,0.711,3292,4.5,3.1,0.9,4.2,0.062,-2,0
3629,1982,63,HOU,Chuck Nevitt,North Carolina State University,9,155,826,251,239,19,0.438,0,0.589,826,1.6,1.5,0.1,0.5,0.031,-4.4,-0.5
3635,1982,69,BOS,Perry Moss,Northeastern University,2,136,1710,536,210,198,0.415,0.174,0.722,1710,3.9,1.5,1.5,0.9,0.025,-2.6,-0.3
3640,1982,72,UTA,Mark Eaton,"University of California, Los Angeles",11,875,25169,5216,6939,840,0.458,0,0.649,25169,6,7.9,1,44.8,0.085,1.5,22.4
3642,1982,74,KCK,Mike Sanders,"University of California, Los Angeles",11,648,12391,5162,1927,880,0.482,0.221,0.769,12391,8,3,1.4,17.9,0.069,-1.9,0.3
3646,1982,78,DET,Walker Russell,Western Michigan University,6,155,1767,464,187,350,0.393,0.158,0.8,1767,3,1.2,2.3,-0.7,-0.02,-6.1,-1.8
3650,1982,82,NJN,Tony Brown,University of Arkansas,7,360,6006,2163,766,563,0.437,0.259,0.719,6006,6,2.1,1.6,4.9,0.039,-2.2,-0.2
3654,1982,86,PHO,Rory White,University of South Alabama,5,324,5410,2387,749,232,0.506,0.077,0.681,5410,7.4,2.3,0.7,6.5,0.058,-2.9,-1.3
3742,1982,166,KCK,Ed Nealy,Kansas State University,10,540,6792,1451,1799,392,0.498,0.292,0.684,6792,2.7,3.3,0.7,15.2,0.107,-0.3,3
3806,1983,1,HOU,Ralph Sampson,University of Virginia,9,456,13591,7039,4011,1038,0.486,0.172,0.661,13591,15.4,8.8,2.3,20.1,0.071,0,6.8
3807,1983,2,IND,Steve Stipanovich,University of Missouri,5,403,12591,5323,3131,938,0.484,0.179,0.796,12591,13.2,7.8,2.3,30.4,0.116,1.1,9.9
3808,1983,3,HOU,Rodney McCray,University of Louisville,10,768,24876,9014,5087,2750,0.503,0.26,0.761,24876,11.7,6.6,3.6,56,0.108,1.6,23
3809,1983,4,SDC,Byron Scott,Arizona State University,14,1073,30152,15097,2987,2729,0.482,0.37,0.833,30152,14.1,2.8,2.5,75.2,0.12,0.4,18.6
3810,1983,5,CHI,Sidney Green,"University of Nevada, Las Vegas",10,679,13247,5080,4128,635,0.454,0.037,0.738,13247,7.5,6.1,0.9,17.4,0.063,-2.7,-2.5
3812,1983,7,UTA,Thurl Bailey,North Carolina State University,12,928,24873,11834,4718,1298,0.473,0.114,0.812,24873,12.8,5.1,1.4,45,0.087,-1.3,4.2
3813,1983,8,DET,Antoine Carr,Wichita State University,16,987,19780,9176,3384,1086,0.503,0.13,0.78,19780,9.3,3.4,1.1,42.1,0.102,-0.6,7
3814,1983,9,DAL,Dale Ellis,University of Tennessee,17,1209,34778,19004,4201,1746,0.479,0.403,0.784,34778,15.7,3.5,1.4,84.7,0.117,0.3,20.5
3815,1983,10,WSB,Jeff Malone,Mississippi State University,13,905,29660,17231,2364,2154,0.484,0.268,0.871,29660,19,2.6,2.4,54.2,0.088,-2.1,-0.9
3816,1983,11,DAL,Derek Harper,University of Illinois at Urbana-Champaign,16,1199,37786,16006,2884,6577,0.463,0.354,0.745,37786,13.3,2.4,5.5,86.8,0.11,1.2,30.2
3817,1983,12,NYK,Darrell Walker,University of Arkansas,10,720,18601,6389,3134,3276,0.435,0.059,0.713,18601,8.9,4.4,4.6,27.4,0.071,1,14.2
3818,1983,13,KCK,Ennis Whatley,University of Alabama,10,385,7108,2150,679,1754,0.468,0.097,0.755,7108,5.6,1.8,4.6,9.6,0.065,-2.5,-0.8
3819,1983,14,POR,Clyde Drexler,University of Houston,15,1086,37537,22195,6677,6125,0.472,0.318,0.788,37537,20.4,6.1,5.6,135.6,0.173,6,75.6
3821,1983,16,SEA,Jon Sundvold,University of Missouri,9,502,8811,3886,554,1469,0.452,0.392,0.849,8811,7.7,1.1,2.9,8.9,0.048,-4.8,-6.2
3823,1983,18,MIL,Randy Breuer,University of Minnesota,11,681,12499,4599,2986,616,0.467,0,0.628,12499,6.8,4.4,0.9,20.9,0.08,-1.2,2.5
3824,1983,19,SAS,John Paxson,University of Notre Dame,11,772,17257,5560,906,2758,0.499,0.355,0.804,17257,7.2,1.2,3.6,36.3,0.101,-2.6,-2.7
3825,1983,20,CLE,Roy Hinson,Rutgers University,8,507,15543,7206,3452,495,0.499,0,0.741,15543,14.2,6.8,1,30.2,0.093,-0.9,4.3
3826,1983,21,BOS,Greg Kite,Brigham Young University,12,680,10080,1717,2607,345,0.438,0.167,0.486,10080,2.5,3.8,0.5,5.6,0.027,-3.1,-2.8
3827,1983,22,WSB,Randy Wittman,Indiana University,9,543,11594,4034,760,1201,0.501,0.321,0.753,11594,7.4,1.4,2.2,17.2,0.071,-1.7,0.8
3828,1983,23,IND,Mitchell Wiggins,Florida State University,6,389,8105,3877,1235,609,0.46,0.192,0.755,8105,10,3.2,1.6,15.2,0.09,-0.8,2.5
3832,1983,25,CHI,Sidney Lowe,North Carolina State University,4,193,3422,562,335,749,0.367,0.133,0.764,3422,2.9,1.7,3.9,3.9,0.055,-3.7,-1.4
3835,1983,28,PHO,Rod Foster,"University of California, Los Angeles",3,207,3446,1562,258,479,0.44,0.298,0.768,3446,7.5,1.2,2.3,2.2,0.031,-4.1,-1.8
3837,1983,30,DAL,Mark West,Old Dominion University,17,1090,20213,6259,5347,428,0.58,0,0.568,20213,5.7,4.9,0.4,41.9,0.1,-0.9,5.6
3838,1983,31,ATL,Doc Rivers,Marquette University,13,864,23567,9377,2625,4889,0.444,0.328,0.784,23567,10.9,3,5.7,68.2,0.139,3.1,30.3
3840,1983,33,DAL,Dirk Minniefield,University of Kentucky,3,222,3801,1187,367,845,0.47,0.272,0.739,3801,5.3,1.7,3.8,4.1,0.052,-2.6,-0.6
3845,1983,38,KCK,Chris McNealy,San Jose State University,3,108,1864,466,494,110,0.456,0,0.658,1864,4.3,4.6,1,2.6,0.066,-0.7,0.6
3846,1983,39,POR,Granville Waiters,Ohio State University,5,249,2547,606,540,121,0.458,0,0.559,2547,2.4,2.2,0.5,1.9,0.036,-3,-0.6
3847,1983,40,IND,Jim Thomas,Indiana University,4,161,3361,1355,418,377,0.471,0.17,0.763,3361,8.4,2.6,2.3,4.9,0.071,-1.6,0.3
3850,1983,43,GSW,Pace Mannion,University of Utah,6,216,2125,660,259,231,0.413,0.203,0.663,2125,3.1,1.2,1.1,1.7,0.038,-2.9,-0.5
3853,1983,46,SAS,Kevin Williams,St. John's University,5,260,2947,1268,356,319,0.435,0.077,0.805,2947,4.9,1.4,1.2,2.6,0.042,-2.8,-0.6
3857,1983,48,HOU,Craig Ehlo,Washington State University,14,873,21071,7492,3139,2456,0.453,0.369,0.689,21071,8.6,3.6,2.8,41.2,0.094,1.2,16.8
3859,1983,50,CLE,Paul Thompson,Tulane University,3,154,3105,1374,533,224,0.432,0.21,0.792,3105,8.9,3.5,1.5,4.9,0.076,-0.4,1.2
3862,1983,53,GSW,Mike Holton,"University of California, Los Angeles",6,325,5836,2016,459,977,0.441,0.257,0.807,5836,6.2,1.4,3,4.8,0.039,-3.9,-2.8
3863,1983,54,UTA,Bob Hansen,University of Iowa,9,575,11104,3952,1282,947,0.468,0.323,0.662,11104,6.9,2.2,1.6,15.4,0.066,-1.3,1.9
3866,1983,57,WSB,Darren Daye,"University of California, Los Angeles",5,328,5208,2225,844,672,0.491,0.118,0.681,5208,6.8,2.6,2,9.3,0.086,-0.8,1.6
