G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM
96,96,35,4.6,10.2,0.447,2.6,5,0.522,1.9,5.2,0.375,3.8,4.8,0.778,0.7,3.4,4.1,3.1,1.7,0.4,1.8,2.1,14.8,7.74,22.9,0.593,0.542,0.509,0.474,902.7,7.6,16.9,7.7,28.8,2.199333333,0.3,12.4,27.6,9.8,7.8,17.6,0.21,4.976229508,3.236885246,8.216393443
116,115,35.1,6.8,13,0.519,6.1,11,0.549,0.7,2,0.352,4.2,5.3,0.789,3.3,5.5,8.9,2.3,1.6,0.4,2.3,2.1,18.4,7.36,22.9,0.592,0.546,0.152,0.411,902.7,7.6,16.9,15.3,13.8,2.199333333,0.8,12.9,23.8,13.1,7.5,20.5,0.202,4.976229508,3.236885246,8.216393443
72,71,26.6,5.5,9.6,0.568,5.5,9.6,0.568,0,0,0,2.7,4.3,0.614,4.7,6,10.7,1.1,1.6,1,1.6,2.8,13.6,8.22,22.9,0.582,0.568,0,0.448,902.7,7.6,16.9,22.7,8.2,2.199333333,2.9,12,24.6,5.4,9.6,15,0.314,4.976229508,3.236885246,8.216393443
108,107,31.2,4.8,11.4,0.419,2.8,5.8,0.48,2,5.6,0.357,2.6,3.4,0.755,0.8,3.4,4.2,3.3,1.1,0.1,2.2,1.9,14.1,4.05,21,0.544,0.507,0.493,0.303,1103,2.4,13.7,8.3,25.4,2.1,0.3,14.5,26.3,7.9,5.9,13.8,0.164,5.3,1,6.3
127,109,33.1,6.1,13.5,0.45,4.8,9.9,0.49,1.2,3.6,0.342,5.1,6.4,0.803,0.9,3.8,4.7,5.3,1.5,0.2,2.2,1.8,18.5,-3.55,28.1,0.56,0.497,0.269,0.47,2455,3.4,14.6,8.8,33.9,2.7,0.5,11.8,29.3,19.1,4.7,23.8,0.226,7.3,-0.3,7
65,30,19.8,3,5.4,0.567,3,5.2,0.585,0,0.2,0,1.6,2.2,0.729,1.3,3.4,4.7,0.7,0.3,1.1,1.4,2.2,7.7,9.55,20.3,0.601,0.569,0.034,0.413,471,8.1,23.1,15.4,8.5,1,6.5,18.4,21.1,2.7,2.2,4.8,0.149,1.2,5.1,6.3
131,56,15.1,1.7,3.1,0.563,1.7,3.1,0.565,0,0,0,1.2,2.1,0.578,1.3,2.6,3.9,0.6,0.3,1.5,1.2,2.1,4.7,7.4,22.9,0.575,0.565,0.007,0.682,902.7,7.6,16.9,13.2,5.7,2.199333333,6,23,15.9,3.1,6.9,10.1,0.203,4.976229508,3.236885246,8.216393443
78,46,21.9,4.7,8.7,0.541,4.7,8.5,0.552,0,0.2,0,1.8,2.7,0.676,2.2,3.3,5.5,0.6,0.7,1.4,1.6,2.8,11.3,7.53,22.9,0.564,0.543,0.025,0.312,902.7,7.6,16.9,13.6,4.7,2.199333333,5.6,14,26,4.1,6.5,10.6,0.247,4.976229508,3.236885246,8.216393443
73,73,36.5,5.6,12.2,0.46,4.2,8.1,0.525,1.4,4.2,0.333,4,5.1,0.782,0.6,2.1,2.7,6,1.5,0.2,3.1,1.5,16.6,8.72,22.9,0.567,0.516,0.34,0.416,902.7,7.6,16.9,4.1,26.8,2.199333333,0.3,17.3,21.5,5.9,2.7,8.6,0.129,4.976229508,3.236885246,8.216393443
102,102,33.2,4.8,9.7,0.488,3.9,7.3,0.531,0.9,2.4,0.359,2.7,3.9,0.7,2.1,4.4,6.5,3.1,0.9,1.2,2.5,2.5,13.1,7.65,22.9,0.565,0.533,0.249,0.402,902.7,7.6,16.9,12.7,20.8,2.199333333,2.9,17.8,24.1,7.5,7.2,14.7,0.174,4.976229508,3.236885246,8.216393443
109,100,26.1,5.1,9.4,0.54,4.4,7.6,0.579,0.7,1.8,0.372,3.3,4.6,0.725,1.2,2.4,3.7,1.7,1,0.4,2,1.9,14.2,4.64,22.9,0.611,0.575,0.191,0.485,902.7,7.6,16.9,7.4,13.2,2.199333333,1.2,14.6,26.7,10,7.4,17.4,0.245,4.976229508,3.236885246,8.216393443
68,63,30.9,7.1,11.5,0.618,7.1,11.4,0.622,0,0.1,0,4.5,7.7,0.589,3.6,8.3,11.8,2.1,1.1,1,2.8,2.5,18.8,7.37,22.9,0.62,0.62,0.013,0.665,902.7,7.6,16.9,21.8,16.4,2.199333333,2.4,15.7,29.5,8.9,6.3,15.2,0.29,4.976229508,3.236885246,8.216393443
130,130,36.4,5.3,10.5,0.504,4.4,8,0.548,0.9,2.5,0.365,4.4,6,0.731,2.9,4.3,7.2,3,1.4,0.3,2.1,1.9,15.9,7.22,22.9,0.595,0.548,0.24,0.573,902.7,7.6,16.9,12.1,17.4,2.199333333,0.5,13.3,21.5,12.9,8.1,21,0.178,4.976229508,3.236885246,8.216393443
63,35,22.3,4.3,8.3,0.518,3.9,7.4,0.534,0.4,1,0.393,2.2,3.2,0.681,2.2,4.6,6.7,1,0.4,1.7,1.7,2.2,11.2,7.7,22.9,0.568,0.541,0.116,0.389,902.7,7.6,16.9,14,6.9,2.199333333,4.9,14.9,22.4,3.5,4.8,8.4,0.238,4.976229508,3.236885246,8.216393443
93,75,31.7,5.1,11.6,0.44,4.1,8.4,0.485,1,3.2,0.322,4.2,5.2,0.805,0.8,2.5,3.3,2.7,0.9,0.3,2.7,2.3,15.4,4.32,19.1,0.548,0.484,0.274,0.453,1390,3.2,9.4,6.4,20.5,1.8,1,16.3,27.8,6.9,3.2,10.1,0.136,3,3.236885246,3
35,35,32.8,5.4,12.1,0.448,4.2,8.5,0.493,1.2,3.6,0.341,5,6.5,0.775,2.2,3.7,5.9,1.5,1.2,1,2.3,2.7,17.1,11.4,21.4,0.563,0.499,0.299,0.538,564,8.4,12.3,10.4,9.2,2.1,3.1,13.1,26.3,3.2,1.7,4.9,0.17,5.4,3,8.5
36,0,22.2,3.5,6.9,0.506,2.9,5.6,0.522,0.5,1.2,0.432,3.8,4.5,0.847,1.8,4.8,6.6,0.7,1.1,0.5,1.6,2.6,11.3,10.66,22.9,0.627,0.545,0.178,0.66,902.7,7.6,16.9,16,5.4,2.199333333,1.4,14.7,21.1,2.6,2.1,4.8,0.239,4.976229508,3.236885246,8.216393443
136,121,23.3,4.2,7,0.603,4.2,7,0.602,0,0,0,2.4,3.5,0.68,2.3,3.7,5.9,1.3,0.4,1.9,1.5,2.5,10.9,7.54,22.9,0.626,0.605,0.003,0.506,902.7,7.6,16.9,16.2,13.1,2.199333333,6.3,14.9,24.6,11.7,10.3,22,0.278,4.976229508,3.236885246,8.216393443
36,35,27.5,5,8.1,0.611,5,8.1,0.613,0,0,0,2.5,4,0.629,3,5.4,8.4,1,0.9,2.1,2.5,2.6,12.4,9.02,22.9,0.621,0.611,0.003,0.488,420,12.6,19.9,16.5,7.9,1.8,7.9,20,21.8,2.3,2.5,4.8,0.195,4.976229508,3.236885246,8.216393443
135,130,32.2,4.4,8.2,0.534,4.2,7.7,0.549,0.1,0.5,0.288,1.6,2.4,0.671,3,5.5,8.5,2.1,0.5,1.6,1.4,2.5,10.5,4.24,21.8,0.562,0.542,0.06,0.293,821,10.8,22,16.5,14.3,1.1,5,13,19.3,9.5,9.7,19.2,0.176,1.2,5.3,6.6
53,53,30.2,5.2,8.9,0.586,5.2,8.9,0.586,0,0,0,3,4.7,0.649,3.4,4.8,8.2,0.6,1.3,1.8,1.6,2.7,13.5,7.28,22.9,0.605,0.586,0,0.527,902.7,7.6,16.9,15.3,4.3,2.199333333,4.2,12.9,20.9,4.7,6.5,11.2,0.28,4.976229508,3.236885246,8.216393443
127,73,25.5,4.2,8.2,0.518,4.2,8,0.524,0,0.1,0,5.1,7.1,0.715,2.1,4.7,6.8,1,0.5,1.4,2.1,2.9,13.6,3.06,22.9,0.588,0.52,0.017,0.866,902.7,7.6,16.9,16.4,7.4,2.199333333,4.2,15.1,27.6,9.7,9,18.7,0.231,4.976229508,3.236885246,8.216393443
127,127,31.2,6.3,13.6,0.464,4.4,8.8,0.498,1.9,4.8,0.401,3.1,3.7,0.817,1.7,3.5,5.2,2.2,1.9,0.6,2.5,2.5,17.6,-1.08,22.9,0.572,0.535,0.353,0.275,902.7,7.6,16.9,10.4,15.1,2.199333333,1,14.1,25.4,11.1,7.5,18.7,0.189,4.976229508,3.236885246,8.216393443
98,80,28.1,4.7,10.5,0.448,2.9,5.5,0.519,1.8,5,0.369,3.2,3.7,0.849,1.2,2.7,3.9,3.5,1.5,1.4,2.4,2.7,14.4,6.66,22.9,0.587,0.535,0.473,0.353,902.7,7.6,16.9,7.6,28.9,2.199333333,3.3,16.2,26.1,8.4,9.6,18,0.261,4.976229508,3.236885246,8.216393443
117,76,19.8,2.8,4.9,0.568,2.8,4.9,0.567,0,0,0,2.4,3.3,0.726,1.6,3.8,5.4,0.6,0.5,2.7,1.2,1.8,8,8.34,26,0.616,0.569,0.002,0.677,892,9.9,21.2,15.9,5.8,1.5,14.3,15.3,19.7,6.6,6.4,13,0.224,2.7,10.3,13
111,77,32.9,5.2,12.2,0.428,4.1,8.7,0.469,1.1,3.5,0.326,4.5,5.8,0.783,1,3.4,4.4,4.1,1.7,0.3,2.3,1.5,16.1,9.39,25.7,0.539,0.475,0.287,0.474,1450,3.5,10.6,7.3,26.6,3.2,0.7,13.5,26.2,11.5,6.4,17.9,0.196,10.2,2.7,12.9
92,91,35.2,7.2,12.4,0.577,7.1,12.2,0.58,0.1,0.2,0,4.2,6.8,0.62,5.5,7.3,12.7,0.9,1.3,2,2.4,3.1,18.6,2.11,22.9,0.594,0.579,0.014,0.546,902.7,7.6,16.9,19.3,5.6,2.199333333,3.5,13.5,23.7,10.9,13.7,24.6,0.304,4.976229508,3.236885246,8.216393443
53,43,28,6.1,12.7,0.48,6.1,12.3,0.491,0.1,0.4,0,3.7,4.9,0.764,2.3,4.8,7.1,1.1,0.5,1.9,2.1,2.6,16,8,22.9,0.532,0.482,0.031,0.384,902.7,7.6,16.9,14.6,9.7,2.199333333,4.9,12.3,31.4,2.9,5,7.9,0.213,4.976229508,3.236885246,8.216393443
64,59,29.8,5,10.8,0.461,4.1,8.5,0.483,0.9,2.3,0.378,2.8,3.8,0.721,1.9,4,5.9,1.8,1.3,1.7,2.2,2.3,13.6,7.1,22.9,0.538,0.501,0.214,0.353,902.7,7.6,16.9,10.8,12.6,2.199333333,3.2,15,25.2,3.2,5.9,9.1,0.191,4.976229508,3.236885246,8.216393443
143,98,32.3,4.2,10.1,0.411,2.3,5.3,0.444,1.8,4.8,0.375,3.6,4.4,0.813,0.7,3.3,4,4.5,1.8,0.2,2.4,2.1,13.7,8.64,21.6,0.562,0.501,0.479,0.433,2047,2.7,11.6,7.3,29.2,3.4,0.7,16.7,24,12.8,7.4,20.2,0.175,6.6,2.5,9.1
101,100,33.9,4.1,9.7,0.423,2.4,5.1,0.467,1.7,4.6,0.375,2.6,3.5,0.731,0.7,3.4,4.1,6.9,1.9,0.3,3.6,2.3,12.5,11,22.9,0.55,0.512,0.474,0.361,902.7,7.6,16.9,6.7,35.1,2.199333333,0.5,24,20.3,5.6,5.7,11.3,0.132,4.976229508,3.236885246,8.216393443
69,63,29.7,4,7.5,0.54,3.9,7,0.559,0.1,0.5,0.278,2.5,3.8,0.664,1.9,4.6,6.5,2.4,1.2,1.9,1.9,2.8,10.8,9.63,22.9,0.578,0.549,0.07,0.507,902.7,7.6,16.9,13.1,16.5,2.199333333,4.4,17,19.1,4,6.2,10.3,0.201,4.976229508,3.236885246,8.216393443
113,61,20.2,2,3.5,0.575,2,3.5,0.574,0,0,0,1.7,2.9,0.591,1.6,2.5,4,0.4,0.2,0.9,1.4,2.4,5.7,7.98,22.9,0.59,0.577,0.003,0.826,902.7,7.6,16.9,12.9,3,2.199333333,3.3,22.3,15.8,4,4,7.9,0.139,4.976229508,3.236885246,8.216393443
103,79,25.3,4.4,9.7,0.458,3.8,7.6,0.493,0.7,2,0.329,2.7,3.9,0.706,1.2,3,4.2,1.8,1,0.7,1.9,1.7,12.3,9.61,22.9,0.533,0.493,0.211,0.4,902.7,7.6,16.9,9.5,14.5,2.199333333,1.9,13.9,25.4,4.3,6.7,11.1,0.17,4.976229508,3.236885246,8.216393443
91,78,27.1,4.9,10.5,0.467,4.8,10.2,0.474,0.1,0.3,0,2.8,4.6,0.619,3,4.7,7.7,1.3,0.5,0.8,2.9,2.8,12.7,5.38,17.7,0.501,0.47,0.028,0.434,1133,12.1,20.2,16,10.2,1.1,3,18.8,28.2,1.9,3.9,5.8,0.094,-1.3,1.2,-0.2
70,59,32.9,5.7,12,0.471,4.6,8.4,0.546,1.1,3.6,0.299,2.7,3.7,0.733,1.7,4.8,6.5,2.9,1.5,0.6,2.3,2.2,15.2,4.2,22.1,0.549,0.517,0.302,0.311,1044,6.6,16.8,11.9,18.4,2.6,1.9,14.5,24.9,5.9,4.2,10.1,0.176,4.4,3,7.3
