FG,FG%,2P,2PA,2P%,FT,FTA,ORB,DRB,TRB,BLK,PTS,PER,TS%,eFG%,FTr,TRB%,BLK%,USG%,WS/40
5.4,0.463,3.4,6.6,0.513,2,2.5,1.1,3,4.1,0.1,14.7,22.9,0.577,0.549,0.216,8,0.4,22.1,0.164
3.9,0.45,3,5.8,0.516,2.4,3.2,1.8,3,4.8,1.9,11,25.1,0.547,0.501,0.373,12,8.5,26.5,0.186
4.7,0.553,4.3,7,0.62,2.6,3.8,2.6,5.9,8.5,2.2,12.5,26.1,0.602,0.577,0.44,18.7,8.8,23,0.178
4,0.491,3.7,6.9,0.535,3.6,4.8,2.6,4.9,7.4,0.9,11.9,21.2,0.57,0.511,0.589,14,2.8,20.6,0.192
3.7,0.574,3.7,6.4,0.578,2.4,4,2.4,5.4,7.7,1.4,9.8,22,0.584,0.575,0.622,17.3,5,20.2,0.181
4.1,0.42,2.1,4.6,0.463,2.8,3.9,1.2,4.4,5.5,0.4,13,22.9,0.56,0.521,0.396,9.5,0.9,19.7,0.138
4.2,0.509,3.8,6.9,0.551,2.2,2.9,2.4,5.5,8,1.1,11.1,24.2,0.571,0.535,0.355,17.7,4.4,22.7,0.199
3.3,0.472,3.2,6.6,0.485,1.6,2.5,2.5,3.8,6.3,2.8,8.4,22.9,0.511,0.481,0.357,13.4,9.2,18.3,0.154
5.4,0.465,4.4,8.2,0.536,4.2,5.8,1.2,3.5,4.8,0.3,15.9,22.8,0.556,0.507,0.506,8.4,1,23.7,0.172
6,0.508,5.4,10.1,0.535,1.8,2.7,2.6,4,6.7,1.8,14.4,22.9,0.551,0.533,0.229,12,2.848859935,24.24136808,0.211
5.9,0.567,5.7,9.8,0.587,3.1,4.5,2.9,6.6,9.5,0.6,15.1,22.9,0.601,0.575,0.43,21.7,1.8,29.6,0.251
6.2,0.532,6.2,11.6,0.533,2.4,3.2,2,4.4,6.4,1.7,14.9,22.9,0.563,0.533,0.27,13.2,4.3,25.8,0.198
3.6,0.516,3.2,5.7,0.555,1.9,3.2,2.9,7,10,1.4,9.6,23.5,0.561,0.549,0.459,21,5.4,19,0.185
6,0.452,5.5,10.9,0.506,2.9,4.3,2.8,5.9,8.6,1.4,15.5,21.1,0.504,0.472,0.326,14,4.2,24.9,0.109
4.8,0.471,2.1,4.3,0.488,3,3.5,0.4,1.8,2.2,0.1,15.2,22.9,0.646,0.602,0.342,4.1,0.2,22.3,0.176
5.6,0.601,5.6,9.2,0.602,3.9,7,3.4,4.6,8,2.6,15,22.9,0.596,0.601,0.754,12,2.848859935,24.24136808,0.232
6.8,0.571,6.3,10.7,0.591,7.4,9.4,3.4,5.5,8.8,1.7,21.4,22.9,0.655,0.59,0.791,14.6,3.9,27.6,0.257
5.7,0.423,3.4,7.4,0.461,3.6,4.5,0.7,3.4,4,0.2,17.3,19.3,0.553,0.508,0.333,6.3,0.6,27,0.157
5.3,0.468,2.1,4.1,0.521,3.3,3.8,0.4,2.3,2.7,0.3,16.9,23.6,0.648,0.607,0.339,5.2,0.9,24.2,0.206
4.4,0.472,3,6.4,0.473,4.9,5.8,0.7,3.2,3.9,0.2,15,22.9,0.622,0.545,0.62,6.6,0.4,20.6,0.178
5.7,0.476,4.6,8.9,0.515,2.6,3.7,2.2,4.7,6.9,1.1,15.1,22.9,0.551,0.522,0.313,12.6,2.3,24.7,0.195
6.1,0.424,3.6,8.1,0.45,3.2,3.9,0.9,3.9,4.8,0.8,17.9,23.6,0.55,0.509,0.27,8.7,2.7,31.9,0.159
