FG,FG%,2P,2PA,2P%,FT,FTA,ORB,DRB,TRB,BLK,PTS,PER,TS%,eFG%,FTr,TRB%,BLK%,USG%,WS/40
2.8,0.568,2.8,4.9,0.567,2.4,3.3,1.6,3.8,5.4,2.7,8,26,0.616,0.569,0.677,15.9,14.3,19.7,0.224
5.2,0.428,4.1,8.7,0.469,4.5,5.8,1,3.4,4.4,0.3,16.1,25.7,0.539,0.475,0.474,7.3,0.7,26.2,0.196
7.2,0.577,7.1,12.2,0.58,4.2,6.8,5.5,7.3,12.7,2,18.6,22.9,0.594,0.579,0.546,19.3,3.5,23.7,0.304
6.1,0.48,6.1,12.3,0.491,3.7,4.9,2.3,4.8,7.1,1.9,16,22.9,0.532,0.482,0.384,14.6,4.9,31.4,0.213
5,0.461,4.1,8.5,0.483,2.8,3.8,1.9,4,5.9,1.7,13.6,22.9,0.538,0.501,0.353,10.8,3.2,25.2,0.191
4.2,0.411,2.3,5.3,0.444,3.6,4.4,0.7,3.3,4,0.2,13.7,21.6,0.562,0.501,0.433,7.3,0.7,24,0.175
4.1,0.423,2.4,5.1,0.467,2.6,3.5,0.7,3.4,4.1,0.3,12.5,22.9,0.55,0.512,0.361,6.7,0.5,20.3,0.132
4,0.54,3.9,7,0.559,2.5,3.8,1.9,4.6,6.5,1.9,10.8,22.9,0.578,0.549,0.507,13.1,4.4,19.1,0.201
2,0.575,2,3.5,0.574,1.7,2.9,1.6,2.5,4,0.9,5.7,22.9,0.59,0.577,0.826,12.9,3.3,15.8,0.139
4.4,0.458,3.8,7.6,0.493,2.7,3.9,1.2,3,4.2,0.7,12.3,22.9,0.533,0.493,0.4,9.5,1.9,25.4,0.17
4.9,0.467,4.8,10.2,0.474,2.8,4.6,3,4.7,7.7,0.8,12.7,17.7,0.501,0.47,0.434,16,3,28.2,0.094
5.7,0.471,4.6,8.4,0.546,2.7,3.7,1.7,4.8,6.5,0.6,15.2,22.1,0.549,0.517,0.311,11.9,1.9,24.9,0.176
5.5,0.433,3.7,7.7,0.479,3.4,4.3,2.4,4.4,6.9,0.7,16.2,21.6,0.548,0.504,0.342,11.6,1.8,24.7,0.21
3.8,0.422,2.3,5.4,0.429,1.4,2,0.6,2.9,3.6,0.3,10.4,15.1,0.526,0.503,0.227,6,0.9,17.3,0.152
3.7,0.578,3.7,6.4,0.578,1.9,3.4,3.1,3.8,7,2.2,9.3,22.9,0.58,0.578,0.528,13.4,4.7,15.7,0.213
3.3,0.424,2.8,5.9,0.473,2.5,3.3,2.2,4.4,6.6,0.5,9.6,22.9,0.511,0.458,0.427,13.7,1.1,20.1,0.137
5.3,0.482,3.8,6.6,0.573,1.9,2.4,1.1,3.6,4.7,0.6,14.1,21.3,0.58,0.553,0.217,8.2,1.9,22.2,0.164
3.8,0.616,3.8,6.2,0.617,2.9,4.2,2,4.4,6.4,1.7,10.5,22.9,0.642,0.617,0.679,16.5,6.4,24.2,0.31
4,0.486,2.4,4.4,0.545,2.5,3.2,0.3,2.5,2.8,0.4,12.2,22.9,0.619,0.584,0.389,5.3,0.8,21.8,0.236
8.7,0.473,6.4,12.7,0.505,6,7.3,3,8.1,11.1,1.9,25.8,22.9,0.587,0.536,0.396,16.5,3.5,33.2,0.28
1.9,0.557,1.9,3.5,0.557,0.9,1.5,1.8,3,4.8,0.6,4.8,18.5,0.575,0.559,0.426,17.3,3.7,16.2,0.17
5.9,0.492,5.9,11.9,0.495,5.9,8.8,3.4,6.4,9.8,0.6,17.8,22.9,0.549,0.495,0.731,18.6,1.4,29.8,0.186
3.8,0.525,3.7,7,0.525,2.2,3.6,2.1,5.2,7.3,0.7,9.8,26.1,0.55,0.529,0.502,22.8,3.9,28.3,0.217
5,0.44,2.9,5.7,0.503,2.7,3.5,1,2.3,3.3,0.3,14.9,21,0.571,0.533,0.306,6.3,1.1,24.6,0.183
3.5,0.471,3.1,6.1,0.504,2.7,4.3,1.3,2.5,3.8,0.2,10.2,22.9,0.537,0.501,0.574,9.3,0.8,26.6,0.173
3,0.553,2.9,5,0.581,1.2,2.2,2.1,3.2,5.3,1.1,7.4,22.9,0.566,0.567,0.396,15,3.8,20.5,0.213
4.4,0.517,3.3,5.9,0.568,3.2,4.1,0.6,2.3,2.9,0.1,13.1,22.9,0.624,0.579,0.482,5.4,0.2,21.5,0.221
5.6,0.44,3.8,8.1,0.473,2.4,3.3,1.1,3.3,4.4,0.4,15.3,22.6,0.536,0.508,0.258,8,1.2,27.5,0.171
5.8,0.515,4.9,8.4,0.587,2.5,3.6,2.8,5.5,8.3,1.4,14.8,22.9,0.575,0.551,0.32,15.2,3.3,25.7,0.219
5.5,0.523,5.3,9.5,0.562,2.7,4.2,2.4,3.3,5.7,0.4,13.9,22.9,0.555,0.531,0.401,12,2.848859935,24.24136808,0.14
2.8,0.455,2.4,4.9,0.483,1.9,2.6,1.1,1.9,3.1,0.2,7.8,22.9,0.532,0.488,0.435,7,0.6,18.1,0.121
5.2,0.492,3.8,6.5,0.581,2.7,4,2.1,5.4,7.6,0.9,14.6,26.7,0.584,0.56,0.377,14.5,3.2,21.9,0.233
5,0.457,3,5.5,0.539,2.8,3.6,0.6,2.8,3.5,0.2,14.8,22.9,0.586,0.549,0.33,7.3,0.4,22,0.163
4.6,0.465,3.4,6.4,0.527,2.3,3,1.4,3,4.4,0.5,12.7,23.9,0.56,0.527,0.302,9.2,1.6,24.8,0.156
5.9,0.433,2.6,5.6,0.472,4.8,5.2,0.5,2.2,2.7,0.1,19.9,22.9,0.615,0.553,0.381,4.3,0.1,25.7,0.199
3.9,0.586,3.9,6.6,0.589,2.5,4.1,2.3,5.6,7.9,1.7,10.3,22.9,0.601,0.586,0.613,17,4.9,18.6,0.244
4.3,0.47,2.6,4.6,0.569,4.1,4.9,1.7,5.7,7.4,0.9,14.4,22.9,0.624,0.562,0.536,14.1,2.7,22.3,0.249
5.3,0.426,3.7,7.6,0.49,4.3,6,0.7,2.8,3.5,0.1,16.4,21.5,0.538,0.489,0.484,6.5,0.2,26.6,0.165
5,0.467,4.5,9.1,0.493,3.4,5.3,2.5,5.5,8,1.8,14,24.9,0.526,0.493,0.489,15.1,5.9,25.4,0.204
3.2,0.417,2.9,6.7,0.43,2.2,3,1,3.2,4.2,0.1,8.8,22.9,0.488,0.434,0.392,8.2,0.3,19.9,0.102
6.6,0.536,6.5,12.1,0.541,6.9,8.7,3.4,5.2,8.6,0.5,20.2,22.9,0.613,0.539,0.708,15.1,1,27.2,0.26
4.9,0.413,3.5,7.3,0.488,5.5,7.3,1.5,4.4,5.9,0.6,16.6,25.4,0.542,0.47,0.612,10.3,2.1,28.2,0.207
4.1,0.4,2.7,6,0.457,1.5,2.6,1.5,5.5,6.9,0.6,11.2,22.9,0.484,0.467,0.254,11,1.3,20.6,0.136
4.8,0.44,4.3,8.7,0.495,2.3,3.5,1.9,3.5,5.4,0.2,12.3,22.9,0.493,0.462,0.323,10.6,0.7,26.2,0.116
5.1,0.489,3.8,7,0.544,2.5,3,1,3.2,4.2,0.2,13.9,22.9,0.59,0.551,0.29,12,2.848859935,24.24136808,0.216
