G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,PER,TS%,eFG%,3PAr,FTr,TRB%,AST%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40
53,53,30.2,5.2,8.9,0.586,5.2,8.9,0.586,0,0,0,3,4.7,0.649,3.4,4.8,8.2,0.6,1.3,1.8,1.6,2.7,13.5,7.28,22.9,0.605,0.586,0,0.527,15.3,4.3,4.2,12.9,20.9,4.7,6.5,11.2,0.28
127,73,25.5,4.2,8.2,0.518,4.2,8,0.524,0,0.1,0,5.1,7.1,0.715,2.1,4.7,6.8,1,0.5,1.4,2.1,2.9,13.6,3.06,22.9,0.588,0.52,0.017,0.866,16.4,7.4,4.2,15.1,27.6,9.7,9,18.7,0.231
127,127,31.2,6.3,13.6,0.464,4.4,8.8,0.498,1.9,4.8,0.401,3.1,3.7,0.817,1.7,3.5,5.2,2.2,1.9,0.6,2.5,2.5,17.6,-1.08,22.9,0.572,0.535,0.353,0.275,10.4,15.1,1,14.1,25.4,11.1,7.5,18.7,0.189
98,80,28.1,4.7,10.5,0.448,2.9,5.5,0.519,1.8,5,0.369,3.2,3.7,0.849,1.2,2.7,3.9,3.5,1.5,1.4,2.4,2.7,14.4,6.66,22.9,0.587,0.535,0.473,0.353,7.6,28.9,3.3,16.2,26.1,8.4,9.6,18,0.261
117,76,19.8,2.8,4.9,0.568,2.8,4.9,0.567,0,0,0,2.4,3.3,0.726,1.6,3.8,5.4,0.6,0.5,2.7,1.2,1.8,8,8.34,26,0.616,0.569,0.002,0.677,15.9,5.8,14.3,15.3,19.7,6.6,6.4,13,0.224
111,77,32.9,5.2,12.2,0.428,4.1,8.7,0.469,1.1,3.5,0.326,4.5,5.8,0.783,1,3.4,4.4,4.1,1.7,0.3,2.3,1.5,16.1,9.39,25.7,0.539,0.475,0.287,0.474,7.3,26.6,0.7,13.5,26.2,11.5,6.4,17.9,0.196
92,91,35.2,7.2,12.4,0.577,7.1,12.2,0.58,0.1,0.2,0,4.2,6.8,0.62,5.5,7.3,12.7,0.9,1.3,2,2.4,3.1,18.6,2.11,22.9,0.594,0.579,0.014,0.546,19.3,5.6,3.5,13.5,23.7,10.9,13.7,24.6,0.304
53,43,28,6.1,12.7,0.48,6.1,12.3,0.491,0.1,0.4,0,3.7,4.9,0.764,2.3,4.8,7.1,1.1,0.5,1.9,2.1,2.6,16,8,22.9,0.532,0.482,0.031,0.384,14.6,9.7,4.9,12.3,31.4,2.9,5,7.9,0.213
64,59,29.8,5,10.8,0.461,4.1,8.5,0.483,0.9,2.3,0.378,2.8,3.8,0.721,1.9,4,5.9,1.8,1.3,1.7,2.2,2.3,13.6,7.1,22.9,0.538,0.501,0.214,0.353,10.8,12.6,3.2,15,25.2,3.2,5.9,9.1,0.191
143,98,32.3,4.2,10.1,0.411,2.3,5.3,0.444,1.8,4.8,0.375,3.6,4.4,0.813,0.7,3.3,4,4.5,1.8,0.2,2.4,2.1,13.7,8.64,21.6,0.562,0.501,0.479,0.433,7.3,29.2,0.7,16.7,24,12.8,7.4,20.2,0.175
101,100,33.9,4.1,9.7,0.423,2.4,5.1,0.467,1.7,4.6,0.375,2.6,3.5,0.731,0.7,3.4,4.1,6.9,1.9,0.3,3.6,2.3,12.5,11,22.9,0.55,0.512,0.474,0.361,6.7,35.1,0.5,24,20.3,5.6,5.7,11.3,0.132
69,63,29.7,4,7.5,0.54,3.9,7,0.559,0.1,0.5,0.278,2.5,3.8,0.664,1.9,4.6,6.5,2.4,1.2,1.9,1.9,2.8,10.8,9.63,22.9,0.578,0.549,0.07,0.507,13.1,16.5,4.4,17,19.1,4,6.2,10.3,0.201
113,61,20.2,2,3.5,0.575,2,3.5,0.574,0,0,0,1.7,2.9,0.591,1.6,2.5,4,0.4,0.2,0.9,1.4,2.4,5.7,7.98,22.9,0.59,0.577,0.003,0.826,12.9,3,3.3,22.3,15.8,4,4,7.9,0.139
